Owner_TAG,Country,State_ID,State_Name,Current_Population,Priority,Estimated_Bureaucracy_Reduction,Reason,Runtime_Validation_Required
BIC,East India,STATE_BUNDELKHAND,Bundelkhand,482410,1,29.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BIC,East India,STATE_CIRCARS,Northern Circars,3102255,2,134.1,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BIC,East India,STATE_AWADH,Oudh,3682454,3,157.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BIC,East India,STATE_BIHAR,Bihar,12241311,4,499.7,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BUK,Bukhara,STATE_MERZ,Merv,56746,1,12.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,331435,2,23.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BUR,Burma,STATE_SHAN_STATES,Shan States,468725,1,28.7,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BUR,Burma,STATE_KACHIN,Sagaing,638171,2,35.5,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
BUR,Burma,STATE_MANDALAY,Mandalay,1047934,3,51.9,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
CUB,Cuba,STATE_EASTERN_CUBA,Eastern Cuba,217390,1,18.7,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
CUB,Cuba,STATE_CENTRAL_CUBA,Central Cuba,281918,2,21.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
DAI,Dai Nam,STATE_MEKONG,Mekong,1757188,1,80.3,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
DAI,Dai Nam,STATE_TONKIN,Tonkin,2314544,2,102.6,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
DUR,Afghanistan,STATE_NORTHERN_BALUCHISTAN,Northern Baluchistan,30520,1,11.2,Peripheral low-population incorporated state selected before adding administration; runtime/historical review required.,"YES — confirm state incorporation, strategic importance and resulting bureaucracy balance"
