Building_ID,Building_Name,Current_Global_Levels,Target_Global_Levels,Delta,Current_State_Count,Target_State_Count,Adds,Removes,Increases,Decreases,Notes
building_angkor_wat,Angkor Wat,1,1,0,1,1,1,1,0,0,
building_argebam,Arg-e Bam,1,1,0,1,1,1,1,0,0,
building_arms_industry,Arms Industries,72,35,-37,29,26,12,15,0,8,
building_art_academy,Arts Academy,7,0,-7,5,0,0,5,0,0,
building_artillery_foundry,Artillery Foundry,13,20,7,10,17,16,9,0,0,
building_banana_plantation,Banana Plantations,56,0,-56,32,0,0,32,0,0,LARGE_GLOBAL_DECREASE_REVIEW
building_barrack,Barracks,171,27,-144,28,19,19,28,0,0,LARGE_GLOBAL_DECREASE_REVIEW
building_chemical_plant,Fertilizer Plants,2,0,-2,1,0,0,1,0,0,
building_chichen_itza,Chichén Itzá,1,1,0,1,1,0,0,0,0,
building_coal_mine,Coal Mines,49,21,-28,19,11,6,14,2,3,
building_coffee_plantation,Coffee Plantations,44,15,-29,29,7,3,25,2,1,
building_construction_sector,Construction Sector,69,18,-51,40,12,5,33,1,3,LARGE_GLOBAL_DECREASE_REVIEW
building_copper_mine,Copper Mine,1,22,21,1,14,14,1,0,0,LARGE_GLOBAL_INCREASE_REVIEW
building_cotton_plantation,Cotton Plantations,71,38,-33,34,30,21,25,1,4,PRESERVE_SERENISSIMA_ROWS=2
building_dye_plantation,Dye Plantations,122,7,-115,36,5,4,35,0,0,LARGE_GLOBAL_DECREASE_REVIEW
building_easter_island_heads,Easter Island Moai,1,0,-1,1,0,0,1,0,0,
building_explosives_factory,Explosives Factory,3,0,-3,3,0,0,3,0,0,
building_eye_of_sahara,Eye of the Sahara,1,1,0,1,1,1,1,0,0,
building_fishing_wharf,Fishing Wharves,301,64,-237,170,45,15,140,5,11,LARGE_GLOBAL_DECREASE_REVIEW; PRESERVE_SERENISSIMA_ROWS=6
building_food_industry,Food Industries,59,81,22,25,67,61,19,0,5,
building_forbidden_city,Forbidden City,1,1,0,1,1,0,0,0,0,
