State_ID,State_Name,Historical_Province_or_Rule,Population_Before,Population_1776_Target,Delta,Scale,Method,Evidence
STATE_ALTAI,Altai,Frontier retained from existing 1776 setup,31000,31000,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_ALXA,Alxa,Frontier retained from existing 1776 setup,44788,44788,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_AMUR,Northern Heilongjiang,Frontier retained from existing 1776 setup,82613,82613,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_BEIJING,Beijing,Zhili,13137220,13137220,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_CHONGQING,Chongqing,Sichuan,4590574,4590574,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_DZUNGARIA,Dzungaria,Frontier retained from existing 1776 setup,240200,240200,0,1.000000,Existing frontier total retained,Existing mod frontier population retained pending dedicated map rework
STATE_EASTERN_HUBEI,Eastern Hubei,Hubei,7514142,7514142,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_FORMOSA,Formosa,Formosa supplement,900000,900000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_FUJIAN,Fujian,Fujian,11220000,11220000,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
STATE_GANSU,Gansu,Gansu,6353655,6353655,0,1.000000,1776 provincial total allocated proportionally across split game states; pop cultures/religions preserved,"Cao Shuji/Jiang Tao 1776 provincial series, reproduced by Shanghai Jiao Tong University: https://history.sjtu.edu.cn/SJTU/JDHistory/kindeditor/Upload/file/20200709/202007090934348680000.pdf"
