TAG,Country,Owner_State_Count,Current_Total_Building_Levels,Target_Total_Building_Levels,Keep_Rows,Add_Rows,Remove_Rows,Increase_Rows,Decrease_Rows,Trade_Center_Target_Levels,Infrastructure_Target_Levels,Tech_Conflict_Count,Map_Rework_Risk_Count,Notes
ABB,Arab Emirates,1,0,2,0,2,0,0,0,0,0,2,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ABS,Absaroka,2,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ACE,Aceh,1,11,6,1,1,2,0,1,2,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ACH,Acholi,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ADG,Kel Adagh,2,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ADR,Adrar,3,0,5,0,5,0,0,0,0,0,1,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AGC,Angoche,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AHG,Kel Ahaggar,1,0,1,0,1,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AIN,Ainu Mosir,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AIR,Kel Air,1,0,2,0,2,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AIT,Ait Abbas,1,5,3,1,1,2,0,1,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AJJ,Kel Ajjer,3,0,3,0,3,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
AJR,Ajuran,1,0,0,0,0,0,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ALK,Alaska,2,4,0,0,0,3,0,0,0,0,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
ANH,Anhalt,1,2,2,0,2,1,0,0,0,1,0,0,PRESERVE_SERENISSIMA_ROWS=0; REVIEW_ROWS=0
