Owner_TAG,State_ID,Building_ID,Current_Level,Current_PM_Overrides,Source_File,Source_Line_or_Block,Excluded_Serenissima,Notes
ABB,STATE_ABU_DHABI,building_fishing_wharf,1,pm_simple_fishing|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:5,NO,
ABB,STATE_ABU_DHABI,building_port,1,pm_anchorage,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:18,NO,
ACE,STATE_ACEH,building_port,1,pm_anchorage,common/history/buildings/12_indonesia.txt,common/history/buildings/12_indonesia.txt:268,NO,
ACE,STATE_ACEH,building_railway,1,pm_no_canal_network|pm_no_passenger_trains|pm_no_rail_network|pm_traditional_road_network,common/history/buildings/97_build_start_1776_runtime_wave1.txt,common/history/buildings/97_build_start_1776_runtime_wave1.txt:39,NO,TECH7A_UNIFIED_ROAD_CANAL_RAIL_BUILDING
ACE,STATE_ACEH,building_spice_plantation,3,pm_road_carts|pm_spice_cultivation,common/history/buildings/99_tech6a3_spice_plantations.txt,common/history/buildings/99_tech6a3_spice_plantations.txt:24,NO,
ACE,STATE_ACEH,building_trade_center,2,pm_trade_center|pm_trade_center_trade_quantity_normal,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:59,NO,MANUAL_1.13_TRADE_CAPACITY_SEED
ADG,STATE_EAST_SAHARA,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:4301,NO,
ADG,STATE_TIMBUKTU,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:15179,NO,
ADR,STATE_INNER_MAURITANIA,building_eye_of_sahara,1,pm_dummy,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:6804,NO,
ADR,STATE_INNER_MAURITANIA,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:6810,NO,
ADR,STATE_INNER_MAURITANIA,building_railway,1,pm_no_canal_network|pm_no_passenger_trains|pm_no_rail_network|pm_traditional_road_network,common/history/buildings/97_build_start_1776_runtime_wave1.txt,common/history/buildings/97_build_start_1776_runtime_wave1.txt:1717,NO,TECH7A_UNIFIED_ROAD_CANAL_RAIL_BUILDING
ADR,STATE_INNER_MAURITANIA,building_salt_mine,1,pm_no_explosives|pm_no_salt_processing_building_salt_mine|pm_no_steam_automation|pm_picks_and_shovels_building_salt_mine|pm_road_carts,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:6823,NO,
ADR,STATE_MAURITANIA,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:9758,NO,
ADR,STATE_TIMBUKTU,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:15194,NO,
AHG,STATE_EAST_SAHARA,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:4316,NO,
AIR,STATE_NIGER,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:11085,NO,
AIR,STATE_NIGER,building_millet_farm,1,pm_no_secondary|pm_simple_farming|pm_tools_disabled,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:11098,NO,
AIR,STATE_NIGER,building_railway,1,pm_no_canal_network|pm_no_passenger_trains|pm_no_rail_network|pm_traditional_road_network,common/history/buildings/97_build_start_1776_runtime_wave1.txt,common/history/buildings/97_build_start_1776_runtime_wave1.txt:2436,NO,TECH7A_UNIFIED_ROAD_CANAL_RAIL_BUILDING
AIT,STATE_CONSTANTINE,building_government_administration,1,pm_hereditary_bureaucrats|pm_religious_bureaucrats|pm_simple_organization,common/history/buildings/03_north_africa.txt,common/history/buildings/03_north_africa.txt:476,NO,
AIT,STATE_CONSTANTINE,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/03_north_africa.txt,common/history/buildings/03_north_africa.txt:500,NO,
AIT,STATE_CONSTANTINE,building_railway,2,pm_no_canal_network|pm_no_passenger_trains|pm_no_rail_network|pm_traditional_road_network,common/history/buildings/97_build_start_1776_runtime_wave1.txt,common/history/buildings/97_build_start_1776_runtime_wave1.txt:866,NO,TECH7A_UNIFIED_ROAD_CANAL_RAIL_BUILDING
AIT,STATE_CONSTANTINE,building_textile_mill,1,pm_handsewn_clothes|pm_no_luxury_clothes|pm_traditional_looms,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:3198,NO,
AIT,STATE_CONSTANTINE,building_wheat_farm,1,pm_no_secondary|pm_simple_farming|pm_tools_disabled,common/history/buildings/03_north_africa.txt,common/history/buildings/03_north_africa.txt:487,NO,
AJJ,STATE_EAST_SAHARA,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:4331,NO,
AJJ,STATE_LIBYAN_DESERT,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:8678,NO,
AJJ,STATE_NIGER,building_livestock_ranch,1,pm_open_air_stockyards|pm_simple_ranch|pm_standard_fences|pm_unrefrigerated,common/history/buildings/98_build_start_1776_world_redistribution.txt,common/history/buildings/98_build_start_1776_world_redistribution.txt:11113,NO,
