Market_or_Country,Historical_Target_Supply,Calibrated_Target_Supply,Estimated_Demand,Coverage_Ratio,Trade_Access,Risk,Runtime_Required
ABB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ACE,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ADG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ADR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AHG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AIR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AIT,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AJJ,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ALK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ANH,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
ANK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ARB,0.0,0.0,5.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
ASH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ATR,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AUS,230.0,230.0,155.0,1.484,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
AWA,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
BAD,0.0,55.0,30.0,1.833,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BAL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BAV,0.0,55.0,5.0,11.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BEO,0.0,385.0,340.0,1.132,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
BHN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BHU,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BHV,0.0,0.0,50.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
BIC,0.0,90.0,90.0,1.000,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
BNJ,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BNY,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BOR,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
BRA,40.0,40.0,5.0,8.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BRD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BRE,0.0,0.0,40.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
BRK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BRU,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BRZ,40.0,680.0,110.0,6.182,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BST,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BTN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BUG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
BUK,0.0,0.0,105.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
BUR,120.0,120.0,40.0,3.000,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
CAM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
CAUC,0.0,0.0,65.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
CHC,0.0,40.0,30.0,1.333,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
CHI,0.0,560.0,320.0,1.750,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
