Owner_TAG,State_ID,Building_ID,Production_Method_Group,Old_PM,Missing_Technologies,Fallback_Base_PM,Reason
AUS,STATE_BOHEMIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
AUS,STATE_CROATIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BAD,STATE_BADEN,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BAD,STATE_BADEN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BAV,STATE_BAVARIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BAV,STATE_FRANCONIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BAV,STATE_FRANCONIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BEO,STATE_FLANDERS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BEO,STATE_FLANDERS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BEO,STATE_FLANDERS,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BEO,STATE_FLANDERS,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BEO,STATE_WALLONIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BIC,STATE_AWADH,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BIC,STATE_BIHAR,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BIC,STATE_CIRCARS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BIC,STATE_EAST_BENGAL,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BIC,STATE_WEST_BENGAL,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_BAHIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_BAHIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_CEARA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_MARANHAO,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_MINAS_GERAIS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_PARANA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_PIAUI,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_RIO_DE_JANEIRO,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_RIO_GRANDE_DO_NORTE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
BRZ,STATE_SANTA_CATARINA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
CHI,STATE_BEIJING,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
CHI,STATE_SICHUAN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
CUB,STATE_CENTRAL_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
CUB,STATE_EASTERN_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
CUB,STATE_WESTERN_CUBA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
DEI,STATE_WEST_JAVA,building_coffee_plantation,pmg_base_building_coffee_plantation,coffee_plantation_wet_process_manual,precision_boring,coffee_plantation_dry_process,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
DENNOR,STATE_EASTERN_NORWAY,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
DENNOR,STATE_ZEALAND,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_ALSACE_LORRAINE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_AUVERGNE_LIMOUSIN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_AUVERGNE_LIMOUSIN,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_BRITTANY,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_GUYENNE,building_livestock_ranch,pmg_base_building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_open_air_stockyards,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_ILE_DE_FRANCE,building_construction_sector,pmg_base_building_construction_sector,pm_iron_frame_buildings,professional_civil_engineering,pm_wooden_buildings,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_ILE_DE_FRANCE,building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_lathe,mechanical_tools,pm_handcrafted_furniture,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_ILE_DE_FRANCE,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_LORRAINE,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_LORRAINE,building_tooling_workshop,pmg_base_building_tooling_workshop,pm_steel,mechanical_tools,pm_crude_tools,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_NORMANDY,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_ORLEANS,building_livestock_ranch,pmg_base_building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_open_air_stockyards,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_PICARDY,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_PICARDY,building_wheat_farm,pmg_secondary_building_wheat_farm,pm_sugar_beets,improved_fertilizer,pm_no_secondary,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_PROVENCE,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
FRA,STATE_RHONE,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GAL,STATE_EAST_GALICIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GAL,STATE_WEST_GALICIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_HIGHLANDS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_HOME_COUNTIES,building_furniture_manufactory,pmg_base_building_furniture_manufactory,pm_lathe,mechanical_tools,pm_handcrafted_furniture,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_HOME_COUNTIES,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_HOME_COUNTIES,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_LANCASHIRE,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_LOWLANDS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_MIDLANDS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_WALES,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_YORKSHIRE,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GBR,STATE_YORKSHIRE,building_tooling_workshop,pmg_base_building_tooling_workshop,pm_steel,mechanical_tools,pm_crude_tools,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GR3,STATE_SICILY,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
GR3,STATE_SICILY,building_wheat_farm,pmg_harvesting_process_building_millet_farm,pm_tools,improved_agricultural_implements,pm_tools_disabled,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
HAN,STATE_HANNOVER,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
IREK,STATE_ULSTER,building_livestock_ranch,pmg_base_building_livestock_ranch,pm_slaughterhouses,mechanical_tools,pm_open_air_stockyards,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
IREK,STATE_ULSTER,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
NBS,STATE_NEW_BRUNSWICK,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
NET,STATE_GELRE,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
NET,STATE_HOLLAND,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
NET,STATE_HOLLAND,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PAN,STATE_PUNJAB,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PAP,STATE_LAZIO,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PLC,STATE_GREATER_POLAND,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PLC,STATE_LESSER_POLAND,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PLC,STATE_MINSK,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
POR,STATE_ENTRE_DOURO_E_MINHO,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
POR,STATE_ESTREMADURA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
POR,STATE_ESTREMADURA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PRU,STATE_ANHALT,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PRU,STATE_EAST_PRUSSIA,building_rye_farm,pmg_base_building_millet_farm,pm_soil_enriching_farming,advanced_crop_rotations,pm_simple_farming,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PRU,STATE_LOWER_SILESIA,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
PRU,STATE_NORTH_RHINE,building_textile_mill,pmg_base_building_textile_mill,pm_dye_workshops,mechanized_spinning,pm_handsewn_clothes,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START
