Owner_TAG,State_ID,Building_ID,Current_Level,Protected_Target_Level,Current_PM_Overrides,Source_File,Protection_Reason
AUS,STATE_CROATIA,building_naval_administration,2,2,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
CHI,STATE_GUANGDONG,building_naval_administration,2,2,pm_simple_sailor_recruitment,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
CHI,STATE_SHANDONG,building_naval_administration,2,2,pm_simple_sailor_recruitment,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
DAI,STATE_ANNAM,building_barrack,20,20,pm_no_organization,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
DAI,STATE_MEKONG,building_barrack,15,15,pm_no_organization,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
DAI,STATE_TONKIN,building_barrack,20,20,pm_no_organization,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
DEI,STATE_WEST_JAVA,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/12_indonesia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
DENNOR,STATE_ZEALAND,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
FRA,STATE_BRITTANY,building_naval_administration,14,14,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
FRA,STATE_POITOU,building_naval_administration,5,5,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
FRA,STATE_PROVENCE,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GBR,STATE_CEYLON,building_naval_administration,5,5,pm_simple_sailor_recruitment,common/history/buildings/10_india.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GBR,STATE_HOME_COUNTIES,building_naval_administration,35,35,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GBR,STATE_LANCASHIRE,building_naval_administration,10,10,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GBR,STATE_UPPER_ANDALUSIA,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GBR,STATE_WEST_COUNTRY,building_naval_administration,25,25,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
GEN,STATE_PIEDMONT,building_naval_administration,2,2,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
IQU,STATE_ICA,building_barrack,1,1,pm_no_organization,common/history/buildings/07_south_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
MARATH,STATE_BOMBAY,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/10_india.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
NBS,STATE_NEW_BRUNSWICK,building_barrack,2,2,pm_no_organization,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
NET,STATE_HOLLAND,building_naval_administration,9,9,pm_simple_sailor_recruitment,common/history/buildings/00_west_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
NVS,STATE_NEW_BRUNSWICK,building_barrack,3,3,pm_no_organization,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
OMA,STATE_OMAN,building_naval_administration,4,4,pm_simple_sailor_recruitment,common/history/buildings/08_middle_east.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
ONT,STATE_ONTARIO,building_barrack,5,5,pm_no_organization,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
ORA,STATE_VRYSTAAT,building_barrack,2,2,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
PAP,STATE_LAZIO,building_naval_administration,1,1,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
PHL,STATE_VRYSTAAT,building_barrack,1,1,pm_no_organization,common/history/buildings/04_subsaharan_africa.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
POR,STATE_ESTREMADURA,building_naval_administration,8,8,pm_simple_sailor_recruitment,common/history/buildings/01_south_europe.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
QUE,STATE_QUEBEC,building_barrack,5,5,pm_no_organization,common/history/buildings/05_north_america.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
RUS,STATE_INGRIA,building_naval_administration,17,17,pm_simple_sailor_recruitment,common/history/buildings/15_russia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
RUS,STATE_ROSTOV,building_naval_administration,5,5,pm_simple_sailor_recruitment,common/history/buildings/15_russia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
RYU,STATE_RYUKYU_ISLANDS,building_naval_fortification,1,1,pm_naval_fortification_basic,common/history/buildings/11_east_asia.txt,PREVIOUS_1776_MILITARY_NAVAL_CALIBRATION
