Building_ID,Building_Name,Category,Relevant_For_1776_Start_Research,Reviewed_Against_R3,Positive_Owner_State_Count,Total_Recommended_Levels,Tech_Distribution_Review_Count,Assessment
building_alloys_plant,Alloy Works,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_angkor_wat,Angkor Wat,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_argebam,Arg-e Bam,OTHER,YES,YES,1,1,0,POSITIVE_CASES
building_arms_industry,Arms Industries,MILITARY,YES_TECH_DISTRIBUTION_REVIEW,YES,1,1,0,POSITIVE_CASES
building_artillery_foundry,Artillery Foundry,MILITARY,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_banana_plantation,Banana Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_barrack,Barracks,MILITARY,YES_TECH_DISTRIBUTION_REVIEW,YES,1,1,1,POSITIVE_CASES
building_chemical_works,Chemical Works,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_chichen_itza,Chichén Itzá,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_coal_mine,Coal Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_coffee_plantation,Coffee Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,2,3,0,POSITIVE_CASES
building_construction_sector,Construction Sector,INFRASTRUCTURE,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_copper_mine,Copper Mine,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,3,3,0,POSITIVE_CASES
building_cotton_plantation,Cotton Plantations,PLANTATION,YES,YES,9,10,0,POSITIVE_CASES
building_dye_plantation,Dye Plantations,PLANTATION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_easter_island_heads,Easter Island Moai,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_eye_of_sahara,Eye of the Sahara,OTHER,YES,YES,1,1,0,POSITIVE_CASES
building_fishing_wharf,Fishing Wharves,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,5,5,5,POSITIVE_CASES
building_food_industry,Food Industries,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,29,30,29,POSITIVE_CASES
building_forbidden_city,Forbidden City,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_furniture_manufactory,Furniture Manufacturies,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,2,2,2,POSITIVE_CASES
building_giza_necropolis,Giza Necropolis,OTHER,YES,YES,1,1,0,POSITIVE_CASES
building_glassworks,Glassworks,MANUFACTURING,YES_TECH_DISTRIBUTION_REVIEW,YES,3,3,3,POSITIVE_CASES
building_gold_mine,Gold Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_government_administration,Government Administration,ADMINISTRATION,YES_TECH_DISTRIBUTION_REVIEW,YES,6,6,0,POSITIVE_CASES
building_hagia_sophia,Hagia Sophia,OTHER,YES,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_iron_mine,Iron Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_khaju_bridge,Khaju Bridge,OTHER,YES,YES,1,1,0,POSITIVE_CASES
building_lead_mine,Lead Mines,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
building_limestone_quarry,Limestone Quarry,RESOURCE_EXTRACTION,YES_TECH_DISTRIBUTION_REVIEW,YES,0,0,0,NO_R3_START_RECOMMENDATION
