Research_Region,Owner_TAG,Owner_Name,State_ID,State_Name,Excluded_Serenissima,Research_Status,Research_Files,Positive_Row_Count,Multi_Researched,Conflict_Present,Needs_Supplement,Notes
R1_WESTERN_EUROPE,SIC,Two Sicilies,STATE_ABRUZZO,Abruzzo,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,TUR,Turkey,STATE_ALBANIA,Albania,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,POR,Portugal,STATE_ALENTEJO,Alentejo,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,3,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_ALSACE_LORRAINE,Alsace-Lorraine,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,ANH,Anhalt,STATE_ANHALT,Anhalt,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,2,NO,NO,NO,
R1_WESTERN_EUROPE,PRU,Prussia,STATE_ANHALT,Anhalt,NO,COVERED_ZERO_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_OWNER_STATE_COVERAGE_CORRIGE.csv,0,NO,NO,NO,Central audit states 73 active Owner/State covered but names only 67 positive pairs; this is one of six technically reconstructed zero-positive candidates and is not promoted to covered without explicit per-pair evidence. | Supplemental 1776 review closed this pair as COVERED_ZERO_POSITIVE.
R1_WESTERN_EUROPE,SIC,Two Sicilies,STATE_APULIA,Apulia,NO,COVERED_POSITIVE,BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv,3,NO,NO,NO,
R1_WESTERN_EUROPE,FRA,France,STATE_AQUITAINE,Aquitaine,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,5,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_ARAGON,Aragon,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
R1_WESTERN_EUROPE,SPA,Spain,STATE_ASTURIAS,Asturias,NO,COVERED_POSITIVE,BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv;BUILD_START_1776_WESTERN_EUROPE_RESEARCH.md,4,NO,NO,NO,
