Research_Region,Owner_TAG,State_ID,Research_Files,Building_ID,Recommendation_A,Recommendation_B,Conflict_Type,Needs_Human_Review
R8_NORTH_AMERICA_CARIBBEAN,HAW,STATE_HAWAIIAN_ISLANDS,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.csv; BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.csv; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_fishing_wharf,AMERICAS_CARIBBEAN_OLD: NO_POSITIVE_RECOMMENDATION,"OCEANIA_PACIFIC_OLD: level=2 (confidence=MEDIUM, tech_review=YES)",RESOLVED_KEEP_OCEANIA_POSITIVE_LEVEL_2,NO
R8_NORTH_AMERICA_CARIBBEAN,HAW,STATE_HAWAIIAN_ISLANDS,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.csv; BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.csv; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_railway,AMERICAS_CARIBBEAN_OLD: NO_POSITIVE_RECOMMENDATION,"OCEANIA_PACIFIC_OLD: level=1 (confidence=MEDIUM, tech_review=NO)",RESOLVED_KEEP_OCEANIA_LEVEL_1_AS_ROAD_TRAIL_ABSTRACTION_PM_NO_RAIL,NO
R8_NORTH_AMERICA_CARIBBEAN,HAW,STATE_HAWAIIAN_ISLANDS,BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.csv; BUILD_START_1776_AMERICAS_CARIBBEAN_RESEARCH.md; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.csv; BUILD_START_1776_OCEANIA_PACIFIC_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_salt_pan,AMERICAS_CARIBBEAN_OLD: NO_POSITIVE_RECOMMENDATION,"OCEANIA_PACIFIC_OLD: level=1 (confidence=HIGH, tech_review=NO)",RESOLVED_KEEP_OCEANIA_POSITIVE_LEVEL_1,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_EASTERN_HIMALAYAS,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_livestock_ranch,EAST_ASIA_SE_ASIA_OLD: NO_POSITIVE_RECOMMENDATION,"R3_DEDICATED: level=1 (confidence=HIGH, tech_review=NO)",RESOLVED_KEEP_R3_POSITIVE_LEVEL_1,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_LHASA,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_government_administration,"EAST_ASIA_SE_ASIA_OLD: level=1 (confidence=HIGH, tech_review=YES)",R3_DEDICATED: NO_POSITIVE_RECOMMENDATION,RESOLVED_KEEP_EAST_ASIA_POSITIVE_LEVEL_1,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_LHASA,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_livestock_ranch,EAST_ASIA_SE_ASIA_OLD: NO_POSITIVE_RECOMMENDATION,"R3_DEDICATED: level=2 (confidence=HIGH, tech_review=NO)",RESOLVED_POSITIVE_LEVEL_1_CONSERVATIVE,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_LHASA,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_railway,EAST_ASIA_SE_ASIA_OLD: NO_POSITIVE_RECOMMENDATION,"R3_DEDICATED: level=1 (confidence=MEDIUM, tech_review=NO)",RESOLVED_NO_POSITIVE_IN_1776_WITHOUT_ROAD_CANAL_EVIDENCE,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_LHASA,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_textile_mill,EAST_ASIA_SE_ASIA_OLD: NO_POSITIVE_RECOMMENDATION,"R3_DEDICATED: level=1 (confidence=HIGH, tech_review=YES)",RESOLVED_KEEP_R3_POSITIVE_LEVEL_1,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_LHASA,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_trade_center,"EAST_ASIA_SE_ASIA_OLD: level=1 (confidence=HIGH, tech_review=NO)","R3_DEDICATED: level=1 (confidence=HIGH, tech_review=NO)",MERGE_COMPATIBLE_CONFIRMED_LEVEL_1,NO
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,TIB,STATE_NGARI,BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH.md; BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv; BUILD_START_1776_R3_OWNER_STATE_COVERAGE.csv; BUILD_START_1776_R3_RECOMMENDATIONS.csv; BUILD_START_1776_R3_RESEARCH.md; BUILD_START_1776_SUPPLEMENTAL_CONFLICT_REVIEW_CORRIGE.md,building_livestock_ranch,"EAST_ASIA_SE_ASIA_OLD: level=1 (confidence=MEDIUM, tech_review=NO)","R3_DEDICATED: level=2 (confidence=HIGH, tech_review=NO)",RESOLVED_POSITIVE_LEVEL_1_CONSERVATIVE,NO
