TAG,Country,Runtime_Bureaucracy_Before,Population_Rebalance_Effect,New_Deincorporation_Effect,Administration_Output_Added,Additional_Admin_Levels_Wave2,Final_Admin_Target,Projected_Balance_After,Runtime_Target_Status,Decision,Notes
ABB,Arab Emirates,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ABS,Absaroka,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ACE,Aceh,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ACH,Acholi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ADG,Kel Adagh,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ADR,Adrar,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AGC,Angoche,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AHG,Kel Ahaggar,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AIN,Ainu Mosir,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AIR,Kel Air,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AIT,Ait Abbas,NOT_OBSERVED,0.0,0.0,0.0,0,1,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AJJ,Kel Ajjer,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AJR,Ajuran,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ALK,Alaska,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ANH,Anhalt,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ANK,Ankole,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AP7,Kayapo,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
APC,Apache,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ARB,Arabistan,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ARH,Arnhem,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ARP,Arapaho,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ARR,Arrernte,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ASH,Ashanti,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ATB,Athabaska,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ATR,Kel Ataram,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AUL,Aulihan,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AUS,Austria,NOT_OBSERVED,0.0,0.0,0.0,0,16,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AWA,Awadh,NOT_OBSERVED,0.0,0.0,0.0,0,2,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
AYI,Anyi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BAD,Baden,NOT_OBSERVED,0.0,0.0,0.0,0,1,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BAL,Bali,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BAV,Bavaria,NOT_OBSERVED,0.0,0.0,0.0,0,4,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BEN,Benin,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BEO,Belgium,NOT_OBSERVED,0.0,0.0,0.0,0,3,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BGI,Bagirmi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BHN,Bahrain,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BHU,Bhutan,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BHV,Bhavnagar,NOT_OBSERVED,0.0,0.0,0.0,0,7,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BIC,East India,NOT_OBSERVED,0.0,0.0,0.0,0,30,RUNTIME_REQUIRED,CATASTROPHIC_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BLA,Bilua,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BLE,Baule,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BLF,Niitsitapi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BLG,Bulungan,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BMB,Bemba,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BMM,Bamum,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BND,Bundu,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BNG,Bangala,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BNJ,Banjar,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BNN,Pannakwati,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BNY,Bunyoro,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BOB,Bobangi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BOR,Bornu,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRA,Brunswick,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRD,Burundi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRE,Bremen,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRG,Borgu,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRK,Brakna,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRU,Brunei,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BRZ,Brazil,-307.0,0.0,0.0,300.0,30,38,-7.0,MANAGEABLE_DEFICIT,RUNTIME_CALIBRATION,Runtime screenshot anchor; administration placed in existing principal centres.
BST,Basutoland,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BTN,Buton,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BUG,Buganda,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BUK,Bukhara,NOT_OBSERVED,0.0,0.0,0.0,0,1,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
BUR,Burma,NOT_OBSERVED,0.0,0.0,0.0,0,2,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CAM,Cambodia,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CAUC,Caucuses,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CAY,Cayor,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CHC,Chechnya,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CHI,China,-10200.0,3032.9,110.0,7110.0,711,726,52.9,HEALTHY,RUNTIME_CALIBRATION,Qing population and incorporation corrections applied before administration.
CHK,Chokwe,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CHP,Champasak,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CIR,Circassia,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CMB,Chaamba,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CMI,Chiang Mai,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
COB,Saxe-Coburg-Gotha,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
COC,Cochin,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
COM,Comanche,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CON,Constantine,NOT_OBSERVED,0.0,0.0,0.0,0,2,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
COO,Cooch Behar,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CRI,Crimea,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
CUB,Cuba,NOT_OBSERVED,0.0,0.0,0.0,0,2,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DAH,Dahomey,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DAI,Dai Nam,NOT_OBSERVED,0.0,0.0,0.0,0,2,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DAK,Dar al Kuti,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DEI,East Indies,-266.0,0.0,0.0,300.0,6,15,34.0,HEALTHY,RUNTIME_CALIBRATION,Runtime screenshot anchor; administration placed in existing principal centres.
DENNOR,Denmark-Norway,NOT_OBSERVED,0.0,0.0,0.0,0,4,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DFR,Darfur,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DFT,Dar Fertit,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DGR,Degar,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DIN,Kel Dinnik,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DIO,Diola,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DLA,Duala,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DLM,Delim,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DNK,Dinka,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
DUR,Afghanistan,NOT_OBSERVED,0.0,0.0,0.0,0,29,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
ETH,Ethiopia,NOT_OBSERVED,0.0,0.0,0.0,0,4,RUNTIME_REQUIRED,SEVERE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
EWE,Ewe,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
EZO,Ezochi,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,HEALTHY,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
FJI,Fiji,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
FNG,Fang,NOT_OBSERVED,0.0,0.0,0.0,0,0,RUNTIME_REQUIRED,MANAGEABLE_DEFICIT,NO_RUNTIME_WRITE,Static state-cost estimate only; requires runtime observation before any further write.
