Market,Owner_TAG,State_ID,Building_ID,Historical_Level,Runtime_Additional_Level,Runtime_Final_Target_Level,PM_Change,Trade_or_Port_Change,Evidence,Reason
British Market,GBR,STATE_BAHAMAS,building_limestone_quarry,0,3,3,pm_picks_and_shovels_building_limestone_quarry|pm_no_stone_processing_building_limestone_quarry,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_FLORIDA,building_dye_plantation,1,1,2,MERGED_CHEMICAL_PM,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_FLORIDA,building_limestone_quarry,0,2,2,pm_picks_and_shovels_building_limestone_quarry|pm_no_stone_processing_building_limestone_quarry,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_JAMAICA,building_banana_plantation,0,8,8,default_building_banana_plantation|default_labour|pm_road_carts,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_JAMAICA,building_logging_camp,0,3,3,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_LANCASHIRE,building_chemical_plant,0,7,7,pm_artificial_fertilizers|pm_no_industrial_chemicals|pm_no_pharmaceutical_production,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_MIDLANDS,building_chemical_plant,0,1,1,pm_artificial_fertilizers|pm_no_industrial_chemicals|pm_no_pharmaceutical_production,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_NEWFOUNDLAND,building_lead_mine,0,4,4,pm_picks_and_shovels_building_lead_mine|pm_no_explosives|pm_no_steam_automation|pm_road_carts|pm_no_ore_concentration_building_lead_mine|pm_no_mine_ventilation,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_WEST_COUNTRY,building_furniture_manufactory,0,4,4,pm_handcrafted_furniture|pm_no_luxuries|pm_automation_disabled,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_WEST_COUNTRY,building_lead_mine,0,5,5,pm_picks_and_shovels_building_lead_mine|pm_no_explosives|pm_no_steam_automation|pm_road_carts|pm_no_ore_concentration_building_lead_mine|pm_no_mine_ventilation,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_WEST_COUNTRY,building_textile_mill,0,4,4,pm_handsewn_clothes|pm_craftsman_sewing|pm_traditional_looms,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_WEST_INDIES,building_banana_plantation,0,6,6,default_building_banana_plantation|default_labour|pm_road_carts,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,SIL,STATE_SENEGAL,building_port,0,1,1,pm_anchorage,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,SIL,STATE_SENEGAL,building_salt_pan,0,24,24,default_building_salt_pan,NONE,Supplied British-market runtime capture,Resolve confirmed red shortage; no new resource potential; BIC excluded.
British Market,GBR,STATE_MIDLANDS,building_chemical_works,1,-1,0,MIGRATED_TO_BUILDING_CHEMICAL_PLANT,NONE,Tech & Res merged-building pattern,Remove the obsolete separate chemical-works building identifier.
