TAG,Technology,Required_By_Buildings,Required_By_PMs,Historical_Tech_Status,Prerequisite_Closure,Final_Decision,Reason
ADR,shaft_mining,building_salt_mine,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
ASH,shaft_mining,building_gold_mine,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
AUS,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
AUS,organized_workshops,building_glassworks,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
AUS,shaft_mining,building_salt_mine,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
AUS,state_dockyard_systems,,,MISSING_FROM_START,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
AWA,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
BAD,organized_workshops,building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BAV,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BEO,industrial_canals,building_railway,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BEO,organized_financial_institutions,building_construction_sector,,MISSING_FROM_START,COMPLETE,ADD,Corrected non-protected target requires the retained gate and direct prerequisites are already present.
BEO,organized_workshops,building_glassworks|building_tooling_workshop,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BEO,traditional_food_processing,building_food_industry,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BEO,traditional_papermaking,building_paper_mill,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
BIC,organized_military_establishments,,,ALREADY_PRESENT,COMPLETE,NO_CHANGE_PROTECTED_OVERLAY,Only protected military/naval placements justify this pair; current setup is retained without tech redistribution.
BRZ,shaft_mining,building_gold_mine,,ALREADY_PRESENT,COMPLETE,KEEP_ALREADY_PRESENT,Required capability is already present in the authoritative starting distribution.
