State_ID,State_Display_Name,Region,Owner_TAG,Owner_Name,Homeland_or_Core_Info,Coastal,Has_Port_Access,Current_Population,Excluded_Serenissima,Map_Rework_Risk,Source_File
STATE_ABRUZZO,Abruzzo,R1_WESTERN_EUROPE,SIC,Two Sicilies,Homelands=south_italian,YES,YES,660448,NO,NONE,common/history/states/00_states.txt:7733; map_data/state_regions/01_south_europe.txt:193
STATE_ALBANIA,Albania,R1_WESTERN_EUROPE,TUR,Turkey,Homelands=albanian,YES,YES,1263208,NO,NONE,common/history/states/00_states.txt:1091; map_data/state_regions/01_south_europe.txt:854
STATE_ALENTEJO,Alentejo,R1_WESTERN_EUROPE,POR,Portugal,Homelands=portuguese,YES,YES,457012,NO,NONE,common/history/states/00_states.txt:3768; map_data/state_regions/01_south_europe.txt:705
STATE_ALSACE_LORRAINE,Alsace-Lorraine,R1_WESTERN_EUROPE,FRA,France,Homelands=alemannic|french|south_german,NO,NO,1436128,NO,NONE,common/history/states/00_states.txt:3626; map_data/state_regions/00_west_europe.txt:706
STATE_ANHALT,Anhalt,R1_WESTERN_EUROPE,ANH,Anhalt,Homelands=north_german,NO,NO,196008,NO,NONE,common/history/states/00_states.txt:7962; map_data/state_regions/00_west_europe.txt:1271
STATE_ANHALT,Anhalt,R1_WESTERN_EUROPE,PRU,Prussia,Homelands=north_german,NO,NO,1383392,NO,NONE,common/history/states/00_states.txt:7958; map_data/state_regions/00_west_europe.txt:1271
STATE_APULIA,Apulia,R1_WESTERN_EUROPE,SIC,Two Sicilies,Homelands=south_italian,YES,YES,1284392,NO,NONE,common/history/states/00_states.txt:7749; map_data/state_regions/01_south_europe.txt:172
STATE_AQUITAINE,Aquitaine,R1_WESTERN_EUROPE,FRA,France,Homelands=french|occitan,YES,YES,1844177,NO,NONE,common/history/states/00_states.txt:3703; map_data/state_regions/00_west_europe.txt:887
STATE_ARAGON,Aragon,R1_WESTERN_EUROPE,SPA,Spain,Homelands=aragonese|spanish,NO,NO,634562,NO,NONE,common/history/states/00_states.txt:1188; map_data/state_regions/01_south_europe.txt:482
STATE_ASTURIAS,Asturias,R1_WESTERN_EUROPE,SPA,Spain,Homelands=asturleonese|spanish,YES,YES,438563,NO,NONE,common/history/states/00_states.txt:1171; map_data/state_regions/01_south_europe.txt:405
STATE_ATTICA,Attica,R1_WESTERN_EUROPE,TUR,Turkey,Homelands=greek,YES,YES,637592,NO,NONE,common/history/states/00_states.txt:4659; map_data/state_regions/01_south_europe.txt:1182
STATE_AUSTRIA,Austria,R1_WESTERN_EUROPE,AUS,Austria,Homelands=south_german,NO,NO,2014400,NO,NONE,common/history/states/00_states.txt:7897; map_data/state_regions/00_west_europe.txt:1032
STATE_AUVERGNE_LIMOUSIN,Auvergne-Limousin,R1_WESTERN_EUROPE,FRA,France,Homelands=french|occitan,NO,NO,2327887,NO,NONE,common/history/states/00_states.txt:3653; map_data/state_regions/00_west_europe.txt:769
STATE_AZORES,Azores,R1_WESTERN_EUROPE,POR,Portugal,Homelands=portuguese,YES,YES,210532,NO,NONE,common/history/states/00_states.txt:3797; map_data/state_regions/01_south_europe.txt:771
STATE_BADEN,Baden,R1_WESTERN_EUROPE,BAD,Baden,Homelands=alemannic|south_german,NO,NO,1301400,NO,NONE,common/history/states/00_states.txt:8084; map_data/state_regions/00_west_europe.txt:1390
STATE_BALEARIC_ISLANDS,Balearic Islands,R1_WESTERN_EUROPE,GBR,Great Britain,Homelands=catalan|spanish; Claims=SPA,YES,NO,125684,NO,NONE,common/history/states/00_states.txt:1221; map_data/state_regions/01_south_europe.txt:535
STATE_BALEARIC_ISLANDS,Balearic Islands,R1_WESTERN_EUROPE,SPA,Spain,Homelands=catalan|spanish; Claims=SPA,YES,YES,125684,NO,NONE,common/history/states/00_states.txt:1216; map_data/state_regions/01_south_europe.txt:535
STATE_BASQUE_COUNTRY,Basque Country,R1_WESTERN_EUROPE,SPA,Spain,Homelands=basque|spanish,YES,YES,523140,NO,NONE,common/history/states/00_states.txt:1197; map_data/state_regions/01_south_europe.txt:452
STATE_BAVARIA,Bavaria,R1_WESTERN_EUROPE,BAV,Bavaria,Homelands=south_german,NO,NO,1742004,NO,NONE,common/history/states/00_states.txt:8105; map_data/state_regions/00_west_europe.txt:1453
STATE_BEIRA,Beira,R1_WESTERN_EUROPE,POR,Portugal,Homelands=portuguese,YES,YES,1106122,NO,NONE,common/history/states/00_states.txt:3752; map_data/state_regions/01_south_europe.txt:651
STATE_BOHEMIA,Bohemia,R1_WESTERN_EUROPE,AUS,Austria,Homelands=czech|south_german,NO,NO,4150412,NO,NONE,common/history/states/00_states.txt:7855; map_data/state_regions/00_west_europe.txt:1050
STATE_BOSNIA,Bosnia,R1_WESTERN_EUROPE,TUR,Turkey,Homelands=bosniak|croat|serb,NO,NO,864500,NO,NONE,common/history/states/00_states.txt:1099; map_data/state_regions/01_south_europe.txt:880
STATE_BRANDENBURG,Brandenburg,R1_WESTERN_EUROPE,PRU,Prussia,Homelands=north_german,NO,NO,1631504,NO,NONE,common/history/states/00_states.txt:8046; map_data/state_regions/00_west_europe.txt:1335
STATE_BRITTANY,Brittany,R1_WESTERN_EUROPE,FRA,France,Homelands=breton|french,YES,YES,2620278,NO,NONE,common/history/states/00_states.txt:3662; map_data/state_regions/00_west_europe.txt:788
STATE_BRUNSWICK,Brunswick,R1_WESTERN_EUROPE,BRA,Brunswick,Homelands=north_german,NO,NO,224400,NO,NONE,common/history/states/00_states.txt:8150; map_data/state_regions/00_west_europe.txt:1433
STATE_BRUNSWICK,Brunswick,R1_WESTERN_EUROPE,HAN,Hanover,Homelands=north_german,NO,NO,184000,NO,NONE,common/history/states/00_states.txt:8146; map_data/state_regions/00_west_europe.txt:1433
STATE_BRUNSWICK,Brunswick,R1_WESTERN_EUROPE,PRU,Prussia,Homelands=north_german,NO,NO,112000,NO,NONE,common/history/states/00_states.txt:8154; map_data/state_regions/00_west_europe.txt:1433
STATE_BULGARIA,Bulgaria,R1_WESTERN_EUROPE,TUR,Turkey,Homelands=bulgarian|turkish,YES,YES,874408,NO,NONE,common/history/states/00_states.txt:4715; map_data/state_regions/01_south_europe.txt:921
STATE_BURGUNDY,Burgundy,R1_WESTERN_EUROPE,FRA,France,Homelands=french,NO,NO,1576918,NO,NONE,common/history/states/00_states.txt:3671; map_data/state_regions/00_west_europe.txt:810
STATE_CALABRIA,Calabria,R1_WESTERN_EUROPE,SIC,Two Sicilies,Homelands=south_italian,YES,YES,882848,NO,NONE,common/history/states/00_states.txt:7741; map_data/state_regions/01_south_europe.txt:150
STATE_CAMPANIA,Campania,R1_WESTERN_EUROPE,SIC,Two Sicilies,Homelands=south_italian,YES,YES,2557396,NO,NONE,common/history/states/00_states.txt:7725; map_data/state_regions/01_south_europe.txt:131
STATE_CANARY_ISLANDS,Canary Islands,R1_WESTERN_EUROPE,SPA,Spain,Homelands=spanish,YES,YES,231268,NO,NONE,common/history/states/00_states.txt:3807; map_data/state_regions/01_south_europe.txt:751
STATE_CAPE_VERDE,Cape Verde,R1_WESTERN_EUROPE,POR,Portugal,Homelands=afro_brazilian,YES,YES,78819,NO,NONE,common/history/states/00_states.txt:3786; map_data/state_regions/01_south_europe.txt:730
STATE_CATALONIA,Catalonia,R1_WESTERN_EUROPE,SPA,Spain,Homelands=catalan|spanish,YES,YES,976110,NO,NONE,common/history/states/00_states.txt:1206; map_data/state_regions/01_south_europe.txt:506
