Owner_TAG,Country,State_ID,Current_Steel_Mill_Level,Historical_Target_Level,Country_Has_Coke_Smelting,Final_Target_Level,Decision,Overlay_Type,Reason
BEO,Belgium,STATE_WALLONIA,0,2,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
FRA,France,STATE_ALSACE_LORRAINE,2,0,NO,0,REMOVE,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
GBR,Great Britain,STATE_YORKSHIRE,0,2,YES,2,ADD,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
PRU,Prussia,STATE_RHINELAND,1,0,NO,0,REMOVE,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
RUS,Russia,STATE_CHELYABINSK,0,2,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
RUS,Russia,STATE_PERM,0,2,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
RUS,Russia,STATE_UFA,0,1,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
RUS,Russia,STATE_URAL,0,2,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
SWE,Sweden,STATE_SVEALAND,0,2,NO,0,KEEP,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
USA,America,STATE_PENNSYLVANIA,2,0,NO,0,REMOVE,STEEL_GAMEPLAY_ABSTRACTION,PRE_COKE_METALLURGY_ABSTRACTED_OUTSIDE_STEEL_GOOD
