Research_Region,Owner_TAG,Owner_Name,State_ID,State_Name,Supplemental_Status,Positive_Row_Count,Evidence_Source_1,Evidence_Source_2,Evidence_Class,Coverage_Confidence,Map_Rework_Risk,Original_Reason_Missing,Notes
R1_WESTERN_EUROPE,TUR,Turkey,STATE_ALBANIA,Albania,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,PRU,Prussia,STATE_ANHALT,Anhalt,COVERED_ZERO_POSITIVE,0,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,,AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_ATTICA,Attica,COVERED_POSITIVE,1,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,TUR,Turkey,STATE_BOSNIA,Bosnia,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,PRU,Prussia,STATE_BRUNSWICK,Brunswick,COVERED_ZERO_POSITIVE,0,SUPPLIED_FILE:BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.md,,AGGREGATE_OLD_COVERAGE_PLUS_SUPPLEMENTAL_NEGATIVE_REVIEW,MEDIUM,NONE,AGGREGATE_COVERAGE_ASSERTED_BUT_PAIR_NOT_EXPLICITLY_ENUMERATED,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_BULGARIA,Bulgaria,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_CRETE,Crete,COVERED_POSITIVE,1,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,Supplemental historical review completed for 1776-01-01. 1 conservative positive building recommendation(s) retained; see BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv.
R1_WESTERN_EUROPE,RUS,Russia,STATE_DOBRUDJA,Dobrudja,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,,REGIONAL_18C_EVIDENCE_INSUFFICIENT_FOR_EXACT_POSITIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_DOBRUDJA,Dobrudja,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
R1_WESTERN_EUROPE,TUR,Turkey,STATE_EASTERN_SERBIA,Eastern Serbia,COVERED_ZERO_POSITIVE,0,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,https://www.persee.fr/doc/ahess_0395-2649_1992_num_47_2_279046,REGIONAL_18C_EVIDENCE_CONSERVATIVE,MEDIUM,NONE,NO_EXPLICIT_OWNER_STATE_COVERAGE_FOUND_IN_SUPPLIED_REGIONAL_DELIVERABLES,"Supplemental historical review completed for 1776-01-01. Available evidence was regional, indirect, outside the cutoff, or insufficient to establish a manually-placeable building at this exact Owner_TAG + State_ID resolution. This is an explicit zero-positive conclusion, not an unresearched gap."
