"record_type","checkpoint","game_date","game_tick","state_region","state_id","province_id","owner_before","owner_after","controller_before","controller_after","region_state_empty","province_count","population","subject_status","capital_before","capital_after","event_opened","option_2e_visibility","option_2e_enabled","failed_trigger","real_option_selected","event_effect_executed","reload_completed","save_name","save_sha256","result","evidence","notes"
"SESSION_PLAN","PRE_LAUNCH","","","","","","","","","","","","","","","","false","","","","false","false","false","","","PASS","One opening; one BIC game; one reload; one final close","No GBR session; no console; no real option"
"PLAYSET","PRE_LAUNCH","","","","","","","","","","","","","","","","false","","","","false","false","false","","","PASS","Only 1776_Age_of_Revolutions_sepoy_test active","Fork, other copies and Workshop disabled"
"BOMBAY_INITIAL","NEW_GAME","1776.1.1","0","STATE_BOMBAY","","x51F0A0/39686","POR","POR","POR","POR","false","1","446391","","","","false","","","","false","false","false","","","PASS","POR owns x51F0A0; BIC has no Bombay","MARATH/SAT/KHP 25/10/3"
"WEST_BENGAL_INITIAL_BIC","NEW_GAME","1776.1.1","0","STATE_WEST_BENGAL","487","40292;40306","BIC","BIC","BIC","BIC","false","16","17269307","","STATE_WEST_BENGAL","STATE_WEST_BENGAL","false","","","","false","false","false","","","PASS","Real BIC split-state portion and initial capital","Baseline inherited from C1AC and operator nominal confirmation"
"WEST_BENGAL_INITIAL_COO","NEW_GAME","1776.1.1","0","STATE_WEST_BENGAL","488","40305","COO","COO","COO","COO","false","1","243388","puppet of BIC","488","488","false","","","","false","false","false","","","PASS","Real initial COO split-state portion","COO subject remains present"
"EAST_BENGAL_INITIAL","NEW_GAME","1776.1.1","0","STATE_EAST_BENGAL","14","40309 29","BIC","BIC","BIC","BIC","false","30","21556674","","40324","40324","false","","","","false","false","false","","","PASS","Screenshot shows populated East Bengal owned by BIC","Deep population confirmed after preparation"
"E2_PREPARATION","PREP_OPTION","1776.1.1","0","STATE_BOMBAY;STATE_WEST_BENGAL","482;487;488","39686;40292;40306;40305","POR;BIC;COO","BIC;empty;COO","POR;BIC;COO","BIC;empty;COO","mixed","","","COO and JEY remain puppets","STATE_WEST_BENGAL","14","false","","","","false","false","false","","","PASS","zz_sepoy_test_e2_ready serialized","Only the two authorized ownership transfers"
"BOMBAY_PREPARED","PRE_EVENT","1776.1.1","0","STATE_BOMBAY","482","39686","POR","BIC","POR","BIC","false","1","446391","","","","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","country=218; capital=39686; provinces={39686 0}","MARATH/SAT/KHP remain 25/10/3"
"WEST_BENGAL_PREPARED","PRE_EVENT","1776.1.1","0","STATE_WEST_BENGAL","487;488","40292 16","BIC;COO","empty;COO","BIC;COO","empty;COO","true for 487; false for 488","17","17512663","COO puppet of BIC","STATE_WEST_BENGAL","488","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","487 has only previous_country=218; 488 country=412","All West Bengal population and provinces aggregated at COO"
"EAST_BENGAL_PREPARED","PRE_EVENT","1776.1.1","0","STATE_EAST_BENGAL","14","40309 29","BIC","BIC","BIC","BIC","false","30","21556674","","40324","40324","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","state 14 country=218 and populated","5,656,667 workforce plus 15,900,007 dependents"
