"record_type","branch","checkpoint","game_date","game_tick","state_region","state_id","province_id","owner","controller","region_state_empty","province_count","population","subject_status","capital","event_opened","option_2e_visibility","option_2e_enabled","failed_trigger","real_option_selected","event_effect_executed","reload_completed","bombay_present","west_bengal_present","east_bengal_present","save_name","save_sha256","result","evidence","notes"
"SESSION_PLAN","COMBINED","SESSION_PLAN","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","BIC subject of GBR; COO and JEY subjects of BIC","487 then 14","N/A","N/A","N/A","N/A","false","false","two reloads","phase-dependent","phase-dependent","true","N/A","N/A","PASS","Observed single victoria3 process; one new BIC playthrough; final process check empty","One opening; one BIC game; no GBR session; RELOAD_1 and RELOAD_2; one final close"
"PLAYSET","COMBINED","PLAYSET","1776.1.1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","false","N/A","N/A","N/A","N/A","N/A","N/A","PASS","User confirmation before launch","Only 1776_Age_of_Revolutions_sepoy_test active; fork, other copies and Workshop disabled"
"E3_BASELINE_WEST_BENGAL","E3_NEGATIVE","BASELINE","1776.1.1","0","STATE_WEST_BENGAL","487/488","40292-40308","BIC/COO","BIC/COO","false/false","16/1","17269275/243388","COO puppet of BIC","BIC capital state 487","false","N/A","N/A","N/A","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Rakaly 0.8.18: state 487 country 218 provinces {40292 12 40306 2}; state 488 country 412 province {40305 0}","Both real populated portions present"
"E3_BASELINE_BOMBAY","E3_NEGATIVE","BASELINE","1776.1.1","0","STATE_BOMBAY","482","39686/x51F0A0","POR","POR","false","1","446391","N/A","39686","false","N/A","N/A","STATE_BOMBAY absent from BIC","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Rakaly: state 482 country 30 POR, province 39686, population 446391","BIC owns no Bombay; MARATH/SAT/KHP remain 25/10/3 provinces"
"E3_BASELINE_EAST_BENGAL","E3_NEGATIVE","BASELINE","1776.1.1","0","STATE_EAST_BENGAL","14","{40309 29}","BIC","BIC","false","30","21556674","BIC subject of GBR","40324","false","N/A","N/A","N/A","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Rakaly: state 14 country 218 and populated","Unchanged natural baseline"
"E3_PRE_EVENT_SAVE","E3_NEGATIVE","SAVE","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","same playthrough 5662cb9e-72fd-4921-80ad-11a9f9652054","487","false","N/A","N/A","N/A","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","7908170 bytes; 2026-07-22T20:28:32.5314449+02:00","Original unchanged after temporary melt cleanup"
"E3_EVENT_OPEN","E3_NEGATIVE","EVENT","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","N/A","487","true","hidden","false","STATE_BOMBAY absent from BIC","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Operator screenshot of Le coup de grâce","Real event opened manually by E-3"
"E3_OPTION_2E_UI","E3_NEGATIVE","UI","1776.1.1","0","STATE_BOMBAY","N/A","N/A","BIC","BIC","true","0","0","N/A","487","true","hidden","false","STATE_BOMBAY absent from BIC","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","OPTION_2E_HIDDEN_NEGATIVE","Screenshot shows only abandon India and hold Fort William/Calcutta","Bombay option entirely absent"
"E3_NO_OPTION_SELECTED","E3_NEGATIVE","NO_SELECTION","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","N/A","487","true","hidden","false","STATE_BOMBAY absent from BIC","false","false","false","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Operator report and later serialized state","No real event option executed"
"RELOAD_1","E3_NEGATIVE","RELOAD_1","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","COO and JEY still puppets","487","false","N/A","N/A","N/A","false","false","true","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Operator explicitly announced reload; E-2 preparation followed from restored baseline","Exactly RELOAD_1"
"E3_EFFECT_LEAK_CHECK","E3_NEGATIVE","POST_RELOAD_1","1776.1.1","0","STATE_WEST_BENGAL/STATE_BOMBAY/STATE_EAST_BENGAL","487/488/482/14","39686","BIC/COO/POR/BIC","same","false","16+1/1/30","17269275+243388/446391/21556674","GBR→BIC and BIC→COO/JEY pacts intact","487","false","N/A","N/A","N/A","false","false","true","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS","Serialized baseline and subsequent controlled E-2 preparation","No transfer, release, market or large-radical effect from event 2"
"E2_PREPARATION","E2_POSITIVE","PREPARE","1776.1.1","0","STATE_BOMBAY/STATE_WEST_BENGAL","482/487/488","39686/x51F0A0","BIC/empty/COO","same","false/true/false","1/0/17","446391/0 active/17512663","COO and JEY remain puppets","14","false","N/A","N/A","N/A","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Exactly two E-2 set_state_owner mutations evidenced by serialized owners/provinces","POR Bombay→BIC then West Bengal BIC→COO"
"E2_BOMBAY","E2_POSITIVE","BASELINE_POSITIVE","1776.1.1","0","STATE_BOMBAY","482","39686/x51F0A0","BIC","BIC","false","1","446391","N/A","39686","false","N/A","N/A","N/A","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Rakaly: state 482 country 218, province 39686","MARATH/SAT/KHP remain owners of their 25/10/3 provinces"
"E2_WEST_BENGAL","E2_POSITIVE","BASELINE_POSITIVE","1776.1.1","0","STATE_WEST_BENGAL","487/488","{40292 16}","none/COO","none/COO","true/false","0/17","0 active/17512663","COO puppet of BIC","40300 in state 488","false","N/A","N/A","N/A","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","State 487 has no country/provinces; state 488 country 412 with all 17 provinces","No null or double owner"
"E2_EAST_BENGAL","E2_POSITIVE","BASELINE_POSITIVE","1776.1.1","0","STATE_EAST_BENGAL","14","{40309 29}","BIC","BIC","false","30","21556674","BIC subject of GBR","BIC capital state 14","false","N/A","N/A","N/A","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Rakaly: state 14 country 218 unchanged","Automatic capital relocation follows loss of West Bengal; no event option effect"
"E2_PRE_EVENT_SAVE","E2_POSITIVE","SAVE","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","same playthrough 5662cb9e-72fd-4921-80ad-11a9f9652054","14","false","N/A","N/A","N/A","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","7910567 bytes; 2026-07-22T21:32:42.1072985+02:00","Original unchanged after temporary melt cleanup"
"E2_EVENT_OPEN","E2_POSITIVE","EVENT","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","N/A","14","true","visible","true","none","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Operator screenshot of Le coup de grâce","Real event opened manually by E-2"
"E2_OPTION_2E_UI","E2_POSITIVE","UI","1776.1.1","0","STATE_BOMBAY","482","39686/x51F0A0","BIC","BIC","false","1","446391","N/A","14","true","visible","true","none","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","OPTION_2E_AVAILABLE_POSITIVE","Screenshot shows Bombay tient bon and green availability tooltip: state region is Bombay","West Bengal/Calcutta not required"
"E2_NO_OPTION_SELECTED","E2_POSITIVE","NO_SELECTION","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","N/A","14","true","visible","true","none","false","false","false","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Screenshot is hover/availability inspection; serialized POST has no option effects","No real event option executed"
"RELOAD_2","E2_POSITIVE","RELOAD_2","1776.1.1","0","N/A","N/A","N/A","BIC","BIC","N/A","N/A","N/A","COO and JEY still puppets","14","false","N/A","N/A","N/A","false","false","true","true","false","true","HOTFIX_5C2E4C1AG_E2_POSITIVE_PRE_EVENT","A43F912C9F26CF8671B4AA13AF22695E4B3BBB6E85A492616D8EBEF94A0B09AD","PASS","Post-reload control preserves E-2 core state and pacts","Exactly RELOAD_2"
"POST_RELOAD_CONTROL","E2_POSITIVE","POST_RELOAD","1776.1.1","0","STATE_BOMBAY/STATE_WEST_BENGAL/STATE_EAST_BENGAL","482/487/488/14","39686","BIC/none/COO/BIC","same","false/true/false/false","1/0/17/30","446391/0 active/17512663/21556674","GBR→BIC and BIC→COO/JEY intact","14","false","N/A","N/A","N/A","false","false","true","true","false","true","HOTFIX_5C2E4C1AG_POST_RELOAD_CONTRO","43D5BB46BBC756F7059E323D8525213F7531A2E1544577B6D1E1C1D73C68EEDF","PASS","7910453 bytes; 2026-07-22T21:34:36.4739756+02:00","Victoria truncated final L because of save-name length; original not renamed"
"E2_EFFECT_LEAK_CHECK","E2_POSITIVE","POST_RELOAD","1776.1.1","0","STATE_BOMBAY/STATE_WEST_BENGAL/STATE_EAST_BENGAL","482/487/488/14","39686","BIC/none/COO/BIC","same","false/true/false/false","1/0/17/30","446391/0 active/17512663/21556674","same puppet and chartered-company pacts; market 0","14","false","N/A","N/A","N/A","false","false","true","true","false","true","HOTFIX_5C2E4C1AG_POST_RELOAD_CONTRO","43D5BB46BBC756F7059E323D8525213F7531A2E1544577B6D1E1C1D73C68EEDF","PASS_NO_EVENT_EFFECT_LEAK","Core serialized owners/provinces/populations/pacts match E-2 pre-event","No subject release, leverage removal, extra transfer, independent market or large-radical signature"
"NEGATIVE_RESULT","E3_NEGATIVE","VERDICT","1776.1.1","0","STATE_BOMBAY","N/A","N/A","BIC","BIC","true","0","0","N/A","487","true","hidden","false","STATE_BOMBAY absent from BIC","false","false","true","false","true","true","HOTFIX_5C2E4C1AG_E3_NEGATIVE_PRE_EVENT","7AE86C3A45E17DCDD866AE9AD39558683153B153FD1C8845AF2E95F91EE3599B","PASS_E3_TRIGGER_FIX_NEGATIVE","UI capture plus serialized negative baseline","West Bengal alone is not sufficient"
