"path","location","status","size","sha256","purpose","source_example","contains_gameplay_effects","notes"
"common/decisions/zz_sepoy_functional_test.txt","DISPOSABLE_COPY","CREATED_HARNESS","298","02721DE11FE7B45CAF95DE11CF5199FA77D2A9C3799AD264DD69284F47EB3C8B","Decision humaine BIC ouvrant uniquement le popup de controle.","vanilla common/decisions/000_decisions_help.txt; british_raj_decisions.txt","NO","Harnais jetable; ne pas copier dans le fork."
"events/zz_sepoy_functional_test_events.txt","DISPOSABLE_COPY","CREATED_HARNESS","463","32D3CF4164CADC3ECF1DBCE0C5A7C2809DD3A1A5407C89378FE7939D729EA4E0","Country event informatif avec garde BIC et option sans effet.","vanilla events/korea_events.txt; bic_breakup.txt; egyptian_crisis_events.txt","NO","Aucun immediate, variable, modifier ou effet d option."
"localization/english/zz_sepoy_functional_test_l_english.yml","DISPOSABLE_COPY","CREATED_HARNESS","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","Localisation anglaise complete du harnais.","vanilla common/decisions/000_decisions_help.txt localization contract","NO","UTF-8 BOM; six cles; aucun doublon."
"localization/french/zz_sepoy_functional_test_l_french.yml","DISPOSABLE_COPY","CREATED_HARNESS","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","Localisation francaise complete du harnais.","structure localization/french attestee dans la copie","NO","UTF-8 BOM; six cles; aucun doublon."
"common/journal_entries/04_sepoy_mutiny.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","Controle immuable de la journal entry Sepoy copiee.","fork common/journal_entries/04_sepoy_mutiny.txt","YES","Hash identique au fork et a C1A; aucun namespace de test."
"events/india_events/sepoy_mutiny_events.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","Controle immuable des events Sepoy copies.","fork events/india_events/sepoy_mutiny_events.txt","YES","Hash identique au fork et a C1A; aucun namespace de test."
"descriptor.mod","DISPOSABLE_COPY","EXPECTED_DESCRIPTOR_DIFFERENCE","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","Descripteur interne distinct de la copie jetable.","fork descriptor.mod avec nom jetable defini en C1A","NO","Inchange depuis C1A; seule difference source attendue: name."
"1776_Age_of_Revolutions_sepoy_test.mod","EXTERNAL_LAUNCHER","EXPECTED_DESCRIPTOR_DIFFERENCE","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","Entree launcher externe pointant vers la copie jetable.","fork launcher descriptor adapte en C1A","NO","Inchange depuis C1A; aucun remote_file_id."
"DISPOSABLE_SEPOY_TEST_COPY.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","Marqueur de securite de la copie jetable.","cree et hashe en C1A","NO","Inchange depuis C1A; contient DO NOT PUBLISH."
"docs/reports/hotfix/HOTFIX_5C2E4C1B_SEPOY_HARNESS_STATIC_SETUP.md","FORK","CREATED_REPORT","12146","0087C070FB0B7B5B06AC7BFAF9622591DFA5C50D73058B447ECAC0E17AB00F48","Rapport de creation et validation statique C1B.","exigences HOTFIX-5C2E4C1B et preuves vanilla locales","NO","Seul livrable Markdown C1B dans le fork."
"docs/reports/hotfix/HOTFIX_5C2E4C1B_HARNESS_MANIFEST.csv","FORK","CREATED_REPORT","","","Manifest des fichiers crees et controles par C1B.","inventaire C1B","NO","Taille et hash auto-referentiels volontairement omis."
