record_type,checkpoint,state_region,portion_owner_before,portion_owner_after,controller_before,controller_after,bic_owned_before,bic_owned_after,strategic_region,priority_transfer,generic_transfer,subject_before,subject_after,radicals_before,radicals_after,radical_scope_valid,null_owner,loop_terminated,country_played_after,result,evidence,notes
SESSION_PLAN,launch_and_close,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,BIC,PASS,"One launch and one clean close","No additional opening required"
PLAYSET,disposable_harness_only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BIC,PASS,"Operator confirmation","1776_Age_of_Revolutions_sepoy_test only"
PREPARATION,B1_preparation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,no,N/A,BIC,PASS,"Map unchanged after preparation","Preparation marker only"
BASELINE_SAVE,pre_option_save,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,no,N/A,BIC,PASS,"HOTFIX_5C2E4C1K_B1_PRE_OPTION_1776_01_01.v3","SHA256 19ED98D357672806DFF4B9204E2A1D2DCCC859AD99A468509E57F0B5FBC19BB9"
STATE,west_bengal,STATE_WEST_BENGAL,BIC,COO,BIC,COO,yes,no,region_north_india,no,yes,N/A,N/A,0,0,yes,no,yes,BIC,FAIL,"Runtime captures before and after","BIC Bengal core lost"
STATE,east_bengal,STATE_EAST_BENGAL,BIC,COO,BIC,COO,yes,no,region_north_india,no,yes,N/A,N/A,0,0,yes,no,yes,BIC,FAIL,"Runtime captures before and after","BIC Bengal core lost"
STATE,bihar,STATE_BIHAR,BIC,NAG,BIC,NAG,yes,no,region_north_india,yes,no,N/A,N/A,0,0,yes,no,yes,BIC,PASS,"Runtime captures before and after","Priority Central Provinces receiver"
STATE,awadh_bic_portion,STATE_AWADH,BIC,AWA,BIC,AWA,yes,no,region_north_india,yes,no,N/A,N/A,0,0,yes,no,yes,BIC,PASS,"Split-state captures","Existing AWA receives BIC portion"
STATE,bundelkhand_bic_portion,STATE_BUNDELKHAND,BIC,MARATH,BIC,MARATH,yes,no,region_north_india,yes,no,N/A,N/A,0,0,yes,no,yes,BIC,PASS,"Split-state captures","Historical neighboring receiver"
STATE,northern_circars_bic_portion,STATE_NORTHERN_CIRCARS,BIC,HYD,BIC,HYD,yes,no,region_south_india,yes,no,N/A,N/A,0,0,yes,no,yes,BIC,PASS,"Split-state captures","JEY portion remains JEY"
STATE,pegu_bic_portion,STATE_PEGU,BIC,"BUR+BIC remnant",BIC,"BUR+BIC remnant",yes,yes,region_south_india,yes,yes,N/A,N/A,0,0,not_tested,no,yes,BIC,PARTIAL,"Post-event Pegu tooltip","BIC survives only on a tiny Pegu portion"
SUBJECT,cooch_behar,STATE_WEST_BENGAL,"COO subject of BIC","COO independent",BIC,COO,no,no,region_north_india,N/A,N/A,yes,no,0,0,N/A,no,yes,BIC,PASS,"Diplomacy and state captures","COO receives both Bengal portions"
SUBJECT,jeypore,STATE_NORTHERN_CIRCARS,"JEY subject of BIC","JEY independent",BIC,JEY,no,no,region_south_india,N/A,N/A,yes,no,0,0,N/A,no,yes,BIC,PASS,"Diplomacy and state captures","JEY retains its Circars portion"
RADICALS,hindu_radicals,region_north_india,N/A,N/A,N/A,N/A,N/A,N/A,region_north_india,N/A,N/A,N/A,N/A,0,0,inconclusive,no,yes,BIC,PARTIAL_RADICALS,"National radical counter and option tooltip","Proportional +10 percent on zero remains zero"
RADICALS,sunni_radicals,region_north_india,N/A,N/A,N/A,N/A,N/A,N/A,region_north_india,N/A,N/A,N/A,N/A,0,0,inconclusive,no,yes,BIC,INCONCLUSIVE_ZERO_BASELINE,"National radical counter and option tooltip","Non-zero baseline required"
LOOP,event_2b_completion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,no,yes,BIC,PASS,"Game remained active","No crash freeze or infinite loop"
LOGS,fresh_targeted_scan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,yes,BIC,PASS,"Fresh error.log game.log debug.log","Zero targeted B1 event state or set_state_owner errors; 50 unrelated sr errors; one Unknown tooltip type warning"
FILE_INTEGRITY,fork_and_harness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,N/A,PASS,"Git and manifest checks","Gameplay Sepoy files and disposable harness unchanged; docs/research/technology intact"
SAVE_INTEGRITY,post_option_save,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,yes,BIC,PASS,"HOTFIX_5C2E4C1K_B1_POST_OPTION_1776_01_01.v3","SHA256 4A07D59D0822605B57C344534F87B901BD5AC5EE9DE0DE1C3FC232647EAE2231"
SUMMARY,final_verdict,N/A,BIC,"BIC Pegu remnant",BIC,BIC,yes,yes,"north and south India",mixed,yes,"COO and JEY subjects","COO and JEY independent",0,0,inconclusive,no,yes,BIC,FAIL_B1_BENGAL_CORE_LOST,"Runtime captures fresh logs and save hashes","Bengal preservation must be fixed before B1 can pass"
