"record_type","checkpoint","state_region","owner_before","owner_after","bic_portion_preserved","controller_before","controller_after","subject_before","subject_after","radicals_before_preparation","radicals_after_preparation","radicals_after_2b","radical_scope_valid","loop_terminated","null_owner","country_played_after","save_sha256","result","evidence","notes"
"SESSION_PLAN","single_launch_single_close","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Operator report; victoria3 PID 38884 observed during session and stopped after final close","One new BIC game; no crash, block, or relaunch reported."
"PLAYSET","disposable_B1_harness","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BIC","N/A","PASS_WITH_EVIDENCE_LIMIT","B-1 decisions visible; game.log loaded zz_sepoy_functional_test_b1_events.txt","Prescribed disposable playset was used; unique-mod confirmation was not independently restated in the runtime report."
"PREPARATION","explicit_B1_prepare_option","STATE_WEST_BENGAL;STATE_EAST_BENGAL","BIC portions","BIC portions","yes","BIC","BIC","COO and JEY subjects","COO and JEY subjects","0","0","N/A","no","N/A","no","BIC","N/A","FAIL_B1_FIX_RADICAL_BASELINE","Operator report and pre-option captures","Preparation caused no territorial or diplomatic mutation but failed to create visible radicals."
"BASELINE_SAVE_INITIAL","pre_option_save_live_hash","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","no","N/A","no","BIC","771B4AB364ABED9BCF306ED070ECCCD6D973F561AB155FB2F166957469080CA4","PASS","Live hash while Victoria 3 remained open","7,899,432 bytes; LastWriteTime 2026-07-18T10:07:48.1148764Z."
"WEST_BENGAL","post_2b_owner","STATE_WEST_BENGAL","BIC + COO split","BIC + COO split","yes","BIC/COO","BIC/COO","N/A","N/A","0","0","0","no","yes","no","BIC","N/A","PASS","Post-option state-region capture shows BIC West Bengal and distinct COO Cooch Behar","No artificial merger or annexation."
"EAST_BENGAL","post_2b_owner","STATE_EAST_BENGAL","BIC","BIC","yes","BIC","BIC","N/A","N/A","0","0","0","no","yes","no","BIC","N/A","PASS","Post-option East Bengal state capture","BIC portion preserved; no artificial third-party annexation observed."
"BIHAR","post_2b_owner","STATE_BIHAR","BIC","NAG","no","BIC","NAG","N/A","N/A","0","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Post-option Bihar capture identifies Nagpur","Matches C1K receiver."
"AWADH","post_2b_split_owner","STATE_AWADH","AWA + BIC","AWA + MUG/Hindustan","no","AWA/BIC","AWA/MUG","N/A","N/A","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Post-option region tooltip shows Awadh and Mughal Awadh owned by Hindustan","BIC portion transferred through the expected AWA/MUG branch."
"BUNDELKHAND","post_2b_owner","STATE_BUNDELKHAND","MARATH + BIC","MARATH","no","MARATH/BIC","MARATH","N/A","N/A","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Post-option Bundelkhand capture identifies Maratha Confederacy","Expected historical/generic receiver; no regression."
"NORTHERN_CIRCARS","post_2b_split_owner","STATE_NORTHERN_CIRCARS","BIC + JEY","HYD + JEY","no","BIC/JEY","HYD/JEY","JEY subject of BIC","JEY independent","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Post-option region tooltip shows Andhra/Hyderabad and Jeypore","Expected HYD branch; JEY portion remains distinct."
"PEGU","post_2b_split_owner","STATE_PEGU","BUR + BIC + DEN","BUR + BIC + DEN","yes","BUR/BIC/DEN","BUR/BIC/DEN","N/A","N/A","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Pre/post region tooltips show the same three owners","Pegu branch behavior unchanged; BIC remnant persists as in C1K."
"COO","subject_status_after","STATE_WEST_BENGAL","subject of BIC","independent","N/A","COO","COO","yes","no","N/A","N/A","N/A","N/A","yes","no","BIC","N/A","PASS","Post-option Cooch Behar diplomacy capture has no BIC suzerain and retains GBR military-service exemption","Initial COO portion remains separate from BIC West Bengal."
