record_type,checkpoint,game_date,game_tick,state_region,religion,population,radicals_visible,radicals_serialized,trend_radicals,event_2b_executed,bic_portion_preserved,save_name,save_sha256,result,evidence,notes
SESSION_PLAN,completed,1776-01-01,tick0,,,,,,,false,true,,,CONFORMING_SESSION,"Operator report and session artifacts","One launch; one new BIC game; no GBR; one final close; no relaunch"
PLAYSET,pre_launch,,,BIC,,,,,false,true,,,CONFIRMED,"Operator confirmation","Disposable copy only; main fork and all other 1776/Workshop copies disabled"
TICK0_BEFORE_PREPARATION,before_preparation,1776-01-01,tick0,BIC,,58200000,0,0,0,false,true,,,ZERO_BASELINE_UI,"First supplied screenshot","National population is the UI value; subgroup radical counts not separately exposed"
TICK0_AFTER_PREPARATION,after_preparation,1776-01-01,tick0,BIC,,58200000,0,0,0,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK0_AFTER_PREP_1776_01_01.v3,D0706CA5B43577267E0EB32057B85256700093ADBFAC5F3367733F70AD7D2920,ZERO_NATIONAL_WITH_QUEUED_SIGNAL,"UI 0; save trend_radicals={0}; radicals_increase=3.83013","B1 ready marker present; no territorial or diplomatic mutation"
SAVE_TICK0,save_integrity,1776-01-01,tick0,BIC,,,,0,0,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK0_AFTER_PREP_1776_01_01.v3,D0706CA5B43577267E0EB32057B85256700093ADBFAC5F3367733F70AD7D2920,VALID,"Original size 7910491; melted-copy SHA256 517BCE35DCE7E32B8AFF493CAA4B66D0E1B5EBC617444276FC5C1818ECCC17B0","Original was not modified"
TICK1_AFTER_PREPARATION,first_daily_tick,1776-01-02,trend_index_2,BIC,,,0,0,"0 0",false,true,,,BASELINE_STILL_ZERO,"Operator observation plus Jan3 save trend_radicals second value=0","No distinct Jan2 save exists; history proves first-tick zero"
SECOND_TICK_AFTER_PREPARATION,second_daily_tick,1776-01-03,trend_index_3,BIC,,58200000,383K,383338,"0 0 383338",false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,BASELINE_APPEARS_SECOND_TICK,"Jan3 screenshot and population_radicals=383338","Save filename says Jan2 but serialized date is Jan3"
SAVE_DATE_MISMATCH,named_tick1_actual_tick2,1776-01-03,second_daily_tick,BIC,,,383K,383338,"0 0 383338",false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,SAVE_DATE_MISMATCH,"Serialized date=1776.1.3","Protocol/file-name drift; first tick remains recoverable from trend history"
WEST_BENGAL,BIC_portion_second_tick,1776-01-03,second_daily_tick,STATE_WEST_BENGAL,all_targeted,16893439,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,PRESERVED,"State 487 owner=218 BIC; state 488 owner=412 COO","Population sums BIC Hindu and Sunni only"
EAST_BENGAL,BIC_portion_second_tick,1776-01-03,second_daily_tick,STATE_EAST_BENGAL,all_targeted,21400126,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,PRESERVED,"State 14 owner=218 BIC","Population sums BIC Hindu and Sunni only"
HINDU,west_bengal_bic,1776-01-03,second_daily_tick,STATE_WEST_BENGAL,hindu,13071323,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,POPULATION_SERIALIZED,"65 pop objects; workforce 3372855; dependents 9698468","No per-religion radical total identified"
SUNNI,west_bengal_bic,1776-01-03,second_daily_tick,STATE_WEST_BENGAL,sunni,3822116,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,POPULATION_SERIALIZED,"15 pop objects; workforce 1008029; dependents 2814087","No per-religion radical total identified"
HINDU,east_bengal_bic,1776-01-03,second_daily_tick,STATE_EAST_BENGAL,hindu,5992000,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,POPULATION_SERIALIZED,"30 pop objects; workforce 1572900; dependents 4419100","No per-religion radical total identified"
SUNNI,east_bengal_bic,1776-01-03,second_daily_tick,STATE_EAST_BENGAL,sunni,15408126,not_separately_reported,not_separately_reported,,false,true,HOTFIX_5C2E4C1O_B1_RADICAL_TICK1_1776_01_02.v3,F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7,POPULATION_SERIALIZED,"11 pop objects; workforce 4044637; dependents 11363489","No per-religion radical total identified"
EVENT_2B_NOT_EXECUTED,stop_after_first_tick,1776-01-02,first_daily_tick,BIC,,,0,0,"0 0",false,true,,,PROTOCOL_COMPLIANT_STOP,"First-tick baseline zero; no event/log/save evidence of 2b","large_radicals effect not tested"
LOGS,post_close,,,,,,,,,false,true,,,NO_TARGETED_RUNTIME_ERROR,"Required Select-String patterns: no direct B1/Sepoy/effect/scope/token/BOM hit","Generic Script system error and PostValidate diagnostics are out of scope"
SAVE_COMPARISON,tick0_to_second_tick,1776-01-01_to_1776-01-03,tick0_to_second_daily_tick,BIC,,,"0_to_383K","0_to_383338","0 -> 0 -> 383338",false,true,"two saves","D0706CA5B43577267E0EB32057B85256700093ADBFAC5F3367733F70AD7D2920; F4250106076DD1B4E21F700996CB26163340C36343B48F2C86BD9ED40BFC0EA7",DEFERRED_UNTIL_SECOND_DAILY_TICK,"Queued radicals_increase exists at tick0; national aggregate materializes Jan3","First-tick materialization hypothesis refuted"
FILE_INTEGRITY,final,,,,,,,,,false,true,,,UNCHANGED,"Copy 964 files; 20 harness; Sepoy 63422 bytes SHA256 FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","No gameplay harness or localization file modified"
SUMMARY,verdict,1776-01-02,first_daily_tick,BIC,,,0,0,"0 0",false,true,,,FAIL_B1_RADICAL_BASELINE_AFTER_TICK,"Baseline remains zero after first daily tick","Second-tick appearance is supplementary evidence and does not validate 2b"
