record_type,checkpoint,game_date,game_tick,state_region,religion,population,radicals_visible,population_radicals,trend_radicals,radicals_increase,event_2b_executed,bic_portion_preserved,loop_terminated,save_name,save_sha256,materialization_class,result,evidence,notes
SESSION_PLAN,completed,1776-01-01_to_1776-01-05,continuous_session,BIC,,58300000,,,,,true,true,true,,,IMMEDIATE,CONFORMING_SESSION,"One launch; one new BIC game; one final close; no GBR or relaunch","Victoria 3 process absent before analysis"
PLAYSET,pre_launch,,,Disposable copy,,,,,,,false,true,true,,,N/A,CONFIRMED,"Launcher screenshot shows one active mod: 1776_Age_of_Revolutions_sepoy_test","Main fork and all other 1776 or Workshop versions disabled"
TICK0_BEFORE_PREPARATION,before_preparation,1776-01-01,tick0,BIC,,58300000,0,0,0,0,false,true,true,,,NOT_YET_MATERIALIZED,ZERO_BASELINE_UI,"Operator screenshot and report","West Bengal BIC 17.2M; East Bengal BIC 21.5M"
TICK0_AFTER_PREPARATION,after_preparation,1776-01-01,tick0,BIC,,58300000,0,0,0,queued_baseline,false,true,true,,,DEFERRED_BASELINE,ZERO_UI_WITH_QUEUED_SIGNAL,"Operator report: zero after explicit B-1 preparation","No territorial or diplomatic mutation"
TICK1_AFTER_PREPARATION,first_daily_tick,1776-01-02,daily_tick_1,BIC,,58300000,0,0,"0 0",queued_baseline,false,true,true,,,DEFERRED_BASELINE,BASELINE_STILL_ZERO,"Operator report and later trend history","Protocol correctly continued to Jan 3"
TICK2_BASELINE,second_daily_tick,1776-01-03,tick9,BIC,,58300000,383K,383338,"0 0 383338",3.83577,false,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_PRE_2B_1776_01_03.v3,9E41F8B741407A105056CD47C96BA24CF2A5BABCBE2468E0E85168865E75D22B,BASELINE_SECOND_TICK,VALID_BASELINE,"Serialized population_radicals=383338; West 169256; East 214017","Baseline order matches C1O"
PRE_2B_SAVE,immutable_checkpoint,1776-01-03,tick9,BIC,,38293565,383K,383338,"0 0 383338",3.83577,false,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_PRE_2B_1776_01_03.v3,9E41F8B741407A105056CD47C96BA24CF2A5BABCBE2468E0E85168865E75D22B,BASELINE_SECOND_TICK,VALID,"Save size 8251083; targeted pop LR sum=-3.83315","Original rehashed unchanged after analysis"
POST_2B_IMMEDIATE,immediate_after_option,1776-01-03,tick9,BIC,,38293565,383K,383338,"0 0 383338",42.13819,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,PASS_SERIALIZED_POP_EFFECT,"Targeted pop LR sum -3.83315 -> -42.13557; exact delta -38.30242; radicals_increase delta +38.30242","About 3830242 additional radicals serialized while aggregate UI remains stale"
POST_2B_TICK1,first_daily_tick_after_2b,1776-01-04,daily_tick_1,BIC,,38293565,383K,not_separately_saved,not_separately_saved,not_separately_saved,true,true,true,,,IMMEDIATE,UI_STALE,"Operator reports same national and state values as Jan 5","No distinct Jan 4 save required"
POST_2B_TICK2,second_daily_tick_after_2b,1776-01-05,tick17,BIC,,38293578,383K,383338,"0 0 383338",42.141,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_TICK2_1776_01_05.v3,9556141FA0BBF907B30733E4F321C893BCB38B0D81D7256C18765FD6183AED6F,IMMEDIATE,PASS_POP_EFFECT_AGGREGATE_STALE,"Targeted pop LR sum remains -42.13829; state/national aggregates unchanged","Five pop core records have minor demographic/background changes after two ticks"
