record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,region_state_empty,province_count,west_bengal_status,bombay_status,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,loyalists_and_radicals,event_2e_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"SESSION_PLAN","single_session","1776-01-01..1776-01-05","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","PASS","Operator report","One Victoria 3 opening; one new BIC game; one final close; no reload"
"PLAYSET","pre_session","","","","","","","","","","","","","","","","","","","","NO","","","","","","","PASS","Explicit user confirmation","Only 1776_Age_of_Revolutions_sepoy_test active"
"WEST_BENGAL_INITIAL_BIC","initial","1776-01-01","0","STATE_WEST_BENGAL","serialized 40292;40306","BIC","BIC","BIC","BIC","FALSE","2","WEST_BENGAL_PRESERVED","","17269307","mixed","","260","","","","NO","YES","","","","","","PASS","pre region state 487","Real BIC portion required by the anomalous 2.e trigger"
"WEST_BENGAL_INITIAL_COO","initial","1776-01-01","0","STATE_WEST_BENGAL","serialized 40305","COO","COO","COO","COO","FALSE","1","WEST_BENGAL_PRESERVED","","243388","mixed","","","","","","NO","","","subject of BIC","subject of BIC","","","PASS","pre region state 488","Separate COO portion"
"BOMBAY_INITIAL_POR","initial","1776-01-01","0","STATE_BOMBAY","x51F0A0 / internal 39686","POR","POR","POR","POR","FALSE","1","","NOT_PREPARED","446391","Hindu and Catholic; no Sunni","0 UI before baseline","0","","","0","NO","NO","","","","","","PASS","operator screenshots and preparation precondition","Only the Portuguese Bombay portion is selected by the harness"
"BOMBAY_INITIAL_MARATH","initial","1776-01-01","0","STATE_BOMBAY","MARATH portion","MARATH","MARATH","MARATH","MARATH","FALSE","25","","UNCHANGED","11811923","mixed","","5298","","","","NO","","","","","","","PASS","pre region state 483","Serialized province encoding unchanged across all three saves"
"BOMBAY_INITIAL_SAT","initial","1776-01-01","0","STATE_BOMBAY","SAT portion","SAT","SAT","SAT","SAT","FALSE","10","","UNCHANGED","742713","mixed","","","","","","NO","","","","","","","PASS","pre region state 484","Serialized province encoding unchanged across all three saves"
"BOMBAY_INITIAL_KHP","initial","1776-01-01","0","STATE_BOMBAY","KHP portion","KHP","KHP","KHP","KHP","FALSE","3","","UNCHANGED","517691","mixed","","","","","","NO","","","","","","","PASS","pre region state 485","Three-province initial portion"
"PREPARATION","harness_option","1776-01-01","0","STATE_BOMBAY","x51F0A0 / internal 39686","POR","BIC","POR","BIC","FALSE","1","WEST_BENGAL_PRESERVED","PREPARED","446391","Hindu and Catholic; no Sunni","0 then 909","909","sample_rate=4;count=3650","0.01473","-0.00909 Hindu target","NO","YES","","","","","","PASS","pre-2.e save and screenshots","Single POR to BIC mutation; no MARATH mutation"
"BOMBAY_BIC_PRE_2E","pre_2e","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","x51F0A0 / internal 39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_PRESERVED","BOMBAY_CORE_PRESERVED","446391","Hindu 75852; Catholic 370539; Sunni 0","909","909","sample_rate=4;count=3650","0.01473","-0.00909 Hindu target","NO","YES","","","","HOTFIX_5C2E4C1V_E1_PRE_2E_1776_01_03.v3","3004330E199D2D57C2DD6B0F29FB81D68A60C3F31B8D4389EA1F716981B81E7E","PASS","state 482 and pop 14727","BIC state is real and non-empty before 2.e"
"RADICAL_BASELINE_HINDU","pre_2e","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","x51F0A0 / internal 39686","BIC","BIC","BIC","BIC","FALSE","1","","","75852","Hindu","909 state UI","909","sample_rate=4;count=3650","0.01473","-0.00909","NO","YES","","","","HOTFIX_5C2E4C1V_E1_PRE_2E_1776_01_03.v3","3004330E199D2D57C2DD6B0F29FB81D68A60C3F31B8D4389EA1F716981B81E7E","PASS","pop 14727 workforce 18963 dependents 56889","Deep signal compatible with very_small_radicals"
"RADICAL_BASELINE_SUNNI_NO_TARGET","pre_2e","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","x51F0A0 / internal 39686","BIC","BIC","BIC","BIC","FALSE","1","","","0","Sunni","0","0","","","N/A","NO","YES","","","","HOTFIX_5C2E4C1V_E1_PRE_2E_1776_01_03.v3","3004330E199D2D57C2DD6B0F29FB81D68A60C3F31B8D4389EA1F716981B81E7E","EXPECTED_NO_TARGET","serialized religion distribution","No Sunni target exists; zero delta is not a failure"
"PRE_2E_SAVE","immutable_checkpoint","1776-01-03","game_date=1776.1.3.12","","","","","","","","","WEST_BENGAL_PRESERVED","BOMBAY_CORE_PRESERVED","","","","","","","","NO","YES","","","","HOTFIX_5C2E4C1V_E1_PRE_2E_1776_01_03.v3","3004330E199D2D57C2DD6B0F29FB81D68A60C3F31B8D4389EA1F716981B81E7E","PASS","8269254 bytes","Original rehashed unchanged after analysis"
