"diagnostic_id","diagnostic_kind","normalized_message","relative_path","line","script_line","object","object_type","suspected_api_or_reference","raw_excerpt","family","runtime_current","fork_context","source_context","vanilla_context","fork_file_present","source_file_present","vanilla_file_present","existing_report","existing_block","existing_classification","protected_area","intentional_divergence","post_merge_backlog","semantic_rewrite_required","bounded_exception","already_accounted_for","final_classification","classification_reason","merge_blocker","recommended_action","fresh_log_file","fresh_log_line","raw_log_excerpt"
"6A28-0001","parser","Unknown trigger type: has_port","common/ai_strategies/00_default_strategy.txt","1412","1412","ai_strategy_default","ai_strategie","has_port","scope:target_state = { has_port = no }","API_HAS_PORT","true","scope:target_state = { has_port = no }","FILE_ABSENT","has_port_country = yes || scope:country = { has_port_country = yes } || scope:target_state = { has_port_state = no }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_D","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2830","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 1412"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 1412"
"6A28-0002","parser","Unknown trigger type: has_port","common/ai_strategies/00_default_strategy.txt","4357","4355","ai_strategy_default","ai_strategie","has_port","has_port = yes","API_HAS_PORT","true","has_port = yes","FILE_ABSENT","has_port_country = yes || scope:country = { has_port_country = yes } || scope:target_state = { has_port_state = no }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_D","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2831","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4355"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4357"
"6A28-0003","parser","Unknown trigger type: has_port","common/ai_strategies/00_default_strategy.txt","4369","4367","ai_strategy_default","ai_strategie","has_port","has_port = yes","API_HAS_PORT","true","has_port = yes","FILE_ABSENT","has_port_country = yes || scope:country = { has_port_country = yes } || scope:target_state = { has_port_state = no }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_D","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2832","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4367"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4369"
"6A28-0004","parser","Unknown trigger type: has_port","common/ai_strategies/00_default_strategy.txt","4378","4376","ai_strategy_default","ai_strategie","has_port","has_port = yes","API_HAS_PORT","true","has_port = yes","FILE_ABSENT","has_port_country = yes || scope:country = { has_port_country = yes } || scope:target_state = { has_port_state = no }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_D","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2833","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4376"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4378"
"6A28-0005","parser","Unknown trigger type: has_port","common/ai_strategies/00_default_strategy.txt","4387","4385","ai_strategy_default","ai_strategie","has_port","has_port = yes","API_HAS_PORT","true","has_port = yes","FILE_ABSENT","has_port_country = yes || scope:country = { has_port_country = yes } || scope:target_state = { has_port_state = no }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_D","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2834","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4385"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4387"
"6A28-0006","parser","Unexpected token: region_caucasus","common/ai_strategies/00_default_strategy.txt","4525","4515","ai_strategy_default","ai_strategie","region_caucasus","region_caucasus = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_caucasus = {","FILE_ABSENT","region = prev","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2835","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_caucasus, near line: 4515"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4525"
"6A28-0007","parser","Unexpected token: region_oceania","common/ai_strategies/00_default_strategy.txt","4547","4526","ai_strategy_default","ai_strategie","region_oceania","region_oceania = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_oceania = {","FILE_ABSENT","scope:region = sr:region_oceania","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2836","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_oceania, near line: 4526"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4547"
"6A28-0008","parser","Unexpected token: region_japan","common/ai_strategies/00_default_strategy.txt","4557","4548","ai_strategy_default","ai_strategie","region_japan","region_japan = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_japan = {","FILE_ABSENT","is_in_geographic_region = geographic_region_japan","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2837","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_japan, near line: 4548"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4557"
"6A28-0009","parser","Unexpected token: region_north_africa","common/ai_strategies/00_default_strategy.txt","4572","4559","ai_strategy_default","ai_strategie","region_north_africa","region_north_africa = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_north_africa = {","FILE_ABSENT","this = sr:region_north_africa || scope:region = sr:region_north_africa","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2838","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_north_africa, near line: 4559"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4572"
"6A28-0010","parser","Unexpected token: region_senegal","common/ai_strategies/00_default_strategy.txt","4586","4573","ai_strategy_default","ai_strategie","region_senegal","region_senegal = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_senegal = {","FILE_ABSENT","}","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2839","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_senegal, near line: 4573"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4586"
