"record_type","test_id","feature_or_path","pre_value","post_value","status","evidence","notes"
"STATIC_AUDIT","STATIC-01","Final branch static audit","TRUE_BLOCKERS=0;P0_P1_ACTIVE=0;REGISTRY_ROWS=513;UNKNOWN_BLOCKING=0;REQUIRED_ABSENT_FORK=0","","PASS","HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md;HOTFIX_MERGE_BLOCK_STATUS.csv;HOTFIX_MERGE_REMAINING_WORK.csv","GLOBAL_RUNTIME and FINAL_BRANCH_MERGE are the only remaining workflow gates"
"GAMEPLAY_TREE_HASH","POST-02","ALL_TRACKED_NON_DOC_FILES","F1B3BC42881C9E06F167C93C4B2C416AE3B92528C955AEFF4A7C975BC8847F79","F1B3BC42881C9E06F167C93C4B2C416AE3B92528C955AEFF4A7C975BC8847F79","MATCH","files=845","Deterministic SHA256 over sorted relative_path|file_SHA256 lines"
"SENSITIVE_FILE_HASH","POST-02","common/history/countries/bic - british east india company.txt","37B836DBE9A273F1202B592533EB8C851B3657DBB63422F50AE11021437F580C","37B836DBE9A273F1202B592533EB8C851B3657DBB63422F50AE11021437F580C","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/history/countries/ir1 - mamluk iraq.txt","3481A520097086F764C1DAB734D8A528488ACE1DCCA31807165E31AF0A6507C2","3481A520097086F764C1DAB734D8A528488ACE1DCCA31807165E31AF0A6507C2","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/history/countries/jap - japan.txt","A1BB7F93FA33E15B9DCCBE78C1C896BDF9D255406C452E53E769FFC39040E121","A1BB7F93FA33E15B9DCCBE78C1C896BDF9D255406C452E53E769FFC39040E121","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/history/countries/rus - russia.txt","7A5F1B1F60ACB4FEC9C600EACF33A0B03A382384ED3D7F57808E3A1D51DB6976","7A5F1B1F60ACB4FEC9C600EACF33A0B03A382384ED3D7F57808E3A1D51DB6976","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/journal_entries/00_assassination.txt","FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3","FB6FFC5DA625317234241519F3C924AC11C03F9405BEE8BFD1A55F656E7A60D3","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/journal_entries/00_fascism.txt","5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF","5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/journal_entries/00_liberalism.txt","C6168137313E741CB7D2692BFB3B57647AE83B0C5E349C7CF78CF1CA4B34DD47","C6168137313E741CB7D2692BFB3B57647AE83B0C5E349C7CF78CF1CA4B34DD47","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
"SENSITIVE_FILE_HASH","POST-02","common/journal_entries/00_peoples_springtime_je.txt","24636506A32130BBF01141B2E778000E4D5DE7DAC20F6BF92F5367E98AD6802B","24636506A32130BBF01141B2E778000E4D5DE7DAC20F6BF92F5367E98AD6802B","MATCH","PRE_POST_RUNTIME","Afghanistan, Poland, BIC, recent files, and all 6A27 paths"
