"record_id","subject","relative_path","file_domain","fork_present","hotfix_present","vanilla_present","fork_sha256","hotfix_sha256","vanilla_sha256","changelog_evidence","fork_value","hotfix_value","vanilla_value","candidate_hunk","classification","required_for_merge","priority","runtime_required","protected_overlap","recommended_phase","evidence","notes"
"ACWS-001","Croatia territory","common/history/states/00_states.txt","state_history","true","true","true","4168903AFD57AC886631DA7CEB11D795D4A6F0FCE5164D6F9A37CC356A153CFC","C07E7A4EB892FE6517D83A73E1328E7A9A4C6CF3122748FC2607124E524A0767","0FC9A5D4EE9215DB339CF97272460BB7957C1A9947ADAFE16DE3CBE8BB38A283","Changelog 2.3 line 10","STATE_CROATIA owner CRO; 8 provinces","STATE_CROATIA owner AUS; same 8 provinces","STATE_CROATIA owner CRO; same 8 provinces","At STATE_CROATIA replace country c:CRO with c:AUS only","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","Three-way state block comparison","Provinces x71A041 x70DF00 x6D8BC6 xF021C0 x71A0C0 xB39050 xB339EC x458E4C unchanged"
"ACWS-002","Slavonia territory","common/history/states/00_states.txt","state_history","true","true","true","4168903AFD57AC886631DA7CEB11D795D4A6F0FCE5164D6F9A37CC356A153CFC","C07E7A4EB892FE6517D83A73E1328E7A9A4C6CF3122748FC2607124E524A0767","0FC9A5D4EE9215DB339CF97272460BB7957C1A9947ADAFE16DE3CBE8BB38A283","Changelog 2.3 line 10","STATE_SLAVONIA owner CRO; 7 provinces","STATE_SLAVONIA owner AUS; same 7 provinces","STATE_SLAVONIA owner CRO; same 7 provinces","At STATE_SLAVONIA replace country c:CRO with c:AUS only","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","Three-way state block comparison","Provinces x51A021 x106020 x13318D x906121 x80CF00 x902161 x1A4DF9 unchanged"
"ACWS-003","Swiss territorial sliver","common/history/states/00_states.txt","state_history","true","true","true","4168903AFD57AC886631DA7CEB11D795D4A6F0FCE5164D6F9A37CC356A153CFC","C07E7A4EB892FE6517D83A73E1328E7A9A4C6CF3122748FC2607124E524A0767","0FC9A5D4EE9215DB339CF97272460BB7957C1A9947ADAFE16DE3CBE8BB38A283","Changelog 2.3 line 11","x90C0E0 belongs to SWI in STATE_EAST_SWITZERLAND","x90C0E0 removed from SWI and placed in AUS region_state of STATE_EAST_SWITZERLAND","x90C0E0 belongs to SWI in STATE_EAST_SWITZERLAND","Remove x90C0E0 from SWI list and add AUS create_state with that province","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","Exact three-way block and vanilla map definition","Changelog says West Switzerland but implementation is STATE_EAST_SWITZERLAND"
"ACWS-004","Croatia crown-land pact","common/history/diplomacy/00_subject_relationships.txt","diplomacy","true","true","true","564DC3B276373D8007E8E89559584CB89F4E2F1DB02CCF75A51AFF6C8DFE801C","A2D52CBF22780E66B43D05976D9ACC512207D754E5BEA650E076D878EEB4BCE3","62EBB4E8C528183521E0AE400A61EF14171D301A2E2DBF9893ED6EFDFACA45CE","Changelog 2.3 line 10","AUS creates CRO crown_land pact","CRO crown_land pact absent","AUS creates CRO crown_land pact","Delete only the CRO crown_land create_diplomatic_pact block","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","AUS subject block lines 197-222 fork versus 203-220 hotfix","Required if CRO is absorbed"
"ACWS-005","Croatia payment pact","common/history/diplomacy/00_subject_relationships.txt","diplomacy","true","true","true","564DC3B276373D8007E8E89559584CB89F4E2F1DB02CCF75A51AFF6C8DFE801C","A2D52CBF22780E66B43D05976D9ACC512207D754E5BEA650E076D878EEB4BCE3","62EBB4E8C528183521E0AE400A61EF14171D301A2E2DBF9893ED6EFDFACA45CE","Changelog 2.3 line 10","AUS creates CRO decrease_payments pact","CRO decrease_payments pact absent","AUS creates CRO decrease_payments pact","Delete only the CRO decrease_payments create_diplomatic_pact block","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","AUS subject block three-way comparison","Required with removal of CRO subject relationship"
"ACWS-006","Croatia buildings ownership","common/history/buildings/01_south_europe.txt","building_history","true","true","true","E9A35A762522EAA1A86667899C624650945F39BDA022818D859CDBA89139121C","D401DD4FF1AC4B870A79AC1CE3583F50923086FC5DB66157B841152D9FC54905","E9FCA670F184EB2D9F68E001397DE91349A0400A402380E1AA7799E5C18CB982","Changelog 2.3 line 10","STATE_CROATIA region_state CRO and CRO ownership references","STATE_CROATIA region_state AUS and corresponding AUS ownership references","STATE_CROATIA remains CRO","Re-key region_state and seven CRO ownership references to AUS; preserve all PMs and HUN ownership","REQUIRED_HOTFIX_DELTA","true","P0","true","NAVY;ADMIN","AFTER_6A2R","Full STATE_CROATIA building block comparison","Same file has committed naval-logistics history; surgical block only"
"ACWS-007","Croatia shipyard","common/history/buildings/01_south_europe.txt","building_history","true","true","true","E9A35A762522EAA1A86667899C624650945F39BDA022818D859CDBA89139121C","D401DD4FF1AC4B870A79AC1CE3583F50923086FC5DB66157B841152D9FC54905","E9FCA670F184EB2D9F68E001397DE91349A0400A402380E1AA7799E5C18CB982","Changelog 2.3 line 10 says sea access and fleet","No Croatia shipyard","AUS-owned level 2 financial-district shipyard with pm_basic_shipbuilding","No equivalent in vanilla Croatia block","Add only the hotfix shipyard create_building block","NAVY_PROTECTED","false","P0","true","NAVY","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION","Hotfix STATE_CROATIA lines 5158-5170","Legitimacy depends on NAVY architecture and must not be imported during 6A.2"
"ACWS-008","Slavonia buildings ownership","common/history/buildings/01_south_europe.txt","building_history","true","true","true","E9A35A762522EAA1A86667899C624650945F39BDA022818D859CDBA89139121C","D401DD4FF1AC4B870A79AC1CE3583F50923086FC5DB66157B841152D9FC54905","E9FCA670F184EB2D9F68E001397DE91349A0400A402380E1AA7799E5C18CB982","Changelog 2.3 line 10","STATE_SLAVONIA region_state CRO and CRO manor house","STATE_SLAVONIA region_state AUS and AUS manor house","STATE_SLAVONIA remains CRO","Re-key region_state and the CRO manor-house ownership to AUS; preserve HUN ownership and PMs","REQUIRED_HOTFIX_DELTA","true","P0","true","ADMIN","AFTER_6A2R","Full STATE_SLAVONIA building block comparison","Targeted ownership consistency hunk"
"ACWS-009","Croatia population scope","common/history/pops/01_south_europe.txt","population_history","true","true","true","9922E40542E5B1785F89049D518B73086E60366ACD0007725BF0A8F7703A0677","B26A2FF2CDBD504A2FBF1E71EC5D78D95B4E42C0F22EA6DD8127DD57EE71E9A2","AEED8FFAC83AA1C60E45F471A22DFBE808A9860DAF59B9765D340E98572A693F","Changelog 2.3 line 10","STATE_CROATIA region_state CRO","STATE_CROATIA region_state AUS","STATE_CROATIA region_state CRO","Replace region_state:CRO with region_state:AUS only","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","Three-way block comparison","All cultures religions and sizes remain identical"
"ACWS-010","Slavonia population scope","common/history/pops/01_south_europe.txt","population_history","true","true","true","9922E40542E5B1785F89049D518B73086E60366ACD0007725BF0A8F7703A0677","B26A2FF2CDBD504A2FBF1E71EC5D78D95B4E42C0F22EA6DD8127DD57EE71E9A2","AEED8FFAC83AA1C60E45F471A22DFBE808A9860DAF59B9765D340E98572A693F","Changelog 2.3 line 10","STATE_SLAVONIA region_state CRO","STATE_SLAVONIA region_state AUS","STATE_SLAVONIA region_state CRO","Replace region_state:CRO with region_state:AUS only","REQUIRED_HOTFIX_DELTA","true","P0","true","none","AFTER_6A2R","Three-way block comparison","All cultures religions and sizes remain identical"
