"block_id","block_name","region","scope","status","files_total","files_merged","files_pending","static_validation","runtime_validation","canonical_report","canonical_commit","next_action","priority","merge_blocker","post_merge_only","notes"
"MAMLUK_IRAQ","Mamluk Iraq","mamluk_iraq","IR1 tag territory army protectorate play and secret goal","MERGED_STATIC_ONLY","15","15","0","PASS","MISSING","../mamluk_iraq/HOTFIX_3F_IR1_SECRET_GOAL.md","a24fe7e","Run prepared IR1 validation","P2_REQUIRED_VALIDATION","true","false","Do not emit MAMLUK_IRAQ_COMPLETE before runtime"
"JAPAN","Japan","japan","Ryukyu Hokkaido Sakoku Tenpo Zaibatsu and deferred Meiji","PARTIALLY_MERGED","24","18","6","PARTIAL_PASS","MISSING","../japan/HOTFIX_4E8_FIX_EZO_HOKKAIDO_GATE.md","2228ce8","Resolve four source-only deltas and run Japan closure","P0_BLOCKS_FINAL_MERGE","true","false","Do not emit JAPAN_HOTFIX_COMPLETE before runtime"
"INDIA","India","india","HOTFIX-5 agreed India scope","COMPLETE","34","29","5","PASS","PASS","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","6d6db23","Keep closed; route five unrelated upstream deltas to global review","P3_OPTIONAL_CLEANUP","false","false","HOTFIX_5_INDIA_COMPLETE"
"EAST_INDIA_COMPANY","East India Company","india","Unique EIC BIC and Ryotwari workflow","COMPLETE","2","2","0","PASS","PASS","../india/east_india_company/HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY.md","fc9805f","Preserve targeted workflow","P3_OPTIONAL_CLEANUP","false","false","Never restore colonial exploitation"
"SEPOY","Sepoy","india","Journal APIs and breakup scenarios","COMPLETE","2","2","0","PASS","PASS","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","6d6db23","No further gameplay fix","P3_OPTIONAL_CLEANUP","false","false","SEPOY_RUNTIME_VALIDATION_COMPLETE"
"BENGAL","Bengal retreat","india","Retreat 2.b core and radicals","COMPLETE","1","1","0","PASS","PASS","../india/sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","1ef66f3","Preserve","P3_OPTIONAL_CLEANUP","false","false","Final"
"MADRAS","Madras retreat","india","Retreat 2.c core and radicals","COMPLETE","1","1","0","PASS","PASS","../india/sepoy/HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST.md","5565a75","Preserve","P3_OPTIONAL_CLEANUP","false","false","Final"
"BOMBAY","Bombay retreat","india","Retreat 2.e core radicals and trigger","COMPLETE","1","1","0","PASS","PASS","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","6d6db23","Preserve","P3_OPTIONAL_CLEANUP","false","false","BOMBAY_TRIGGER_ACCESS_CONFIRMED"
"TRAVANCORE","Travancore","india","State and coastal setup preservation","COMPLETE_PROTECTED","2","2","0","PASS","PASS","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","6d6db23","Preserve state_region and local flotilla","P3_OPTIONAL_CLEANUP","false","false","No overwrite"
"MARATH","MARATH SAT KHP","india","Concurrent user work and stash","PROTECTED_CONCURRENT_WORK","2","0","0","NOT_RUN","NOT_RUN","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","","Do not touch stash or overlapping files","P3_OPTIONAL_CLEANUP","false","false","Two exact overlapping paths"
"NAVY","NAVY","global","Fleet formations buildings countries and localization","PROTECTED_CONCURRENT_WORK","60","0","0","EXISTING_LOCAL_PROOFS","NOT_ASSESSED_HERE","../shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","","Dedicated audit only","P3_OPTIONAL_CLEANUP","false","false","Excluded from automatic merge"
"MILITARY_FORMATIONS_1_13","Military formations 1.13","global","Eight migrated formation history files and North Africa smoke control","COMPLETE","8","8","0","PASS","PASS","HOTFIX_MILITARY_FORMATIONS_1_13_RUNTIME_QA.md","3b02b2a","Preserve validated HQ mappings; fix old scope and ideology debt only in a separate phase","P3_OPTIONAL_CLEANUP","false","false","Fresh start, save reload and two three-month runs passed; does not close the broader NAVY block"
"ADMIN","ADMIN","global","Government administration production methods and buildings","PROTECTED_CONCURRENT_WORK","3","0","0","EXISTING_LOCAL_PROOFS","NOT_ASSESSED_HERE","../shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","","Dedicated audit only","P3_OPTIONAL_CLEANUP","false","false","Excluded from automatic merge"
"TECHNOLOGY","Technology","global","Technology files and dependencies","PENDING_REVIEW","8","7","1","PARTIAL","NOT_REQUIRED_YET","","","Review one compatibility delta; redesign stays backlog","P1_REQUIRED_CORRECTION","true","false","docs/research/technology excluded"
"AMERICAN_REVOLUTION","American events","america","Actual source deltas versus future redesign","PENDING_REVIEW","12","5","7","PARTIAL","MISSING","","","Review concrete deltas in 6A; keep redesign post-merge","P0_BLOCKS_FINAL_MERGE","true","false","Design backlog is not a blocker"
"FRENCH_REVOLUTION","French events","france","Actual source deltas versus future redesign","PENDING_REVIEW","14","12","2","PARTIAL","MISSING","","","Review concrete deltas in 6A; keep redesign post-merge","P0_BLOCKS_FINAL_MERGE","true","false","Design backlog is not a blocker"
"GLOBAL_LOCALIZATION","Global localization","global","English French regional and NAVY localization","PARTIALLY_MERGED","40","38","2","PARTIAL","MISSING","","","Preserve French; resolve only evidenced missing keys","P1_REQUIRED_CORRECTION","true","false","No bulk replacement"
"GLOBAL_SCRIPT_DELTAS","Global script delta container","global","Container of heterogeneous script subphases; legacy claim of twenty-six high-confidence deltas is UNVERIFIED","CONTAINER_IN_PROGRESS","26","17","9","PARTIAL_PASS","PARTIAL_PASS","HOTFIX_6A7_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","b80116c","Execute HOTFIX_6A7F Greek nationalism API alignment","P0_BLOCKS_FINAL_MERGE","true","false","Selection 6A.7 complete without gameplay changes; Greek nationalism selected as one file one object and exactly two convergent API hunks"
"GREEK_NATIONALISM_1_13_API","Greek nationalism Victoria 3 1.13 API alignment","greece","je_greek_nationalism monarchy-law trigger and default pinning API only","SELECTED_NOT_STARTED","1","0","1","NOT_RUN","NOT_RUN","HOTFIX_6A7_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","b80116c","Execute HOTFIX_6A7F with exactly two line substitutions then stop for human runtime","P0_BLOCKS_FINAL_MERGE","true","false","Replace has_law with country_has_monarchy_law and legacy pinning with uninvolved-or-context API; source-only Megali Greece geography and both visibility blocks are excluded"
"BALKAN_NATIONAL_AWAKENING_1_13","Balkan National Awakening 1.13 alignment","balkans","One journal entry with obsolete region_danubia reference and legacy pinning field","COMPLETE","1","1","0","PASS","PASS","HOTFIX_6A4F_BALKAN_NATIONAL_AWAKENING_1_13_ALIGNMENT.md","","Preserve the validated two-hunk alignment and continue residual selection","P3_OPTIONAL_CLEANUP","false","false","Fifty-one target errors before and zero after; one mounted-fork runtime; potential JE visible and readable in Wallachia"
"YUGOSLAVIA_JE_PINNING_1_13","Yugoslavia journal entry pinning 1.13 alignment","balkans","One legacy pinning property in je_yugoslavia","COMPLETE","1","1","0","PASS","PASS","HOTFIX_6A5F_YUGOSLAVIA_JE_PINNING_1_13_ALIGNMENT.md","","Preserve the validated one-hunk alignment and continue residual selection","P3_OPTIONAL_CLEANUP","false","false","Fork and dlc014_ip3 mounted; Serbia can form Yugoslavia; session reached 1776.1.25; target parser error one before and zero after"
"ITALIAN_RISORGIMENTO_JE_PINNING_1_13","Italian unification journal entry pinning 1.13 alignment","italy","One legacy pinning property in je_risorgimento; intentional year gate and current geography excluded","COMPLETE","1","1","0","PASS","PASS","HOTFIX_6A6F_ITALIAN_UNIFICATION_JE_PINNING_1_13_ALIGNMENT.md","","Preserve the validated hunk year gate and geography; continue with documentary residual selection","P3_OPTIONAL_CLEANUP","false","false","Fork and dlc014_ip3 mounted; Naples reached 1776.1.2; target error one before zero after; debug-only year tooltip diagnostic is not a missing localization"
"RUSSIA_SUBJECTHOOD","Russia Subjecthood Alignment","russia","One targeted law activation in common/history/countries/rus - russia.txt","COMPLETE_STATIC_RUNTIME_DEFERRED","1","1","0","PASS","DEFERRED_TO_GLOBAL","HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT.md","991f6a1","Inspect RUS during global runtime","P2_REQUIRED_VALIDATION","false","false","RUSSIA_SUBJECTHOOD_ALIGNMENT_COMPLETE"
"AUSTRIA_CROATIA_WEST_SWITZERLAND","Austria Croatia-Slavonia and Swiss sliver","global","Starting ownership subjects buildings pops protected formations and naval crew capacity","COMPLETE","14","14","0","PASS","PASS","HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION.md","","Preserve closed package and continue with DEI audit","P3_OPTIONAL_CLEANUP","false","false","30K Austrian Swiss population, Croatia naval administration level 3 and fleet manpower 2.30K/2.30K confirmed in one mounted-fork runtime"
