"relative_path","region","feature","file_domain","fork_status","hotfix_status","vanilla_status","difference_type","merge_status","intentional_fork_divergence","validated_static","validated_runtime","protected_concurrent_work","required_for_merge","priority","recommended_phase","recommended_action","evidence_report","evidence_commit","notes"
"common/ai_strategies/00_default_strategy.txt","global","common/ai_strategies","common/ai_strategies","PRESENT","ABSENT","PRESENT","FORK_ONLY_CUSTOM","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve fork override pending final non-regression","Fork custom override against vanilla/hotfix baseline","","FORK_ONLY_CUSTOM"
"common/coat_of_arms/coat_of_arms/03_new.txt","global","common/coat_of_arms","common/coat_of_arms","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/company_types/02_new_companies.txt","global","common/company_types","common/company_types","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; CURRENT_RUNTIME_REPRODUCED; DEI_VOC_BLOCK_CLOSED; NO_AUTOMATIC_REOPEN"
"common/country_definitions/00_countries.txt","global","common/country_definitions","common/country_definitions","PRESENT","ABSENT","PRESENT","FORK_ONLY_CUSTOM","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve fork override pending final non-regression","Fork custom override against vanilla/hotfix baseline","","FORK_ONLY_CUSTOM"
"common/country_definitions/00_replacement_mod.txt","global","common/country_definitions","common/country_definitions","ABSENT","PRESENT","ABSENT","HOTFIX_ONLY_CUSTOM","UNKNOWN_REQUIRES_REVIEW","false","false","false","false","true","P1_REVIEW","FUTURE_BOUNDED_FUNCTIONAL_AUDIT","No automatic import; identify an object-level delta and design intent first","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","HOTFIX_ONLY_CUSTOM; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; AUDIT_REQUIRED_BEFORE_CORRECTION"
"common/country_definitions/02_modded_countries.txt","global","common/country_definitions","common/country_definitions","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/customizable_localization/04_treaty_of_london_custom_loc.txt","global","common/customizable_localization","common/customizable_localization","ABSENT","PRESENT","PRESENT","HOTFIX_ONLY_CUSTOM","UNKNOWN_REQUIRES_REVIEW","false","false","false","false","true","P1_REVIEW","FUTURE_BOUNDED_FUNCTIONAL_AUDIT","No automatic import; identify an object-level delta and design intent first","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","HOTFIX_ONLY_CUSTOM; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; AUDIT_REQUIRED_BEFORE_CORRECTION"
"common/dynamic_country_names/00_dynamic_country_names.txt","global","common/dynamic_country_names","common/dynamic_country_names","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/flag_definitions/00_flag_definitions.txt","global","common/flag_definitions","common/flag_definitions","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/flag_definitions/07_NM_Flags.txt","global","common/flag_definitions","common/flag_definitions","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
