generation,path,size,modified_utc,sha256,comparison_status
before,ai.log,0,2026-08-07T13:49:07.233754+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,checksum.log,0,2026-08-07T13:49:07.267032+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,code_revisions.1.log,1133,2026-08-07T13:30:59.547660+00:00,D95707EECC5F9885EBAAB1262224741BE32CE239CE3E55FA5259305BF6592126,changed_or_rotated
before,code_revisions.2.log,1133,2026-08-07T13:15:16.455860+00:00,D9327718FA447890225C996953EA41C94FC65602A54FA87ED24FE0DFBA4DCE72,changed_or_rotated
before,code_revisions.3.log,1133,2026-08-05T16:59:01.987932+00:00,628058CF61119A4BBD7FF6238E2AE8D42C3BA01B16D89C26E210BFED47232E68,changed_or_rotated
before,code_revisions.4.log,1133,2026-08-04T23:14:22.021095+00:00,AB87218EB7382085A96504D6205DB5D6A1BC34561FB99CEC98C5BD078D0747F7,changed_or_rotated
before,code_revisions.5.log,1133,2026-08-04T19:05:05.883960+00:00,F0FF5C44B75A7181340D468D09633531F40B36282BD650A995BF8B3C0BB2B38D,changed_or_rotated
before,code_revisions.log,1133,2026-08-07T13:49:07.269033+00:00,B35D67F2CD2A9DF0DD7358005DCFDAFF9337D257A9922E501AB2686154B00031,changed_or_rotated
before,custom_automated_stats.1.log,489,2026-08-07T13:35:14.513684+00:00,57E0192C5D10DF690A1A5FC6C27A92267748D7D1D79782F4982A1A6201196D38,changed_or_rotated
before,custom_automated_stats.2.log,489,2026-08-07T13:24:23.389890+00:00,492F1F969D63E6218C87F4598BF39D6B51765932B480A3410458E4E28B729645,changed_or_rotated
before,custom_automated_stats.3.log,489,2026-08-05T17:06:59.691978+00:00,929A4B6A3200FD1C28016D1A408FD946384D862F2373EFEED744E32F117C6D08,changed_or_rotated
before,custom_automated_stats.4.log,487,2026-08-04T23:21:38.381896+00:00,A5B67A11FB197C77CDEDD2BA08E1B14E59AEA0DA1B75457105AD3D34642B1D0E,changed_or_rotated
before,custom_automated_stats.5.log,191,2026-08-04T19:26:24.240214+00:00,1874A9F7E9EF60A9536DC486F0CF647B21C1DE382F02E8A198D6013582633E8E,changed_or_rotated
before,custom_automated_stats.log,488,2026-08-07T13:51:51.615086+00:00,B8C2DDD37748D71472407D66DCA44459012BAC8714374D24BB56534575EAF2AC,changed_or_rotated
before,database_conflicts.log,0,2026-07-28T18:42:42.067409+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,debug.1.log,524223,2026-08-07T15:07:40.346468+00:00,02F1870E690A57687FF9435079142330154CE9375418134F20EDF8F70CC0A3CC,changed_or_rotated
before,debug.2.log,285208,2026-08-07T14:02:47.827559+00:00,F7F34884F2511A665BD823959F7BEA943245B4035B10E46F875475D67BF10020,changed_or_rotated
before,debug.3.log,238972,2026-08-07T13:48:18.504263+00:00,7F7D3C52EAA8BE870DD9CB502EE9793C291F81FEC12B92364C0A698932CB1852,changed_or_rotated
before,debug.4.log,280247,2026-08-07T13:30:24.610486+00:00,5B38E6963617B4AD379DB949FC1DF4A20E6E5ACC208C47E5321552E751D44773,changed_or_rotated
before,debug.5.log,524065,2026-08-07T13:22:03.507158+00:00,D7920E995D002E947E67DC9D5FD93F5B357B10780F1F03764EDBD97E1E3AB0D4,changed_or_rotated
before,debug.log,456375,2026-08-07T15:28:07.733196+00:00,3A749A9263927EE417057418E37F8CAEDC4DF7DF486D8595222A95FDE1790C1B,changed_or_rotated
before,dedicated_server.1.log,524250,2026-08-07T15:05:07.040161+00:00,E141340CF659AD7B8CBB92CE794883ABCF3BF55EBFB023BD9FB7F1FD35AAB147,changed_or_rotated
before,dedicated_server.2.log,524245,2026-08-07T14:39:45.830383+00:00,F04F2580856FBB71DE55EC432CBC969FB2C7EFC0342D99FA728FAAECAE803EA7,changed_or_rotated
before,dedicated_server.3.log,449637,2026-08-07T14:11:03.475643+00:00,B2707464B431BEFB94DCC3B76A8E45B40F2B62AE4A8F1E04B9EBBB75CE5448A7,changed_or_rotated
before,dedicated_server.4.log,74596,2026-08-07T13:47:49.460042+00:00,A01FE003BBCEC20EA7710B55881A2CD0B2AB9A99EC51AA4BDCBD8798B0B7C660,changed_or_rotated
before,dedicated_server.5.log,66,2026-08-07T13:24:21.265898+00:00,8AD9DAD504D7E9A21E46D011713468EAA063AEFD22B326F293C32C57C01B6D12,changed_or_rotated
before,dedicated_server.log,457275,2026-08-07T15:27:52.932777+00:00,0C35A188BC67ACFE8495CB2C77EE497D18E13C317308D2BC7DFAD132E0DB68F0,changed_or_rotated
before,ecs.log,0,2026-08-07T13:49:07.230204+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,error.1.log,524152,2026-08-07T15:15:04.139476+00:00,CEAB4B4E312BB29D9034CAA545A0213D97CDCA12D6DE12E039F4C4433595AD1A,changed_or_rotated
before,error.2.log,524172,2026-08-07T15:04:50.985002+00:00,ED3623BA2E6FA0F5BDE6B78AB44FECE68C68E2F24D07495A508DE00781A9D041,changed_or_rotated
before,error.3.log,511561,2026-08-07T14:41:57.874242+00:00,46D0E90DDA72C9EBE461FD896003451BD448CF745EE5A11EEF6F71CC7C84E0CE,changed_or_rotated
before,error.4.log,12626,2026-08-07T13:48:11.321625+00:00,3CE7DC42461C791770FE6B3F218F382D3DA95D430F0444A31E2068DF8A790C41,changed_or_rotated
before,error.5.log,246426,2026-08-07T13:30:16.346594+00:00,2422FD5848E6CDF5825158FAEF49FBBE161F3DC1547842CC05EBB06BD0C0B870,changed_or_rotated
before,error.log,231506,2026-08-07T15:27:55.202888+00:00,E6B0217E5A557C88A3BB7CECB03EAA155B07A934B59879330F9FE174867A65AB,changed_or_rotated
before,game.1.log,449612,2026-08-07T14:41:57.874242+00:00,68AC82803E4B2B2A02250B8329D56C3A6A8ADA896441762A245447CB8AAF8765,changed_or_rotated
before,game.2.log,74632,2026-08-07T13:48:11.321625+00:00,44C7ED68BBA5AAD6B845243FDCBB82506D12361740D606929ACB1AEC8E5DB6EE,changed_or_rotated
before,game.3.log,136039,2026-08-07T13:30:16.346594+00:00,5F490991AD33CA16A3DEE95DDEC816D2DC3448234E067811FA9ECFE57C199424,changed_or_rotated
before,game.4.log,256066,2026-08-07T13:23:10.788941+00:00,155697E846820C90A8C4F5048A8AF11074EE2C75332BA642B994CED9492C2849,changed_or_rotated
before,game.5.log,268159,2026-08-05T17:12:39.870774+00:00,6CA4FBD2EA0B51468367247FD7F828C6DA6B256CC21D190C729413145257C20E,changed_or_rotated
before,game.log,502114,2026-08-07T15:27:55.202888+00:00,B1684C94A852A83EFE81CD223630C34F3C539247365DD87CF0D120361247C327,changed_or_rotated
before,graphics.log,0,2026-08-07T13:49:07.231204+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,gui.log,5724,2026-08-07T15:20:51.680793+00:00,184909E2BFF288F7136ECBCF3C37D3D93705BD7DF926B0D8121CD6E03EC4FA1D,changed_or_rotated
before,memory.log,0,2026-07-28T18:42:42.070659+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,message.log,0,2026-07-28T18:42:42.063319+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,multiplayer.log,0,2026-08-07T13:49:07.232755+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,pdxsdk.log,0,2026-08-07T13:49:07.911904+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,setup.log,0,2026-07-28T18:42:42.070659+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,system.1.log,1101,2026-08-07T13:31:14.319027+00:00,B05F91933C8390ECE412893522AE968FC2BF8A41D29EDAA3FD22396F733A8881,changed_or_rotated
before,system.2.log,1101,2026-08-07T13:15:38.466222+00:00,8A069C1FFE609C7905E295D023DE35E3CAD211583A5E6AA5F8DB39B7BDEDB83B,changed_or_rotated
before,system.3.log,1100,2026-08-05T16:59:48.966228+00:00,A69B4117FC5CFEBBB4DD61EE6DFEC099C760737AB45B8E9ACA19741644241266,changed_or_rotated
before,system.4.log,1100,2026-08-04T23:14:54.693847+00:00,89CFC4FBF822AE41F2B8FFF154AD61A288BF9D3506C2C6ECE9BAB7AC34789161,changed_or_rotated
before,system.5.log,1101,2026-08-04T19:05:39.171126+00:00,5AA70BF488C1A81B5BD8D513AB160E3AF248575C94977195D7110BAF6B1F26D3,changed_or_rotated
before,system.log,1101,2026-08-07T13:49:21.999498+00:00,C81F86A66E1F43EE4069904E07D731F2CDE609D77579AA66BBE1401CEDE5A26C,changed_or_rotated
before,ui_animation_stats.log,0,2026-08-07T13:49:07.267032+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
before,warning.1.log,6234,2026-08-07T13:31:14.688132+00:00,E7C3A98AC574AE554380DD1F3E8BCE6773B07C772F1E9C35731DFD93E2FE0239,changed_or_rotated
before,warning.2.log,6234,2026-08-07T13:15:38.789837+00:00,BEAF88D882D5279B91FA2285E2E68B137C94744B24A2C9A5B27EF32F3FE65CC4,changed_or_rotated
before,warning.3.log,6234,2026-08-05T16:59:49.596245+00:00,FA363323E9DBA2EE7C0E14E094B1E4472B1CB77807254DB68185B667F40FC711,changed_or_rotated
before,warning.4.log,6234,2026-08-04T23:14:55.169377+00:00,637059AAE8ADE03148E4B392CE7F6437AA73CEA66490CAC3A7CD7626CC262A7A,changed_or_rotated
before,warning.5.log,6234,2026-08-04T19:05:39.672326+00:00,E17354B296B33B68DD73828834CF520744838324F275EE4894E81A3E795A6C95,changed_or_rotated
before,warning.log,6234,2026-08-07T13:49:22.349686+00:00,EB8DE8556E7377F940078C7B5D0D6F3BCDD69D5F822827B66A52DF53A3D786F1,changed_or_rotated
after,ai.log,0,2026-08-09T18:49:41.063359+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
after,checksum.log,0,2026-08-09T18:49:41.089462+00:00,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,unchanged
after,code_revisions.1.log,1133,2026-08-07T13:49:07.269033+00:00,B35D67F2CD2A9DF0DD7358005DCFDAFF9337D257A9922E501AB2686154B00031,changed_or_rotated
after,code_revisions.2.log,1133,2026-08-07T13:30:59.547660+00:00,D95707EECC5F9885EBAAB1262224741BE32CE239CE3E55FA5259305BF6592126,changed_or_rotated
after,code_revisions.3.log,1133,2026-08-07T13:15:16.455860+00:00,D9327718FA447890225C996953EA41C94FC65602A54FA87ED24FE0DFBA4DCE72,changed_or_rotated
after,code_revisions.4.log,1133,2026-08-05T16:59:01.987932+00:00,628058CF61119A4BBD7FF6238E2AE8D42C3BA01B16D89C26E210BFED47232E68,changed_or_rotated
after,code_revisions.5.log,1133,2026-08-04T23:14:22.021095+00:00,AB87218EB7382085A96504D6205DB5D6A1BC34561FB99CEC98C5BD078D0747F7,changed_or_rotated
after,code_revisions.log,1133,2026-08-09T18:49:41.091460+00:00,A080AAF18DC4A8A7FD3D8AA885F1B4970E9F5192FD0663128AFC785239027B57,changed_or_rotated
after,custom_automated_stats.1.log,488,2026-08-07T13:51:51.615086+00:00,B8C2DDD37748D71472407D66DCA44459012BAC8714374D24BB56534575EAF2AC,changed_or_rotated
after,custom_automated_stats.2.log,489,2026-08-07T13:35:14.513684+00:00,57E0192C5D10DF690A1A5FC6C27A92267748D7D1D79782F4982A1A6201196D38,changed_or_rotated
after,custom_automated_stats.3.log,489,2026-08-07T13:24:23.389890+00:00,492F1F969D63E6218C87F4598BF39D6B51765932B480A3410458E4E28B729645,changed_or_rotated
after,custom_automated_stats.4.log,489,2026-08-05T17:06:59.691978+00:00,929A4B6A3200FD1C28016D1A408FD946384D862F2373EFEED744E32F117C6D08,changed_or_rotated
after,custom_automated_stats.5.log,487,2026-08-04T23:21:38.381896+00:00,A5B67A11FB197C77CDEDD2BA08E1B14E59AEA0DA1B75457105AD3D34642B1D0E,changed_or_rotated
after,custom_automated_stats.log,489,2026-08-09T18:56:27.676699+00:00,F06AD089A05CEF80B5C36439ACECE8DFA7D51389E74BFB88DDD9C96F3BF8FE8B,changed_or_rotated
