generation,full_path,filename,size,modified_utc,sha256,comparison_status,hash_movement,fresh_generation_role
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ai.log","ai.log","0","2026-08-09T18:49:41.063359+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\checksum.log","checksum.log","0","2026-08-09T18:49:41.089462+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.1.log","code_revisions.1.log","1133","2026-08-07T13:49:07.269033+00:00","B35D67F2CD2A9DF0DD7358005DCFDAFF9337D257A9922E501AB2686154B00031","changed_or_rotated","rotated_to:code_revisions.2.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.2.log","code_revisions.2.log","1133","2026-08-07T13:30:59.547660+00:00","D95707EECC5F9885EBAAB1262224741BE32CE239CE3E55FA5259305BF6592126","changed_or_rotated","rotated_to:code_revisions.3.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.3.log","code_revisions.3.log","1133","2026-08-07T13:15:16.455860+00:00","D9327718FA447890225C996953EA41C94FC65602A54FA87ED24FE0DFBA4DCE72","changed_or_rotated","rotated_to:code_revisions.4.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.4.log","code_revisions.4.log","1133","2026-08-05T16:59:01.987932+00:00","628058CF61119A4BBD7FF6238E2AE8D42C3BA01B16D89C26E210BFED47232E68","changed_or_rotated","rotated_to:code_revisions.5.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.5.log","code_revisions.5.log","1133","2026-08-04T23:14:22.021095+00:00","AB87218EB7382085A96504D6205DB5D6A1BC34561FB99CEC98C5BD078D0747F7","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-09T18:49:41.091460+00:00","A080AAF18DC4A8A7FD3D8AA885F1B4970E9F5192FD0663128AFC785239027B57","changed_or_rotated","rotated_to:code_revisions.1.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.1.log","custom_automated_stats.1.log","488","2026-08-07T13:51:51.615086+00:00","B8C2DDD37748D71472407D66DCA44459012BAC8714374D24BB56534575EAF2AC","changed_or_rotated","rotated_to:custom_automated_stats.2.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.2.log","custom_automated_stats.2.log","489","2026-08-07T13:35:14.513684+00:00","57E0192C5D10DF690A1A5FC6C27A92267748D7D1D79782F4982A1A6201196D38","changed_or_rotated","rotated_to:custom_automated_stats.3.log",""
