"family","diagnostic_kinds","normalized_messages","fresh_diagnostics","files","objects","class_true_merge_blocker","class_protected_work","class_intentional_fork_divergence","class_post_merge_backlog","class_semantic_rewrite_required","class_bounded_exception","class_already_accounted_for","merge_blockers","fork_files","source_files","vanilla_files","protected_occurrences","classification_summary","recommended_action","evidence_report"
"API_ADD_AMENDMENT","PostValidate_effect","PostValidate of effect 'add_amendment' returned false","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","ALREADY_ACCOUNTED_FOR=1","NO_FORK_ACTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_ADD_CONTEXTLESS_JOURNAL_ENTRY","PostValidate_effect","PostValidate of effect 'add_contextless_journal_entry' returned false","1","1","1","0","0","1","0","0","0","0","0","1","1","1","0","INTENTIONAL_FORK_DIVERGENCE=1","PRESERVE_INTENTIONAL_DIVERGENCE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_ADD_JOURNAL_ENTRY","PostValidate_effect","PostValidate of effect 'add_journal_entry' returned false","14","7","11","0","0","0","0","0","0","14","0","1","4","7","7","ALREADY_ACCOUNTED_FOR=14","NO_CORRECTION_SELECTED;NO_FORK_ACTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_ADD_MODIFIER","parser;PostValidate_effect","PostValidate of effect 'add_modifier' returned false;Unexpected token: add_modifier","2","2","2","0","2","0","0","0","0","0","0","2","2","1","2","PROTECTED_WORK=2","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_COUNTRY_CONVOYS_CAPACITY_MULT","parser","Unknown modifier type: country_convoys_capacity_mult. It is either invalid, or a potential dynamic modifier type definition missing from the database.: country_convoys_capacity_mult","1","1","1","0","0","0","1","0","0","0","0","1","1","0","0","POST_MERGE_BACKLOG=1","DEFER_POST_MERGE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_COUNTRY_NAVY_UNIT_TYPE_FRACTION","parser","Unknown trigger type: country_navy_unit_type_fraction","6","2","6","0","6","0","0","0","0","0","0","2","2","2","5","PROTECTED_WORK=6","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_CREATE_BUILDING","PostValidate_effect","PostValidate of effect 'create_building' returned false","1","1","1","0","1","0","0","0","0","0","0","1","1","1","1","PROTECTED_WORK=1","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_CREATE_CHARACTER","PostValidate_effect","PostValidate of effect 'create_character' returned false","7","4","5","0","1","0","2","4","0","0","0","4","4","3","1","PROTECTED_WORK=1;POST_MERGE_BACKLOG=2;SEMANTIC_REWRITE_REQUIRED=4","DEFER_POST_MERGE;PRESERVE_PROTECTED_WORK;REVIEW_SEMANTICS_AFTER_MERGE_READINESS","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_CUSTOM_TOOLTIP","PostValidate_effect;PostValidate_trigger","PostValidate of effect 'custom_tooltip' returned false;PostValidate of trigger 'custom_tooltip' returned false","3","2","2","0","3","0","0","0","0","0","0","2","2","2","3","PROTECTED_WORK=3","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_FORMATION_NAVY_UNIT_TYPE_FRACTION","parser","Unknown trigger type: formation_navy_unit_type_fraction","10","1","5","0","10","0","0","0","0","0","0","1","1","1","10","PROTECTED_WORK=10","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_AMENDMENT","PostValidate_trigger","PostValidate of trigger 'has_amendment' returned false","1","1","1","0","0","0","0","0","1","0","0","1","1","1","1","BOUNDED_EXCEPTION=1","PRESERVE_BOUNDED_EXCEPTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_BUILDING","PostValidate_trigger","PostValidate of trigger 'has_building' returned false","1","1","1","0","1","0","0","0","0","0","0","1","1","1","1","PROTECTED_WORK=1","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_INTEREST_MARKER_IN_REGION","PostValidate_trigger","PostValidate of trigger 'has_interest_marker_in_region' returned false","23","6","6","0","23","0","0","0","0","0","0","6","6","5","23","PROTECTED_WORK=23","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_JOURNAL_ENTRY","PostValidate_trigger","PostValidate of trigger 'has_journal_entry' returned false","79","36","71","0","0","2","0","0","0","77","0","3","2","36","2","INTENTIONAL_FORK_DIVERGENCE=2;ALREADY_ACCOUNTED_FOR=77","NO_CORRECTION_SELECTED;NO_FORK_ACTION;PRESERVE_INTENTIONAL_DIVERGENCE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_OBJECTIVE","PostValidate_trigger","PostValidate of trigger 'has_objective' returned false","2","2","2","0","0","0","0","0","0","2","0","0","0","2","0","ALREADY_ACCOUNTED_FOR=2","NO_FORK_ACTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_PORT","parser","Unknown trigger type: has_port","7","2","2","0","2","0","0","5","0","0","0","2","1","2","2","PROTECTED_WORK=2;SEMANTIC_REWRITE_REQUIRED=5","PRESERVE_PROTECTED_WORK;REVIEW_SEMANTICS_AFTER_MERGE_READINESS","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_ROLE","PostValidate_trigger","PostValidate of trigger 'has_role' returned false","91","15","32","0","0","0","0","0","91","0","0","15","15","15","91","BOUNDED_EXCEPTION=91","PRESERVE_BOUNDED_EXCEPTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_TECHNOLOGY_RESEARCHED","PostValidate_trigger","PostValidate of trigger 'has_technology_researched' returned false","1","1","1","0","0","0","1","0","0","0","0","1","1","1","0","POST_MERGE_BACKLOG=1","DEFER_POST_MERGE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_HAS_TEMPLATE","PostValidate_trigger","PostValidate of trigger 'has_template' returned false","51","10","14","0","0","4","0","0","0","47","0","3","3","10","0","INTENTIONAL_FORK_DIVERGENCE=4;ALREADY_ACCOUNTED_FOR=47","NO_CORRECTION_SELECTED;NO_FORK_ACTION;PRESERVE_INTENTIONAL_DIVERGENCE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_IS_BUILDING_TYPE","PostValidate_trigger","PostValidate of trigger 'is_building_type' returned false","11","5","5","0","2","6","0","0","0","3","0","5","4","5","2","PROTECTED_WORK=2;INTENTIONAL_FORK_DIVERGENCE=6;ALREADY_ACCOUNTED_FOR=3","NO_CORRECTION_SELECTED;PRESERVE_INTENTIONAL_DIVERGENCE;PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_IS_HEIR","parser","Unknown trigger type: is_heir","2","1","2","0","0","0","0","0","2","0","0","1","1","1","2","BOUNDED_EXCEPTION=2","PRESERVE_BOUNDED_EXCEPTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_IS_INVOLVED_IN_JOURNAL_ENTRY","PostValidate_trigger","PostValidate of trigger 'is_involved_in_journal_entry' returned false","28","9","13","0","0","3","0","0","0","25","0","2","2","9","0","INTENTIONAL_FORK_DIVERGENCE=3;ALREADY_ACCOUNTED_FOR=25","NO_CORRECTION_SELECTED;NO_FORK_ACTION;PRESERVE_INTENTIONAL_DIVERGENCE","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_IS_RULER","parser","Unknown trigger type: is_ruler","21","8","11","0","0","0","0","0","21","0","0","8","8","8","21","BOUNDED_EXCEPTION=21","PRESERVE_BOUNDED_EXCEPTION","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_POST_NOTIFICATION","PostValidate_effect","PostValidate of effect 'post_notification' returned false","3","2","3","0","1","0","0","0","0","2","0","2","2","1","1","PROTECTED_WORK=1;ALREADY_ACCOUNTED_FOR=2","NO_CORRECTION_SELECTED;PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_REMOVE_MODIFIER","PostValidate_effect","PostValidate of effect 'remove_modifier' returned false","1","1","1","0","1","0","0","0","0","0","0","1","1","0","1","PROTECTED_WORK=1","PRESERVE_PROTECTED_WORK","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
"API_SET_INSTITUTION_INVESTMENT_LEVEL","PostValidate_effect","PostValidate of effect 'set_institution_investment_level' returned false","2","2","1","0","0","0","0","0","0","2","0","2","2","0","0","ALREADY_ACCOUNTED_FOR=2","NO_CORRECTION_SELECTED","docs/reports/hotfix/global_script/6A20_6A29/HOTFIX_6A28_FINAL_RESIDUAL_MERGE_BLOCKER_REINDEX.md"
