"relative_path","present_in_fork","present_in_hotfix","present_in_vanilla","size_fork","size_hotfix","size_vanilla","sha256_fork","sha256_hotfix","sha256_vanilla","file_domain","region","feature","difference_type","merge_status","intentional_local_preservation","runtime_validation_status","recommended_action","priority","evidence","notes"
".gitignore","True","False","False","195","","","E40DC46DC7F7CDD67A0C2A572E728CD46D983427F6294FE4F101336C72D94E91","","","metadata","global","Other cross-cutting systems","FORK_ONLY","REPORT_ONLY","false","NOT_APPLICABLE_OR_PENDING","No gameplay merge action","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Non-functional repository or descriptor metadata; last_fork_commit=b602804"
".metadata/metadata.json","True","True","False","679","679","","8038FB3CD19BC2CD81335E4EBA97DE37F6B43595341514F63DA685C805131A94","18F1A07DDA73593E8B7FC18907A07084D5A0771B93B9C44C47193B4524F0B35A","","metadata","global","Other cross-cutting systems","CONTENT_DIFFERENT","REPORT_ONLY","false","NOT_APPLICABLE_OR_PENDING","No gameplay merge action","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Non-functional repository or descriptor metadata; last_fork_commit=UNTRACKED_OR_ABSENT"
"Changelog.txt","True","True","False","8396","8766","","2CCA8B9B2C0A0518EF7E593ADC232512EC26DCEB6CC6E03A09943F6A840DFE32","D0F072839A81A9ED0133DE85E82170898B26F74F23322B59DFA864463A9FB063","","metadata","global","Other cross-cutting systems","CONTENT_DIFFERENT","REPORT_ONLY","false","NOT_APPLICABLE_OR_PENDING","No gameplay merge action","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Non-functional repository or descriptor metadata; last_fork_commit=b602804"
"common/ai_strategies/00_default_strategy.txt","True","False","True","159512","","177436","15704A99428C960B65F2F074ACB8508E66A9D5AA9B8F49436C0EC17569E2D139","","2147981CE89C1B001DFED9D5D05D39108A2CD9453ED883AB37CF6BD35B58BE20","ai_strategies","global","Other cross-cutting systems","FORK_ONLY","INTENTIONAL_FORK_DIVERGENCE","true","NOT_APPLICABLE_OR_PENDING","Preserve fork-only content","POST_MERGE_DESIGN","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Local 1776 content absent from hotfix; last_fork_commit=b602804"
"common/coat_of_arms/coat_of_arms/03_new.txt","True","True","False","6223","6250","","4C1009D9F838F330D803A741F6400782A17F955562A5756369A0F3868E6F82BA","2640067E0D91F7A20060307C9526917E1B3FA7588FB3EF9A13773E59CC24B155","","coat_of_arms","global","Other cross-cutting systems","CONTENT_DIFFERENT","MERGED_STATIC_ONLY","false","MISSING","Preserve fork and validate IR1 runtime behavior","P2_REQUIRED_VALIDATION","docs/reports/hotfix/mamluk_iraq/HOTFIX_3F_IR1_SECRET_GOAL.md","Integrated statically; runtime closure absent; last_fork_commit=9922ed0"
"common/company_types/02_new_companies.txt","True","True","False","2193","2217","","D6F6C1395F17DC921DDCFE6F136F0BEB98FFE696670F84578BD3C0BA69C298E8","93CC63B6C7136363A1BA30BF23AFC03FE93E7E21B71561FBFE95F7B561D519BC","","company_types","global","Other cross-cutting systems","CONTENT_DIFFERENT","MERGED_AND_VALIDATED","false","VALIDATED","Preserve validated fork version","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/india/closure/HOTFIX_5_INDIA_CLOSURE.md","India scope closed; divergence is a validated local correction; last_fork_commit=3aeb09e"
"common/country_definitions/00_countries.txt","True","False","True","72568","","72632","A05D18D23754AB2EB015DEC0848766047481DC595293D2628CDCA0CF547724F1","","662A853392BF1CAB1CC7498A77D99EED022E0F7532506A081ABF1E681BC20973","country_definitions","global","Other cross-cutting systems","FORK_ONLY","CONCURRENT_USER_WORK","false","NOT_APPLICABLE_OR_PENDING","Preserve fork; audit only in a dedicated NAVY phase","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Overlaps validated or concurrent NAVY work; last_fork_commit=38cda86"
"common/country_definitions/00_replacement_mod.txt","False","True","False","","280","","","CABA4ABA8271EB10607A58374C32B3B83A3E61498859D3744672D90EF928FCF9","","country_definitions","global","Other cross-cutting systems","HOTFIX_ONLY","PENDING_REVIEW","false","NOT_APPLICABLE_OR_PENDING","Compare hotfix override with vanilla and import only the legitimate minimal delta","P0_BLOCKS_FINAL_MERGE","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Hotfix-only non-vanilla content absent from fork; last_fork_commit=UNTRACKED_OR_ABSENT"
"common/country_definitions/02_modded_countries.txt","True","True","False","3914","3931","","9299211FEE9891D863152E90131CEB9CDD799BB08264861149529BDF448C3BDE","D79290F00BE6ECF5ADEFAD5E3F94D801C451CAEA000BC31F1DCD49E85111319A","","country_definitions","global","Other cross-cutting systems","CONTENT_DIFFERENT","MERGED_STATIC_ONLY","false","MISSING","Preserve fork and validate IR1 runtime behavior","P2_REQUIRED_VALIDATION","docs/reports/hotfix/mamluk_iraq/HOTFIX_3F_IR1_SECRET_GOAL.md","Integrated statically; runtime closure absent; last_fork_commit=9922ed0"
"common/customizable_localization/04_treaty_of_london_custom_loc.txt","False","True","True","","27","1219","","DEFBD8C4AEAE7F2D8C080C2D31B3C04E66E5C71CC79BF1DFF473DA1208D3B278","AB6BE49CC8AC36C0D8DC44AE3D4EB4D597D22C2E84496275A51B38402DC8CCA4","customizable_localization","global","Global localization","HOTFIX_ONLY","OBSOLETE_HOTFIX_CONTENT","false","NOT_APPLICABLE_OR_PENDING","Do not import","P3_OPTIONAL_CLEANUP","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","Debugger-saver SNIP or duplicate journal definition explicitly rejected by prior report; last_fork_commit=UNTRACKED_OR_ABSENT"
"common/dynamic_country_names/00_dynamic_country_names.txt","True","True","True","97382","97751","86519","788B02DEF9C6E16125DC33024E701B0BAB14B4B00569E36ABB050944028DD7C4","35428ACCC8EBB72596B5383853D7FD2D21DED3B8BC00FCAF72E849581563DF6E","367D04BB10E5868F845839B75E15986FA295D0564FDCE90D8845558D2575A5E5","dynamic_country_names","global","Other cross-cutting systems","CONTENT_DIFFERENT","UNKNOWN_REQUIRES_REVIEW","false","NOT_APPLICABLE_OR_PENDING","Perform line-by-line three-way review before deciding import or obsolescence","P0_BLOCKS_FINAL_MERGE","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","No report or later local commit proves disposition; last_fork_commit=b602804"
"common/flag_definitions/00_flag_definitions.txt","True","True","True","227064","228304","222897","D33A183B53D2AC1181C513944C30E55EA802780916C721B5A6CCF21DEA8D3E92","99CDEE3AE3DCFBE0BA0E9F25B4380D4EF682E7EE1715E9D25A20413385036000","6FD16340EBEF0E43E332EA346D2308BB3BFC925B2DD170CFBACB8C91E632E652","flag_definitions","global","Other cross-cutting systems","CONTENT_DIFFERENT","UNKNOWN_REQUIRES_REVIEW","false","NOT_APPLICABLE_OR_PENDING","Perform line-by-line three-way review before deciding import or obsolescence","P0_BLOCKS_FINAL_MERGE","docs/reports/hotfix/shared/HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","No report or later local commit proves disposition; last_fork_commit=b602804"
"common/flag_definitions/07_NM_Flags.txt","True","True","False","4534","4548","","382A8D23DA8C0EA38468C52B76E1C5782E41923FC96A2F33CF56DFD95209A474","6AA471C9F5251F8CBF18C867B5F14860DB6D23FED98244EF997605A3D58C65DB","","flag_definitions","global","Other cross-cutting systems","CONTENT_DIFFERENT","MERGED_STATIC_ONLY","false","MISSING","Preserve fork and validate IR1 runtime behavior","P2_REQUIRED_VALIDATION","docs/reports/hotfix/mamluk_iraq/HOTFIX_3F_IR1_SECRET_GOAL.md","Integrated statically; runtime closure absent; last_fork_commit=9922ed0"
"common/government_types/00_mod_gov_types.txt","True","True","False","777","807","","205BF1CE94CA89057607192251A23C676FB0E8F731729B27469B76F0239F8FDB","649338B3DA7F499F311AF49870F5071448B297B4DC80969E94F6A6EF554DBFE8","","government_types","global","Other cross-cutting systems","CONTENT_DIFFERENT","MERGED_STATIC_ONLY","false","MISSING","Preserve fork and validate IR1 runtime behavior","P2_REQUIRED_VALIDATION","docs/reports/hotfix/mamluk_iraq/HOTFIX_3F_IR1_SECRET_GOAL.md","Integrated statically; runtime closure absent; last_fork_commit=9922ed0"
