"component","subsystem","status","canonical_report","canonical_results","final_verdict","gameplay_file","final_commit","runtime_validated","static_validated","open_issue","out_of_scope","notes"
"East India Company","institution","FINAL","../east_india_company/HOTFIX_5B2_UNIQUE_EAST_INDIA_COMPANY.md","","HOTFIX_5_INDIA_COMPLETE","multiple","","false","true","false","false","Uniqueness closed"
"Ryotwari","institution","FINAL","../states_and_setup/HOTFIX_5A_BIC_STRATEGIC_REGIONS.md","","HOTFIX_5_INDIA_COMPLETE","multiple","","false","true","false","false","Territorial setup closed"
"Railway","infrastructure","FINAL","../infrastructure_and_famines/HOTFIX_5C2C_INDIA_RAILWAY_REGIONS.md","","HOTFIX_5_INDIA_COMPLETE","multiple","","false","true","false","false","Regions corrected"
"Famines","events","FINAL","../infrastructure_and_famines/HOTFIX_5C2D3_FAMINE_HISTORICAL_SELECTORS.md","","HOTFIX_5_INDIA_COMPLETE","multiple","","false","true","false","false","Audit and selectors closed"
"Sepoy migration","sepoy","FINAL","../sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","","SEPOY_RUNTIME_VALIDATION_COMPLETE","events/india_events/sepoy_mutiny_events.txt","1ce189d","true","true","false","false","Runtime load and API chain validated"
"Journal pinning","sepoy API","FINAL","../sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","","PASS","common/journal_entries/04_sepoy_mutiny.txt","1ce189d","true","true","false","false","B1 corrected and retested"
"Character role API","sepoy API","FINAL","../sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","","PASS","events/india_events/sepoy_mutiny_events.txt","1ce189d","true","true","false","false","B2 corrected and retested"
"A-1","general breakup","FINAL","../sepoy/HOTFIX_5C2E4C1E1_SEPOY_A1_OBSERVATION_COMPLETION.md","../sepoy/HOTFIX_5C2E4C1E1_A1_OWNER_COMPLETION.csv","PASS","test evidence","0b23d4f","true","true","false","false","Owner observation complete"
"A-2","no receiver","FINAL","../sepoy/HOTFIX_5C2E4C1G_SEPOY_A2_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1G_A2_RUNTIME_RESULTS.csv","PASS","test evidence","15b866a","true","true","false","false","No-receiver redistribution validated"
"A-3","two receivers","FINAL","../sepoy/HOTFIX_5C2E4C1I_SEPOY_A3_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1I_A3_RUNTIME_RESULTS.csv","PASS","test evidence","2002b5d","true","true","false","false","Deterministic distribution validated"
"Bengal 2.b","retreat","FINAL","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RESULTS.csv","PASS_B1_RADICAL_2B_RUNTIME_PARTIAL_UI","events/india_events/sepoy_mutiny_events.txt","1ef66f3","true","true","false","false","Canonical Bengal validation"
"Madras 2.c","retreat","FINAL","../sepoy/HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST.md","../sepoy/HOTFIX_5C2E4C1T_C1_FIX_RUNTIME_RESULTS.csv","PASS_C1_FIX_RUNTIME_PARTIAL_UI","events/india_events/sepoy_mutiny_events.txt","5565a75","true","true","false","false","Canonical Madras validation"
