"path","location","status","size_before","size_after","sha256_before","sha256_after","bom_before","bom_after","utf8_valid","lf_only","semantic_text_unchanged","logic_unchanged","purpose","notes"
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_CONTROL","63658","63658","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","True","True","true","True","true","true","Protect BIC Bombay core in 2.e","Byte-identical control"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63658","63658","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","True","True","true","True","true","true","Runtime copy of Bombay fix","Byte-identical control"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","True","True","true","True","true","true","Sepoy journal control","Byte-identical control"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","True","True","true","True","true","true","Sepoy journal copy control","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","UNCHANGED_CONTROL","1804","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","True","True","true","True","true","true","E-1 prepare and manual-open decisions","Byte-identical control"
"events/zz_sepoy_functional_test_e1_events.txt","disposable_copy","UNCHANGED_CONTROL","1620","1620","FDFCEE011219F08F3FB3296310EC28959F6ACEEBA7FA63EED439F2E9A045C079","FDFCEE011219F08F3FB3296310EC28959F6ACEEBA7FA63EED439F2E9A045C079","True","True","true","True","true","true","E-1 preparation event","Byte-identical control"
"localization/english/zz_sepoy_functional_test_e1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2396","2396","B214114C69916E07FB16FB5FE8721E14DC354B46304D05E724DE6B60B88DAA00","B214114C69916E07FB16FB5FE8721E14DC354B46304D05E724DE6B60B88DAA00","True","True","true","True","true","true","English E-1 localization","Byte-identical control"
"localization/french/zz_sepoy_functional_test_e1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2818","2818","D5F1BB1EDC06C1C5DC48B756DF1E7E072ACE1C3F34B0E2A3ED4978297B7825FE","D5F1BB1EDC06C1C5DC48B756DF1E7E072ACE1C3F34B0E2A3ED4978297B7825FE","True","True","true","True","true","true","French E-1 localization","Byte-identical control"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","True","True","true","True","true","true","Root harness decision control","Byte-identical control"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","True","True","true","True","true","true","Root harness event control","Byte-identical control"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","True","True","true","True","true","true","Root English harness","Byte-identical control"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","True","True","true","True","true","true","Root French harness","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","True","True","true","True","true","true","A-1 decisions","Byte-identical control"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","True","True","true","True","true","true","A-1 event","Byte-identical control"
