record_type,branch,checkpoint,game_date,game_tick,state_region,state_id,province_id,owner,population,religion,target_pop_count,loyalists_and_radicals_before,loyalists_and_radicals_after,delta_pop,radicals_increase_before,radicals_increase_after,delta_country,population_radicals,trend_radicals,script_value,expected_fraction,observed_expected_ratio,materialization_class,small_marker,large_marker,event_2e_executed,bombay_preserved,west_bengal_status,base_clean,loop_terminated,save_name,save_sha256,result,evidence,notes
"SESSION_PLAN","SESSION","COMPLETE","1776.1.1-1776.1.5","one opening; one reload; one close","N/A","N/A","N/A","BIC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","true","N/A","true","true","N/A","N/A","PASS","One Victoria 3 opening, one BIC game, RELOAD_1, one final close","No GBR session, console, West Bengal E1D branch, or intermediate close"
"PLAYSET","SESSION","PRE_LAUNCH","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","N/A","N/A","true","N/A","N/A","N/A","PASS","Operator confirmed only 1776_Age_of_Revolutions_sepoy_test active","Fork, other 1776 copies, and Workshop versions disabled"
"E1D_BASE","BASE","SERIALIZED","1776.1.3","00:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.00909","0","0.01492","0.01492","0","909","1776.1.3/index=3/values=0 0 1240","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_E1D_BASE.v3","812C3D12C9F95C773114697B231E89FC9FAA1BFBAC27E087C742903B7B51336A","PASS","Pop 14727 at state 482; BIC owns province 39686","Immutable base; no SMALL, LARGE, or Bengal E1D marker"
"E1_PREPARATION_BASELINE","BASE","SECOND_DAILY_TICK","1776.1.3","00:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","0","-0.00909","-0.00909","N/A","0.01492","N/A","909","1776.1.3/index=3/values=0 0 1240","N/A","N/A","N/A","PARTIAL_BUT_MATERIAL","false","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_E1D_BASE.v3","812C3D12C9F95C773114697B231E89FC9FAA1BFBAC27E087C742903B7B51336A","PASS","UI observations: 0 initially and 909 Bombay on 3 January","Natural E-1 preparation baseline materialized before E1D"
"A_SMALL_IMMEDIATE","A","IMMEDIATE","1776.1.3","00:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.01667","-0.00758","0.01492","0.02250","0.00758","909","1776.1.3/index=3/values=0 0 1240","0.01","0.0075852","0.999314","FULL_EXPECTED","true","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_A_SMALL_IMMEDIATE.v3","3FA06BFFE3DE7246DB690C80521D2B60083F8CAB74C238B4416E0059A57CB314","PASS","SMALL marker serialized; equal pop/country delta","Effect is immediate within five-decimal serialization precision"
"A_SMALL_TICK1","A","TICK1","1776.1.4","12:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.01667","-0.01667","0","0.02250","0.03502","0.01252","909","1776.1.3/index=3/values=0 0 1240","0.01","0.0075852","0.999314","FULL_EXPECTED","true","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_A_SMALL_TICK1.v3","83DDC19005E8F66E8BD121A5B9AD616CADB305F323948085B97663BEE322A1CE","PASS","Target-pop value retained after tick","Country-only evolution after immediate effect is ordinary daily processing"
"A_LARGE_IMMEDIATE","A","IMMEDIATE","1776.1.4","12:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.01667","-0.09252","-0.07585","0.03502","0.11087","0.07585","909","1776.1.3/index=3/values=0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","true","true","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_A_LARGE_IMMEDIATE.v3","265EE825330F1F34ED22D1D607742A5CA93E5A5639415BDE0AC31FB422E6F5BF","PASS","LARGE marker added; incremental delta measured from SMALL_TICK1","Direct LARGE Bombay functions immediately"
"A_LARGE_TICK1","A","TICK1","1776.1.5","18:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.09252","-0.09252","0","0.11087","0.15129","0.04042","909","1776.1.3/index=3/values=0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","true","true","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_A_LARGE_TICK1.v3","9FA9B5426AA6ACF01725780A247B5DC7596092F0527F7E80016A3A75ACE4CDB0","PASS","Target-pop value retained after tick","No deferred radical materialization"
"RELOAD_1","C","RELOAD","1776.1.3","18:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.00909","0","0.01492","0.01492","0","909","1776.1.3/index=3/values=0 0 1240","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_C_PRE_2E_CLEAN.v3","1823EF3A4D8F4F1FAA5B6EB60A30E7E19D9E5192F394594EDC4007D634AD6463","PASS","Single reload restored the radical and territorial baseline","18-hour date offset documented"
"C_PRE_2E_CLEAN","C","PRE_2E","1776.1.3","18:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.00909","0","0.01492","0.01492","0","909","1776.1.3/index=3/values=0 0 1240","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","true","WEST_BENGAL_PRESERVED","true","true","HOTFIX_5C2E4C1AB_C_PRE_2E_CLEAN.v3","1823EF3A4D8F4F1FAA5B6EB60A30E7E19D9E5192F394594EDC4007D634AD6463","PASS","Bombay and West Bengal BIC portions match E1D_BASE","No branch-A or Bengal E1D marker and no -11.90044"
