"path","location","size_before","size_after","sha256_before","sha256_after","bom_before","bom_after","payload_identical_after_bom","status","notes"
"common/decisions/zz_sepoy_functional_test.txt","DISPOSABLE_COPY","298","301","02721DE11FE7B45CAF95DE11CF5199FA77D2A9C3799AD264DD69284F47EB3C8B","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","FALSE","TRUE","TRUE","BOM_ADDED_PAYLOAD_IDENTICAL","Seuls EF BB BF ont ete prefixes; texte, lignes et LF identiques."
"events/zz_sepoy_functional_test_events.txt","DISPOSABLE_COPY","463","466","32D3CF4164CADC3ECF1DBCE0C5A7C2809DD3A1A5407C89378FE7939D729EA4E0","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","FALSE","TRUE","TRUE","BOM_ADDED_PAYLOAD_IDENTICAL","Seuls EF BB BF ont ete prefixes; texte, lignes et LF identiques."
"localization/english/zz_sepoy_functional_test_l_english.yml","DISPOSABLE_COPY","556","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","TRUE","TRUE","N/A","UNCHANGED_CONTROL","YAML anglais inchange et deja UTF-8 BOM."
"localization/french/zz_sepoy_functional_test_l_french.yml","DISPOSABLE_COPY","627","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","TRUE","TRUE","N/A","UNCHANGED_CONTROL","YAML francais inchange et deja UTF-8 BOM."
"common/journal_entries/04_sepoy_mutiny.txt","DISPOSABLE_COPY","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","N/A","N/A","UNCHANGED_CONTROL","JE Sepoy copiee inchangee."
"events/india_events/sepoy_mutiny_events.txt","DISPOSABLE_COPY","63210","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","N/A","N/A","N/A","UNCHANGED_CONTROL","Events Sepoy copies inchanges."
"common/journal_entries/04_sepoy_mutiny.txt","FORK","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","N/A","N/A","UNCHANGED_CONTROL","JE Sepoy source inchangee."
"events/india_events/sepoy_mutiny_events.txt","FORK","63210","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","N/A","N/A","N/A","UNCHANGED_CONTROL","Events Sepoy source inchanges."
"descriptor.mod","DISPOSABLE_COPY","104","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","N/A","N/A","N/A","UNCHANGED_CONTROL","Descripteur interne jetable inchange."
"DISPOSABLE_SEPOY_TEST_COPY.txt","DISPOSABLE_COPY","406","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","N/A","N/A","N/A","UNCHANGED_CONTROL","Marqueur jetable inchange."
"1776_Age_of_Revolutions_sepoy_test.mod","EXTERNAL_LAUNCHER","206","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","N/A","N/A","N/A","UNCHANGED_CONTROL","Descripteur launcher jetable inchange."
"docs/reports/hotfix/HOTFIX_5C2E4C1C1_SEPOY_HARNESS_BOM_RETEST.md","FORK","","14214","","78492778AB1A6D53A73A7B9278EDA022C6533CA36B99A1504128815037A58803","N/A","N/A","N/A","CREATED_REPORT","Rapport C1C1; hash ajoute apres redaction."
"docs/reports/hotfix/HOTFIX_5C2E4C1C1_HARNESS_BOM_MANIFEST.csv","FORK","","","","","N/A","N/A","N/A","CREATED_REPORT","Manifest C1C1; hash propre omis car auto-referentiel."
