"path","location","status","size_before","size_after","sha256_before","sha256_after","utf8_bom","option_2b_only","west_bengal_excluded","east_bengal_excluded","loop_filter_consistent","territorial_mutation_in_harness","radical_baseline_added","radical_target","calls_sepoy_event_2","automatic_option_choice","purpose","notes"
"events/india_events/sepoy_mutiny_events.txt","fork","MODIFIED_BENGAL_CORE_FIX","63210","63422","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","true","true","true","true","true","false","false","none","false","false","protect BIC Bengal core in option 2.b","Two identical NOR exclusions added to loop guard and random selection; eight added lines only."
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","MODIFIED_BENGAL_CORE_FIX","63210","63422","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","true","true","true","true","true","false","false","none","false","false","runtime copy of Bengal core fix","Byte-identical to fork after correction."
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","false","false","false","n/a","false","false","none","false","false","protected Sepoy journal control","Unchanged byte-for-byte."
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","false","false","false","n/a","false","false","none","false","false","disposable Sepoy journal control","Unchanged byte-for-byte."
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","MODIFIED_RADICAL_TEST_ONLY","1006","1592","D13721D467422BA427A0515A8530051DAD2F230271572590509B8335BFCBE0EA","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","true","false","false","false","n/a","false","true","BIC West/East Bengal Hindu or Sunni pops","true","false","B-1 decisions and measurable preconditions","Requires both Bengal portions and at least one eligible pop; when_taken only opens the preparation event or real event."
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","MODIFIED_RADICAL_TEST_ONLY","888","1484","3AF01F95628C4CEB5587A82AF215245DB56C710651792BB0EDF9FB5DFCE48C43","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","true","false","false","false","n/a","false","true","BIC West/East Bengal Hindu and Sunni pops at very_small_radicals 0.01","false","false","deterministic B-1 radical preparation","Two manual options; preparation adds radicals then sets the single readiness marker; no territorial effect."
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","MODIFIED_RADICAL_TEST_ONLY","1834","2146","A1E927A61FD0A796AEC8B5681A2DB065FAEEF686400A57F2F3E0E731C8D01C8B","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","true","false","false","false","n/a","false","true","documented 1 percent BIC Bengal baseline","false","false","English B-1 operator guidance","Ten keys; manual 2.b; immutable pre-option save; no A saves."
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","MODIFIED_RADICAL_TEST_ONLY","2115","2562","8B992BB5834C52513135A78A5F523EECD3307776F83F44382A20EEB005352D74","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","true","false","false","false","n/a","false","true","baseline BIC Bengale documentée à 1 pour cent","false","false","consignes opérateur B-1 françaises","Dix clés; option 2.b manuelle; sauvegarde pré-option immuable; aucune sauvegarde A."
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","true","false","false","false","n/a","false","false","none","false","false","root decision control","Unchanged byte-for-byte from C1J."
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","true","false","false","false","n/a","false","false","none","false","false","root event control","Unchanged byte-for-byte from C1J."
