"path","location","status","size_before","size_after","sha256_before","sha256_after","save_role","radical_evidence","root_cause","code_changed","runtime_required","purpose","notes"
"docs/reports/hotfix/HOTFIX_5C2E4C1N_B1_RADICAL_FORENSIC_AUDIT.md","fork","CREATED_REPORT","0","18189","","F9B864FD80515312E58A3C4B555E90BF68F673C8413259AC7F1464812FD852CF","N/A","Documents zero serialized radicals and no proven cause","SAVE_EVIDENCE_INCONCLUSIVE","false","true","forensic audit report","Only new Markdown deliverable."
"docs/reports/hotfix/HOTFIX_5C2E4C1N_B1_RADICAL_AUDIT_MANIFEST.csv","fork","SELF_REFERENTIAL","0","SELF_REFERENTIAL","","SELF_REFERENTIAL_NOT_RECORDED","N/A","Inventories evidence and controls","SAVE_EVIDENCE_INCONCLUSIVE","false","true","audit manifest","Final size and hash omitted because recording them changes the file."
"HOTFIX_5C2E4C1K_B1_PRE_OPTION_1776_01_01.v3","save_games_read_only","AUDITED_READ_ONLY","7901193","7901193","19ED98D357672806DFF4B9204E2A1D2DCCC859AD99A468509E57F0B5FBC19BB9","19ED98D357672806DFF4B9204E2A1D2DCCC859AD99A468509E57F0B5FBC19BB9","C1K_PRE_OPTION_NO_RADICAL_BASELINE","BIC trend_radicals 0; BIC statistics block hash CF9A55D443C21CAD1E37F424685202C7B48F3458A60D76CE3B7651492D34CFFB; ready marker at tick 0","SAVE_EVIDENCE_INCONCLUSIVE","false","true","old-harness baseline control","Original untouched; analysis used a temporary copy."
"HOTFIX_5C2E4C1M_B1_FIX_PRE_OPTION_1776_01_01.v3","save_games_read_only","AUDITED_READ_ONLY","7899432","7899432","771B4AB364ABED9BCF306ED070ECCCD6D973F561AB155FB2F166957469080CA4","771B4AB364ABED9BCF306ED070ECCCD6D973F561AB155FB2F166957469080CA4","C1M_AFTER_PREPARATION_BEFORE_2B","BIC trend_radicals 0; statistics block unchanged; target Hindu and Sunni pops present; ready marker at tick 0","SAVE_EVIDENCE_INCONCLUSIVE","false","true","prepared baseline evidence","Original untouched; no daily tick occurred."
"HOTFIX_5C2E4C1M_B1_FIX_POST_OPTION_1776_01_01.v3","save_games_read_only","AUDITED_READ_ONLY","7902306","7902306","08845B6E7A572F0E8A71D8030A839DCBC562616022BB3C4B8B7B0F006B5776B9","08845B6E7A572F0E8A71D8030A839DCBC562616022BB3C4B8B7B0F006B5776B9","C1M_AFTER_MANUAL_2B","BIC trend_radicals 0; statistics block unchanged; 124 Bengal Hindu/Sunni pop objects identical to C1M pre; ready marker at tick 0","SAVE_EVIDENCE_INCONCLUSIVE","false","true","post-gameplay evidence","Original untouched; owners confirm Bengal core preservation."
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_GAMEPLAY_CONTROL","63422","63422","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","N/A","Two final 2.b calls use vanilla-attested state effect syntax","SAVE_EVIDENCE_INCONCLUSIVE","false","true","gameplay and Bengal-fix control","No territorial or radical code changed."
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_GAMEPLAY_CONTROL","63422","63422","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","N/A","Byte-identical runtime copy of gameplay calls","SAVE_EVIDENCE_INCONCLUSIVE","false","true","copy gameplay control","Byte-identical to fork."
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_HARNESS_CONTROL","1592","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","N/A","Preparation decision opens effect-bearing event; one manual call to event 2","SAVE_EVIDENCE_INCONCLUSIVE","false","true","B-1 decision control","BOM and LF valid; no territorial effect or automatic option."
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_HARNESS_CONTROL","1484","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","N/A","State loop calls Hindu and Sunni very_small_radicals before setting marker","SAVE_EVIDENCE_INCONCLUSIVE","false","true","B-1 preparation event control","BOM and LF valid; two manual options preserved."
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_HARNESS_CONTROL","2146","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","N/A","Documents intended one-percent baseline","SAVE_EVIDENCE_INCONCLUSIVE","false","true","English operator text control","BOM and LF valid; unchanged."
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_HARNESS_CONTROL","2562","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","N/A","Documents intended one-percent baseline","SAVE_EVIDENCE_INCONCLUSIVE","false","true","French operator text control","BOM and LF valid; unchanged."
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","No radical-test mutation","SAVE_EVIDENCE_INCONCLUSIVE","false","false","protected journal control","Unchanged byte-for-byte."
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","No radical-test mutation","SAVE_EVIDENCE_INCONCLUSIVE","false","false","copy journal control","Unchanged byte-for-byte."
"docs/reports/hotfix/HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX.md","fork","READ_ONLY_EVIDENCE","17263","17263","7079E9EAFF2D3CE80DEC198DBFE451A355F6179C90168C07F2773ECA3DB53D93","7079E9EAFF2D3CE80DEC198DBFE451A355F6179C90168C07F2773ECA3DB53D93","N/A","Prior static radical assumption and Bengal fix","SAVE_EVIDENCE_INCONCLUSIVE","false","false","required prior report","Read only."
"docs/reports/hotfix/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_TEST.md","fork","READ_ONLY_EVIDENCE","10048","10048","53AEB997D86ED57F129C8A9CC35EC14D4C2495E3011ED8BDBE5A4ED5A22B9766","53AEB997D86ED57F129C8A9CC35EC14D4C2495E3011ED8BDBE5A4ED5A22B9766","N/A","Runtime recorded 0 before preparation after preparation and after 2.b","SAVE_EVIDENCE_INCONCLUSIVE","false","false","required C1M report","Read only."
"docs/reports/hotfix/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_RESULTS.csv","fork","READ_ONLY_EVIDENCE","7214","7214","F558DEDCBB760F1C276F3E45C4083FE2D761B1D40C37C6B6F146C321606EBDC0","F558DEDCBB760F1C276F3E45C4083FE2D761B1D40C37C6B6F146C321606EBDC0","N/A","Structured zero observations and save hashes","SAVE_EVIDENCE_INCONCLUSIVE","false","false","required C1M results","Read only."
"docs/reports/hotfix/HOTFIX_5C2E4C1K_SEPOY_B1_RUNTIME_TEST.md","fork","READ_ONLY_EVIDENCE","10065","10065","01DB6C5FAAAD5EF3C82242D67BA467F83F3E15336B0D98DE886B278329C492B5","01DB6C5FAAAD5EF3C82242D67BA467F83F3E15336B0D98DE886B278329C492B5","N/A","Old harness zero baseline report","SAVE_EVIDENCE_INCONCLUSIVE","false","false","required C1K report","Read only."
"common/script_values/event_values.txt","vanilla_1.13_read_only","READ_ONLY_API_EVIDENCE","6825","6825","126BDE7394542B17434E7751599A3BD67078997458876064577B019A2CA59B4B","126BDE7394542B17434E7751599A3BD67078997458876064577B019A2CA59B4B","N/A","very_small_radicals 0.01 and large_radicals 0.1","SAVE_EVIDENCE_INCONCLUSIVE","false","false","script-value evidence","Victoria 3 vanilla only."
"common/effect_localization/00_pop_effects_loc.txt","vanilla_1.13_read_only","READ_ONLY_API_EVIDENCE","1501","1501","A887EC4E4EBEA93A6166C4B0D21F600387AE12C9F8D2BEF364139293A0CCBFEE","A887EC4E4EBEA93A6166C4B0D21F600387AE12C9F8D2BEF364139293A0CCBFEE","N/A","Declares state radical and loyalist effect localization","SAVE_EVIDENCE_INCONCLUSIVE","false","false","effect declaration evidence","Victoria 3 vanilla only."
"localization/english/effects_l_english.yml","vanilla_1.13_read_only","READ_ONLY_API_EVIDENCE","80545","80545","924F2328A0B43C47EE36C97AF69D2A495186EFBA9726FA46962171C27614133C","924F2328A0B43C47EE36C97AF69D2A495186EFBA9726FA46962171C27614133C","N/A","Describes filtered share becoming more radical or loyalist","SAVE_EVIDENCE_INCONCLUSIVE","false","false","semantic localization evidence","Lines 571-587."
"events/india_events/sepoy_mutiny_events.txt","vanilla_1.13_read_only","READ_ONLY_API_EVIDENCE","63904","63904","14FE5650F573AA6E3AA8C3DA25B94F74F44DF2A3917B0F9DB7DBA5E84085E638","14FE5650F573AA6E3AA8C3DA25B94F74F44DF2A3917B0F9DB7DBA5E84085E638","N/A","Exact Hindu Sunni large_radicals pattern under every_scope_state","SAVE_EVIDENCE_INCONCLUSIVE","false","false","closest gameplay API evidence","North and South India active examples."
"events/india_events/communal_divides_events.txt","vanilla_1.13_read_only","READ_ONLY_API_EVIDENCE","13829","13829","BA1EFC5CD8E55543A2A4A0BC24379A8949D41AB331A62827A0E686559E8C1ABC","BA1EFC5CD8E55543A2A4A0BC24379A8949D41AB331A62827A0E686559E8C1ABC","N/A","Hindu and Sunni filters in a saved state scope","SAVE_EVIDENCE_INCONCLUSIVE","false","false","religion-filter evidence","Active event options."
