"path","location","status","size","sha256","utf8_bom","purpose","scenario_state","original_owner","prepared_owner","territorial_mutation_count","radical_baseline","radical_region","calls_sepoy_event_2","automatic_option_choice","custom_tooltip_count","source_example","notes"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","CREATED_C1","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","TRUE","C-1 prepare and manual open decisions","FRA_MADRAS_PREP_AND_REAL_EVENT_GATE","FRA","BIC","0","described; applied by prep event","STATE_MADRAS.region_state:BIC","1","NO","2","A-3/B-1 evaluated custom_tooltip model","when_taken preparation opens only C-1 event; open calls event 2 once"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","CREATED_C1","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","TRUE","C-1 explicit preparation event","ONE_MUTATION_FRA_TO_BIC","FRA","BIC","1","very_small_radicals=0.01 Hindu and Sunni","STATE_MADRAS.region_state:BIC","0","NO","1","vanilla india_misc_events.txt:1761; event_values.txt:1","exactly two options; cancel has no effect"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","CREATED_C1","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","TRUE","English C-1 localization","TEN_REQUIRED_KEYS","FRA","BIC","N/A","1% described","BIC Madras described","0","NO","0","B-1 localization model","manual destructive 2.c; Jan 3 wait; immutable save; no A/B saves"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","CREATED_C1","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","TRUE","French C-1 localization","TEN_REQUIRED_KEYS","FRA","BIC","N/A","1% described","BIC Madras described","0","NO","0","B-1 localization model","manual destructive 2.c; Jan 3 wait; immutable save; no A/B saves"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","TRUE","root harness control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","TRUE","root harness control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","TRUE","root harness EN control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","TRUE","root harness FR control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","TRUE","A-1 decision control","PREEXISTING_A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","TRUE","A-1 event control","PREEXISTING_A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
