path,location,status,size_before,size_after,sha256_before,sha256_after,option_2c_only,madras_guard_excluded,madras_selection_excluded,loop_filter_consistent,priority_branches_unchanged,radical_effect_unchanged,harness_unchanged,purpose,notes
"events/india_events/sepoy_mutiny_events.txt","fork","MODIFIED_MADRAS_CORE_FIX","63422","63540","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","98C4A50C1DCF2CE79B13AFF82B1FE461651BB99A9B42B002914FD10C338FDCAD","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N/A","minimal option 2.c Madras core fix","six added lines; UTF-8 BOM and CRLF preserved"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","MODIFIED_MADRAS_CORE_FIX","63422","63540","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","98C4A50C1DCF2CE79B13AFF82B1FE461651BB99A9B42B002914FD10C338FDCAD","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N/A","runtime copy of option 2.c fix","byte-identical to fork"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","Sepoy journal control","unchanged"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","Sepoy journal copy control","unchanged and fork-identical"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","C-1 decisions","one manual event 2 call; unchanged"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","C-1 preparation event","one FRA to BIC mutation and 1 percent baseline; unchanged"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2345","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","C-1 English localization","unchanged"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2731","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","C-1 French localization","unchanged"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","root decisions harness","unchanged"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","root event harness","unchanged"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","root English harness","unchanged"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","root French harness","unchanged"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-1 decisions harness","unchanged"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-1 event harness","unchanged"
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-1 English harness","unchanged"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-1 French harness","unchanged"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-2 decisions harness","unchanged"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-2 event harness","unchanged"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-2 English harness","unchanged"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-2 French harness","unchanged"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-3 decisions harness","unchanged"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-3 event harness","unchanged"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-3 English harness","unchanged"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","A-3 French harness","unchanged"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","B-1 decisions harness","unchanged"
