path,location,status,size,sha256,utf8_bom,lf_only,purpose,scenario,state_region,province_or_portion,original_owner,prepared_owner,territorial_mutation_count,radical_baseline,radical_region,west_bengal_required,bombay_required_by_harness,calls_sepoy_event_2,automatic_option_choice,custom_tooltip_count,source_example,notes
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","CREATED_E1","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","TRUE","TRUE","E-1 prepare and manual open decisions","E1","STATE_BOMBAY","x51F0A0 / region_state:POR","POR","BIC","0","described; event applies 1%","STATE_BOMBAY.region_state:BIC","TRUE","TRUE","1","NO","2","A-3/B-1/C-1 evaluated tooltip model","when_taken prepare only opens setup event"
"events/zz_sepoy_functional_test_e1_events.txt","disposable_copy","CREATED_E1","1620","FDFCEE011219F08F3FB3296310EC28959F6ACEEBA7FA63EED439F2E9A045C079","TRUE","TRUE","E-1 explicit preparation event","E1","STATE_BOMBAY","x51F0A0 / region_state:POR","POR","BIC","1","very_small_radicals Hindu and Sunni","STATE_BOMBAY.region_state:BIC","TRUE","TRUE","0","NO","1","C-1 preparation event model","two options; exact mutation then two baselines then marker"
"localization/english/zz_sepoy_functional_test_e1_l_english.yml","disposable_copy","CREATED_E1","2396","B214114C69916E07FB16FB5FE8721E14DC354B46304D05E724DE6B60B88DAA00","TRUE","TRUE","English E-1 localization","E1","STATE_BOMBAY","Portuguese portion","POR","BIC","N/A","1% described","BIC Bombay","TRUE","TRUE","0","NO","0","C-1 localization model","ten required keys; manual 2.e"
"localization/french/zz_sepoy_functional_test_e1_l_french.yml","disposable_copy","CREATED_E1","2818","D5F1BB1EDC06C1C5DC48B756DF1E7E072ACE1C3F34B0E2A3ED4978297B7825FE","TRUE","TRUE","French E-1 localization","E1","STATE_BOMBAY","Portuguese portion","POR","BIC","N/A","1% described","BIC Bombay","TRUE","TRUE","0","NO","0","C-1 localization model","ten required keys; manual 2.e"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","TRUE","TRUE","root harness control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","TRUE","TRUE","root harness control","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","TRUE","TRUE","root English harness","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","TRUE","TRUE","root French harness","PREEXISTING","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","TRUE","TRUE","A-1 decisions","A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","TRUE","TRUE","A-1 event","A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
