record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,region_state_empty,province_count,west_bengal_status,bombay_status,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,loyalists_and_radicals,event_2e_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"SESSION_PLAN","pre-launch","1776.1.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE","N/A","N/A","N/A","N/A","N/A","N/A","PASS","Operator sheet supplied before launch","One opening; one BIC game; one final close"
"PLAYSET","pre-launch","1776.1.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE","N/A","N/A","N/A","N/A","N/A","N/A","PASS","User confirmation","Only 1776_Age_of_Revolutions_sepoy_test active"
"WEST_BENGAL_INITIAL","prepared pre-2.e","1776.1.4.6","N/A","STATE_WEST_BENGAL","40292;40306;40305","BIC;COO","BIC;COO","BIC;COO","BIC;COO","FALSE","3","WEST_BENGAL_PRESERVED","N/A","N/A","N/A","0","0","0 0 0","0","0","FALSE","TRUE","N/A","TRUE","TRUE","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","PASS","States 487 and 488 serialized","BIC portion 40292/40306; COO portion 40305"
"BOMBAY_INITIAL_POR","initial","1776.1.1","N/A","STATE_BOMBAY","x51F0A0/39686","POR","POR","POR","POR","FALSE","1","N/A","PREPARATION_PENDING","446391","hindu+catholic","0","0","0 0 0","0","0","FALSE","FALSE","N/A","N/A","N/A","N/A","N/A","PASS","Operator observation","Prepared province initially Portuguese"
"BOMBAY_INITIAL_MARATH","initial","1776.1.1","N/A","STATE_BOMBAY","N/A","MARATH","MARATH","MARATH","MARATH","FALSE","25","N/A","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE","N/A","N/A","N/A","N/A","N/A","N/A","PASS","Operator observation","Twenty-five provinces"
"BOMBAY_INITIAL_SAT","initial","1776.1.1","N/A","STATE_BOMBAY","N/A","SAT","SAT","SAT","SAT","FALSE","10","N/A","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE","N/A","N/A","N/A","N/A","N/A","N/A","PASS","Operator observation","Ten provinces"
"BOMBAY_INITIAL_KHP","initial","1776.1.1","N/A","STATE_BOMBAY","39690;39692;39696","KHP","KHP","KHP","KHP","FALSE","3","N/A","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE","N/A","N/A","N/A","N/A","N/A","N/A","PASS","Operator observation","Three provinces"
"PREPARATION","POR to BIC","1776.1.1-1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","POR","BIC","POR","BIC","FALSE","1","WEST_BENGAL_PRESERVED","PREPARED","446391","hindu+catholic","0","0","0 0 0","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","PASS","State 482 country=218 and province 39686","No other preparation mutation reported"
"BOMBAY_BIC_PRE_2E","pre-2.e","1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_PRESERVED","PRESERVED","446391","hindu+catholic","0","0","0 0 0","0","0","FALSE","TRUE","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","PASS","State 482 real and non-empty","Serialized date is one day later than filename"
"RADICAL_BASELINE_HINDU","pre-2.e","1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","N/A","PRESERVED","75852","hindu","0","0","0 0 0","0","0","FALSE","TRUE","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","FAIL_E1_FIX_RADICAL_BASELINE","Pop 14727 has no loyalists_and_radicals field; aggregate zero","No deep very_small_radicals baseline"
