record_type,branch,checkpoint,game_date,game_tick,state_region,state_id,province_id,owner,population,religion,target_pop_count,loyalists_and_radicals_before,loyalists_and_radicals_after,delta_pop,radicals_increase_before,radicals_increase_after,delta_country,population_radicals,trend_radicals,script_value,expected_fraction,observed_expected_ratio,materialization_class,marker_present,event_2e_executed,bombay_preserved,west_bengal_status,loop_terminated,save_name,save_sha256,result,evidence,notes
SESSION_PLAN,SESSION,FINAL,1776.1.6,18:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,false,N/A,N/A,true,N/A,N/A,PASS,"1 opening; 1 new BIC game; 2 reloads; 1 final close","No intermediate close reported"
PLAYSET,SESSION,PRELAUNCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,false,N/A,N/A,N/A,N/A,N/A,PASS,"Operator confirmed only 1776_Age_of_Revolutions_sepoy_test active","Fork other copies and Workshop disabled"
E1D_BASE,BASE,SERIALIZED,1776.1.3,12:00,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.00909,0,0.01474,0.01474,0,1234,"1776.1.3/index=3/values=0 0 1234",N/A,N/A,N/A,NOT_APPLICABLE,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_E1D_BASE.v3,D388423B2A097B806443F892EC3135AE3E97E747766F4828D9E98C1F7B87F472,PASS,"BIC states include 482 and 487; marker zz_sepoy_test_e1_ready","Immutable-base name was not overwritten"
E1_PREPARATION_BASELINE,BASE,UI_TICK_2,1776.1.3,12:00,Bombay,482,39686,BIC,75852,hindu,1,0,-0.00909,-0.00909,N/A,0.01474,N/A,1234,"1776.1.3/index=3/values=0 0 1234",large_radicals,0.10,0.0909,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_E1D_BASE.v3,D388423B2A097B806443F892EC3135AE3E97E747766F4828D9E98C1F7B87F472,PASS,"UI: 0 radicals Jan 1 and Jan 2; 1.23K BIC and 909 Bombay Jan 3","Baseline materialized on second daily tick"
A_SMALL_IMMEDIATE,A,IMMEDIATE,1776.1.3,12:00,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.01742,-0.00833,0.01474,0.02307,0.00833,1234,"1776.1.3/index=3/values=0 0 1234",very_small_radicals,0.01,0.833,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_A_BOMBAY_SMALL_IMMEDIATE.v3,826E7EAAF97FBE9257BC0DD3FCC6115FE28E311D992CE5161E30D9E01558C4B4,PASS,"Bombay pop implied radicals 689.49468 -> 1321.34184; country delta equals pop-fraction delta","Immediate material effect"
A_SMALL_TICK1,A,TICK1,1776.1.4,18:00,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.01742,-0.00833,0.01474,0.03514,0.02040,1234,"1776.1.3/index=3/values=0 0 1234",very_small_radicals,0.01,0.833,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_A_BOMBAY_LARGE_TICK1.v3,B512D74605056FAD0C409330CF43C793CC93BE811F315F766E651CBC5A23C1F6,PASS_WITH_MISLABEL,"Only small marker present; target pop unchanged from immediate","Original save is mislabeled LARGE_TICK1 but is actually SMALL_TICK1"
A_LARGE_IMMEDIATE,A,IMMEDIATE,N/A,N/A,Bombay,482,39686,BIC,75852,hindu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,large_radicals,0.10,N/A,NOT_APPLICABLE,false,false,true,PRESERVED,N/A,HOTFIX_5C2E4C1Z_A_BOMBAY_LARGE_IMMEDIATE.v3,N/A,MISSING_SAVE,"No original save and no large marker in either A save","Branch A large direct was not executed or not saved"
A_LARGE_TICK1,A,TICK1,N/A,N/A,Bombay,482,39686,BIC,75852,hindu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,large_radicals,0.10,N/A,NOT_APPLICABLE,false,false,true,PRESERVED,N/A,HOTFIX_5C2E4C1Z_A_BOMBAY_LARGE_TICK1.v3,B512D74605056FAD0C409330CF43C793CC93BE811F315F766E651CBC5A23C1F6,MISSING_TEST,"Serialized marker is small_bombay_done only","Filename contains LARGE but content is small tick"
RELOAD_1,B,BASE_RELOAD,1776.1.3,12:00,West Bengal,487,N/A,BIC,12515881,hindu,44,-0.00301,-0.00301,0,0.01474,0.01474,0,1234,"1776.1.3/index=3/values=0 0 1234",N/A,N/A,N/A,NOT_APPLICABLE,false,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_E1D_BASE.v3,D388423B2A097B806443F892EC3135AE3E97E747766F4828D9E98C1F7B87F472,PASS,"B small immediate begins at base date with only small_bengal marker added","Reload 1 is consistent with base"
B_SMALL_IMMEDIATE,B,IMMEDIATE,1776.1.3,12:00,West Bengal,487,N/A,BIC,12515881,hindu,44,-0.00301,-1.25482,-1.25181,0.01474,1.32206,1.30732,1234,"1776.1.3/index=3/values=0 0 1234",very_small_radicals,0.01,93.652,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_B_BENGAL_SMALL_IMMEDIATE.v3,DC7B6588558A0F349A20ABD3E660E00E09D9A3485A5FAB70C5DD4B09D8AF359,PASS,"Weighted implied radicals +11721393.53; small_bengal marker present","Material immediate positive control; magnitude is multiplied across scoped pops"
B_SMALL_TICK1,B,TICK1,1776.1.5,00:00,West Bengal,487,N/A,BIC,12515877,hindu,44,-0.00301,-1.25536,-1.25235,0.01474,1.37194,1.35720,1234,"1776.1.3/index=3/values=0 0 1234",very_small_radicals,0.01,93.652,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_B_BENGAL_LARGE_TICK1.v3,53D57F3BAEF78976601ABE937DBBEDCD8DACFF05228ACBE2F5046E8D9B6E538D,PASS_WITH_MISLABEL,"Only small_bengal marker present","Original name LARGE_TICK1 is actually SMALL_TICK1; date is later than one nominal daily tick"
B_LARGE_IMMEDIATE,B,IMMEDIATE,1776.1.5,00:00,West Bengal,487,N/A,BIC,12515877,hindu,44,-1.25536,-13.77420,-12.51884,1.37194,14.44619,13.07425,1234,"1776.1.3/index=3/values=0 0 1234",large_radicals,0.10,93.652,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_B_BENGAL_LARGE_IMMEDIATE.v3,A8F16972C9F7D9A830D50FCB839200A758A1F9158176F9085AB64897EDA4B20B,PASS,"Weighted implied radicals increment +117214943.06; large and small markers present","Material immediate positive control"
B_LARGE_TICK1,B,TICK1,1776.1.6,18:00,West Bengal,487,N/A,BIC,12515879,hindu,44,-1.25536,-13.77435,-12.51899,1.37194,14.45374,13.08180,1234,"1776.1.3/index=3/values=0 0 1234",large_radicals,0.10,93.652,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,HOTFIX_5C2E4C1Z_B_BENGAL_SMALL_TICK.v3,021202FC637D53D04442DE58B8A2555ADAA9AE5F72290D5EFC5EFD36605A6854,PASS_WITH_MISLABEL,"Large and small markers present; effect retained","Original name SMALL_TICK is actually LARGE_TICK1"
RELOAD_2,C,BASE_RELOAD,1776.1.3,12:00,West Bengal,487,N/A,N/A,12515877,hindu,44,-0.00301,-13.77420,-13.77119,0.01474,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SCOPE_MISMATCH,N/A,true,true,LOST,true,HOTFIX_5C2E4C1Z_C_2E_IMMEDIATE.v3,00B92D431B4446E6A5EF85D45EC438EDC7CCE0F0B1BFE2451622F0E71F898B0,FAIL_CONTROL,"Pop 14845 has loyalists_and_radicals=-11.90044 exactly as B large immediate","C carries the large Bengal control signature and is not a clean reload of E1D_BASE"
C_2E_IMMEDIATE,C,IMMEDIATE,1776.1.3,12:00,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.08494,-0.07585,0.01474,0.09059,0.07585,1234,"1776.1.3/index=3/values=0 0 1234",large_radicals,0.10,0.7585,PARTIAL_BUT_MATERIAL,N/A,true,true,LOST,true,HOTFIX_5C2E4C1Z_C_2E_IMMEDIATE.v3,00B92D431B4446E6A5EF85D45EC438EDC7CCE0F0B1BFE2451622F0E71F898B0,CONTAMINATED_POSITIVE,"Bombay state 482 retained; BIC states reduce to 504 482; Bombay delta is immediate","Shows 2.e can affect Bombay but branch is not controlled"
C_2E_TICK1,C,TICK1,1776.1.4,18:00,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.08494,-0.07585,0.01474,0.09061,0.07587,1234,"1776.1.3/index=3/values=0 0 1234",large_radicals,0.10,0.7585,PARTIAL_BUT_MATERIAL,N/A,true,true,LOST,true,HOTFIX_5C2E4C1Z_C_2E_TICK1.v3,0E3EF8D75B12DB33456E0B0834277D3C3592934F348F2A3E061C300995803778,CONTAMINATED_POSITIVE,"Bombay pop value unchanged from immediate; country increase +0.00002","No deferred Bombay materialization"
BOMBAY_COMPARISON,A+C,COMPARISON,N/A,N/A,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.08494,-0.07585,0.01474,0.09059,0.07585,1234,"fixed serialized series",large_radicals,0.10,0.7585,PARTIAL_BUT_MATERIAL,true,true,true,LOST,true,N/A,N/A,PARTIAL_EVIDENCE,"Direct small and real 2.e both materially alter Bombay immediately","Direct large Bombay is missing and C is contaminated"
BENGAL_CONTROL_COMPARISON,B,COMPARISON,N/A,N/A,West Bengal,487,N/A,BIC,12515881,hindu,44,-0.00301,-13.77420,-13.77119,0.01474,14.44619,14.43145,1234,"fixed serialized series",very_small_radicals+large_radicals,0.11,93.652,PARTIAL_BUT_MATERIAL,true,false,true,PRESERVED,true,N/A,N/A,PASS,"Both direct script values produce immediate material effects","Harness loaded and add_radicals_in_state functions; magnitude is not a simple one-call fraction"
EVENT_2E_COMPARISON,C,COMPARISON,N/A,N/A,Bombay,482,39686,BIC,75852,hindu,1,-0.00909,-0.08494,-0.07585,0.01474,0.09059,0.07585,1234,"fixed serialized series",large_radicals,0.10,0.7585,PARTIAL_BUT_MATERIAL,N/A,true,true,LOST,true,N/A,N/A,INCONCLUSIVE,"Bombay radical signal is material and immediate","Cannot attribute causally because C did not reload a clean radical baseline"
LOGS,SESSION,POST_CLOSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,N/A,N/A,N/A,true,N/A,N/A,FAIL_E1D_RUNTIME_ERROR_CRITERION,"2 direct E1D utf8-bom warnings; zero Invalid scope and zero direct E-1/2.e hits","Harness nevertheless loaded and executed; global unrelated diagnostics classified separately"
SAVE_INTEGRITY,SESSION,POST_MELT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS_WITH_DIVERGENCES,"9 originals rehashed unchanged after Rakaly 0.8.18; temporary material deleted","Expected 11 saves; A large pair absent; three names diverge from serialized markers/dates"
FILE_INTEGRITY,SESSION,FINAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS,"39 non-self C1Y manifest controls pass; copy 976 files and 32 harness files; Sepoy hash unchanged","No gameplay harness localization or save original modified"
CAUSALITY_MATRIX,SESSION,FINAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,true,true,LOST,true,N/A,N/A,INCONCLUSIVE_E1_RADICAL_DIAGNOSTIC,"Bombay small works; Bengal controls work; 2.e shows a signal; A large missing and C contaminated","No ROOT_CAUSE_*_PROVEN permitted"
SUMMARY,SESSION,FINAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_APPLICABLE,N/A,true,true,LOST,true,N/A,N/A,INCONCLUSIVE_E1_RADICAL_DIAGNOSTIC,"WEST_BENGAL_LOST; WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED","A new clean differential session is required before any gameplay correction"
