state_id                    , numeric_id, source_file                                    , current_relevant_resources                                                                                                                                                                                                                    , candidate_limestone_potential, evidence_status, implementation_status, notes
STATE_ABRUZZO               ,         85, map_data/state_regions/01_south_europe.txt     , building_logging_camp=9;building_fishing_wharf=7                                                                                                                                                                                              ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ABU_DHABI             ,        400, map_data/state_regions/08_middle_east.txt      , building_fishing_wharf=4;building_oil_rig=discoverable                                                                                                                                                                                        ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ACEH                  ,        547, map_data/state_regions/12_indonesia.txt        , building_iron_mine=15;building_sulfur_mine=20;building_logging_camp=14;building_fishing_wharf=8;building_rubber_plantation=discoverable;building_oil_rig=discoverable                                                                         ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ACRE                  ,        665, map_data/state_regions/07_south_america.txt    , building_logging_camp=15;building_rubber_plantation=discoverable;building_salt_mine=discoverable                                                                                                                                              ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ADANA                 ,        429, map_data/state_regions/08_middle_east.txt      , building_coal_mine=44;building_logging_camp=4;building_fishing_wharf=12                                                                                                                                                                       ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_AGRA                  ,        918, map_data/state_regions/10_india.txt            , building_logging_camp=6;building_coal_mine=4;building_iron_mine=3                                                                                                                                                                             ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_AKMOLINSK             ,        448, map_data/state_regions/15_russia.txt           , building_iron_mine=16;building_coal_mine=68;building_logging_camp=6                                                                                                                                                                           ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_AKTOBE                ,        809, map_data/state_regions/15_russia.txt           , building_iron_mine=10;building_logging_camp=3;building_oil_rig=discoverable                                                                                                                                                                   ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ALABAMA               ,        292, map_data/state_regions/05_north_america.txt    , building_coal_mine=28;building_iron_mine=30;building_lead_mine=24;building_logging_camp=17;building_fishing_wharf=3;building_oil_rig=discoverable                                                                                             ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ALAND                 ,       1021, map_data/state_regions/15_russia.txt           , building_logging_camp=2;building_fishing_wharf=2                                                                                                                                                                                              ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ALASKA                ,        269, map_data/state_regions/05_north_america.txt    , building_coal_mine=32;building_logging_camp=90;building_whaling_station=8;building_fishing_wharf=10;building_gold_field=discoverable                                                                                                          ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ALBANIA               ,        110, map_data/state_regions/01_south_europe.txt     , building_iron_mine=24;building_logging_camp=6;building_fishing_wharf=8;building_oil_rig=discoverable                                                                                                                                          ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
STATE_ALBERTA               ,        314, map_data/state_regions/05_north_america.txt    , building_coal_mine=48;building_sulfur_mine=32;building_logging_camp=70;building_oil_rig=discoverable;building_salt_mine=discoverable                                                                                                          ,                              , NOT_RESEARCHED , DEFERRED_TECH6C2     , No limestone potential assigned in TECH6C1.
