"state_id"                    , "numeric_id", "source_file"                                    , "current_relevant_resources"                                                                                                                                                                                                                    , "candidate_limestone_potential", "potential_class", "evidence_status"  , "evidence_region"                      , "evidence_summary"                                                                                                                                                                                                                                                                                                                                                                                                            , "source_urls"                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "implementation_status"            , "notes"
"STATE_ABRUZZO"               , "85"        , "map_data/state_regions/01_south_europe.txt"     , "building_logging_camp=9;building_fishing_wharf=7"                                                                                                                                                                                              , "80"                           , "VERY_HIGH"      , "MEDIUM_CONFIDENCE", "Italy"                                , "STATE_ABRUZZO is classified VERY_HIGH because it represents a major, well-exposed carbonate province or documented national concentration. Regional basis: Carbonate successions are widespread through the Alps, Apennines and major islands; alluvial plains and volcanic districts locally reduce direct quarry exposure."                                                                                                , "https://www.isprambiente.gov.it/en/databases/data-base-collection/soil-and-territory/geological-and-geotematics-map|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                 , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ABU_DHABI"             , "400"       , "map_data/state_regions/08_middle_east.txt"      , "building_fishing_wharf=4;building_oil_rig=discoverable"                                                                                                                                                                                        , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "Middle East"                          , "STATE_ABU_DHABI is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: The Arabian platform, Levant and Zagros contain very extensive marine carbonate sequences; major river alluvium and interior sand cover reduce directly accessible outcrop in selected states."                                                             , "https://www.usgs.gov/maps/geologic-map-arabian-peninsula|https://pubs.usgs.gov/publication/ofr97470B|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                                , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ACEH"                  , "547"       , "map_data/state_regions/12_indonesia.txt"        , "building_iron_mine=15;building_sulfur_mine=20;building_logging_camp=14;building_fishing_wharf=8;building_rubber_plantation=discoverable;building_oil_rig=discoverable"                                                                         , "8"                            , "LOW"            , "HIGH_CONFIDENCE"  , "Indonesia and Philippines"            , "STATE_ACEH is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Official Indonesian mapping records broad limestone distribution across the major islands; tectonic and volcanic areas make quality and accessibility variable, so not every island receives the same potential."                                       , "https://geologi.esdm.go.id/storage/publikasi/kcVEQXADi0eq4J94sT1N1Ri8BgnURtxdEFTrvwO7.pdf|https://psg.geologi.esdm.go.id/index.php/layanan-geomap/"                                                                                                                                                                                                                                                                                                               , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ACRE"                  , "665"       , "map_data/state_regions/07_south_america.txt"    , "building_logging_camp=15;building_rubber_plantation=discoverable;building_salt_mine=discoverable"                                                                                                                                              , "8"                            , "LOW"            , "MEDIUM_CONFIDENCE", "Brazil and Southern Cone"             , "STATE_ACRE is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Brazilian and Argentine mapping shows carbonate occurrences within sedimentary basins and folded belts, but large shields, Amazon cover, Pampas sediment and Patagonia make potential uneven."                                                          , "https://rigeo.sgb.gov.br/items/32bb9679-e245-49d8-ba89-3fd9d68b59ea|https://repositorio.segemar.gov.ar/bitstream/handle/308849217/2825/CMIRyG_2766II_SM_Tucuman_M.pdf?isAllowed=y&sequence=1|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                        , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ADANA"                 , "429"       , "map_data/state_regions/08_middle_east.txt"      , "building_coal_mine=44;building_logging_camp=4;building_fishing_wharf=12"                                                                                                                                                                       , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "Anatolia and Caucasus"                , "STATE_ADANA is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Fold belts and plate margins expose extensive Mesozoic and Cenozoic carbonate sequences; high potential is tempered locally by volcanic massifs and narrow alluvial basins."                                                                                    , "https://onegeology.github.io/documentation/using/portal.html|https://pubs.usgs.gov/publication/ofr97470E|https://www.usgs.gov/maps/geologic-map-arabian-peninsula"                                                                                                                                                                                                                                                                                                , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AGRA"                  , "918"       , "map_data/state_regions/10_india.txt"            , "building_logging_camp=6;building_coal_mine=4;building_iron_mine=3"                                                                                                                                                                             , "48"                           , "HIGH"           , "HIGH_CONFIDENCE"  , "India"                                , "STATE_AGRA is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Indian Bureau of Mines state inventories document large cement-grade limestone resources, especially in Rajasthan, Gujarat, central and southern India; major delta and floodplain states are lower."                                                            , "https://ibm.gov.in/writereaddata/files/08062019095529Limestone_2018.pdf|https://ibm.gov.in/writereaddata/files/174963836168495cd990ccdIMYB2022_Volume_III.pdf"                                                                                                                                                                                                                                                                                                    , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AKMOLINSK"             , "448"       , "map_data/state_regions/15_russia.txt"           , "building_iron_mine=16;building_coal_mine=68;building_logging_camp=6"                                                                                                                                                                           , "8"                            , "LOW"            , "LOW_CONFIDENCE"   , "Central Asia and Himalaya"            , "STATE_AKMOLINSK is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Orogenic and sedimentary belts contain substantial carbonate sequences, but state boundaries are coarse and deserts, plateau cover and accessibility introduce high uncertainty."                                                                  , "https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                  , "REVIEW_REQUIRED"                  , "Regional-scale evidence only; targeted geological-survey or deposit-level confirmation is required before editing state resources."
"STATE_AKTOBE"                , "809"       , "map_data/state_regions/15_russia.txt"           , "building_iron_mine=10;building_logging_camp=3;building_oil_rig=discoverable"                                                                                                                                                                   , "8"                            , "LOW"            , "LOW_CONFIDENCE"   , "Central Asia and Himalaya"            , "STATE_AKTOBE is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Orogenic and sedimentary belts contain substantial carbonate sequences, but state boundaries are coarse and deserts, plateau cover and accessibility introduce high uncertainty."                                                                     , "https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                  , "REVIEW_REQUIRED"                  , "Regional-scale evidence only; targeted geological-survey or deposit-level confirmation is required before editing state resources."
"STATE_ALABAMA"               , "292"       , "map_data/state_regions/05_north_america.txt"    , "building_coal_mine=28;building_iron_mine=30;building_lead_mine=24;building_logging_camp=17;building_fishing_wharf=3;building_oil_rig=discoverable"                                                                                             , "48"                           , "HIGH"           , "HIGH_CONFIDENCE"  , "North America"                        , "STATE_ALABAMA is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Limestone and dolomite are widespread across central and eastern North America and major western sedimentary basins; Canadian Shield and young volcanic provinces are substantially lower."                                                                   , "https://www.usgs.gov/publications/natural-aggregates-conterminous-united-states|https://pubs.usgs.gov/bul/b1594/|https://pubs.usgs.gov/bul/1019e/report.pdf|https://geoappext.nrcan.gc.ca/arcgis/rest/services/MMS/GMRC_E/MapServer/0"                                                                                                                                                                                                                            , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALAND"                 , "1021"      , "map_data/state_regions/15_russia.txt"           , "building_logging_camp=2;building_fishing_wharf=2"                                                                                                                                                                                              , "16"                           , "MODEST"         , "MEDIUM_CONFIDENCE", "Scandinavia and North Atlantic"       , "STATE_ALAND is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: Danish chalk and Baltic carbonate islands contrast with widespread Scandinavian crystalline shield and North Atlantic volcanic terrain; Greenland includes carbonate successions but faces severe accessibility constraints."                                         , "https://gemas.eurogeosurveys.org/image/GEMAS_Brochure.pdf|https://www.ni.is/en/resources/publications/maps/geological-maps|https://dataverse.geus.dk/dataverse/geological_maps_greenland%3Bjsessionid%3D151af2eba7d729abaef59babbf5c.proddataverse02?order=asc&page=1&q=&sort=nameSort&types=files|https://eng.geus.dk/media/13271/map1_p01-48.pdf"                                                                                                               , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
