"state_id","source_file","audit_potential","implemented_potential","match_status"
"STATE_ABRUZZO","map_data/state_regions/01_south_europe.txt","80","80","MATCH"
"STATE_ABU_DHABI","map_data/state_regions/08_middle_east.txt","48","48","MATCH"
"STATE_ACEH","map_data/state_regions/12_indonesia.txt","8","8","MATCH"
"STATE_ACRE","map_data/state_regions/07_south_america.txt","8","8","MATCH"
"STATE_ADANA","map_data/state_regions/08_middle_east.txt","48","48","MATCH"
"STATE_AGRA","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_AKMOLINSK","map_data/state_regions/15_russia.txt","8","8","MATCH"
"STATE_AKTOBE","map_data/state_regions/15_russia.txt","8","8","MATCH"
"STATE_ALABAMA","map_data/state_regions/05_north_america.txt","48","48","MATCH"
"STATE_ALAND","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_ALASKA","map_data/state_regions/05_north_america.txt","8","8","MATCH"
"STATE_ALBANIA","map_data/state_regions/01_south_europe.txt","80","80","MATCH"
"STATE_ALBERTA","map_data/state_regions/05_north_america.txt","48","48","MATCH"
"STATE_ALENTEJO","map_data/state_regions/01_south_europe.txt","28","28","MATCH"
"STATE_ALEPPO","map_data/state_regions/08_middle_east.txt","48","48","MATCH"
"STATE_ALGIERS","map_data/state_regions/03_north_africa.txt","48","48","MATCH"
"STATE_ALSACE_LORRAINE","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_ALTAI","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_ALTO_PARAGUAY","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_ALXA","map_data/state_regions/11_east_asia.txt","28","28","MATCH"
"STATE_AL_RIF","map_data/state_regions/03_north_africa.txt","48","48","MATCH"
"STATE_AMAZONAS","map_data/state_regions/07_south_america.txt","8","8","MATCH"
"STATE_AMHARA","map_data/state_regions/04_subsaharan_africa.txt","16","16","MATCH"
"STATE_AMUR","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_ANHALT","map_data/state_regions/00_west_europe.txt","28","28","MATCH"
"STATE_ANKARA","map_data/state_regions/08_middle_east.txt","48","48","MATCH"
"STATE_ANNAM","map_data/state_regions/11_east_asia.txt","28","28","MATCH"
"STATE_ANTIOQUIA","map_data/state_regions/07_south_america.txt","80","80","MATCH"
"STATE_ANTOFAGASTA","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_APULIA","map_data/state_regions/01_south_europe.txt","80","80","MATCH"
"STATE_AQUITAINE","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_ARAGON","map_data/state_regions/01_south_europe.txt","48","48","MATCH"
"STATE_ARAKAN","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_ARAUCANIA","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_AREQUIPA","map_data/state_regions/07_south_america.txt","48","48","MATCH"
"STATE_ARIZONA","map_data/state_regions/05_north_america.txt","28","28","MATCH"
"STATE_ARKANSAS","map_data/state_regions/05_north_america.txt","48","48","MATCH"
"STATE_ARKHANGELSK","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_ARMENIA","map_data/state_regions/09_central_asia.txt","48","48","MATCH"
"STATE_ASSAM","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_ASTRAKHAN","map_data/state_regions/09_central_asia.txt","16","16","MATCH"
"STATE_ASTURIAS","map_data/state_regions/01_south_europe.txt","48","48","MATCH"
"STATE_ATTICA","map_data/state_regions/01_south_europe.txt","48","48","MATCH"
"STATE_AUSTRIA","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_AUVERGNE_LIMOUSIN","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_AWADH","map_data/state_regions/10_india.txt","8","8","MATCH"
"STATE_AYDIN","map_data/state_regions/08_middle_east.txt","48","48","MATCH"
"STATE_AZERBAIJAN","map_data/state_regions/09_central_asia.txt","48","48","MATCH"
"STATE_AZORES","map_data/state_regions/01_south_europe.txt","8","8","MATCH"
"STATE_BADEN","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_BAGHDAD","map_data/state_regions/08_middle_east.txt","16","16","MATCH"
"STATE_BAHAMAS","map_data/state_regions/06_central_america.txt","48","48","MATCH"
"STATE_BAHIA","map_data/state_regions/07_south_america.txt","48","48","MATCH"
"STATE_BAJA_CALIFORNIA","map_data/state_regions/05_north_america.txt","8","8","MATCH"
"STATE_BAJIO","map_data/state_regions/05_north_america.txt","48","48","MATCH"
"STATE_BAJO_PARAGUAY","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_BALEARIC_ISLANDS","map_data/state_regions/01_south_europe.txt","28","28","MATCH"
"STATE_BALKH","map_data/state_regions/09_central_asia.txt","28","28","MATCH"
"STATE_BALUCHISTAN","map_data/state_regions/09_central_asia.txt","16","16","MATCH"
"STATE_BANAT","map_data/state_regions/02_east_europe.txt","16","16","MATCH"
"STATE_BANGKOK","map_data/state_regions/11_east_asia.txt","28","28","MATCH"
"STATE_BASQUE_COUNTRY","map_data/state_regions/01_south_europe.txt","48","48","MATCH"
"STATE_BASRA","map_data/state_regions/08_middle_east.txt","16","16","MATCH"
"STATE_BAS_CONGO","map_data/state_regions/04_subsaharan_africa.txt","16","16","MATCH"
"STATE_BAVARIA","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_BEIJING","map_data/state_regions/11_east_asia.txt","16","16","MATCH"
"STATE_BEIRA","map_data/state_regions/01_south_europe.txt","28","28","MATCH"
"STATE_BEKES","map_data/state_regions/02_east_europe.txt","16","16","MATCH"
"STATE_BENIN","map_data/state_regions/04_subsaharan_africa.txt","16","16","MATCH"
"STATE_BERMUDA","map_data/state_regions/05_north_america.txt","16","16","MATCH"
"STATE_BESSARABIA","map_data/state_regions/02_east_europe.txt","16","16","MATCH"
"STATE_BIHAR","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_BLUE_NILE","map_data/state_regions/03_north_africa.txt","16","16","MATCH"
"STATE_BOHEMIA","map_data/state_regions/00_west_europe.txt","48","48","MATCH"
"STATE_BOLIVAR","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_BOMBAY","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_BORNU","map_data/state_regions/04_subsaharan_africa.txt","8","8","MATCH"
"STATE_BOSNIA","map_data/state_regions/01_south_europe.txt","80","80","MATCH"
"STATE_BOTSWANA","map_data/state_regions/04_subsaharan_africa.txt","8","8","MATCH"
"STATE_BOUGAINVILLE","map_data/state_regions/12_indonesia.txt","8","8","MATCH"
"STATE_BRANDENBURG","map_data/state_regions/00_west_europe.txt","28","28","MATCH"
"STATE_BREST","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_BRITISH_COLUMBIA","map_data/state_regions/05_north_america.txt","16","16","MATCH"
"STATE_BRITTANY","map_data/state_regions/00_west_europe.txt","16","16","MATCH"
"STATE_BRUNSWICK","map_data/state_regions/00_west_europe.txt","28","28","MATCH"
"STATE_BUENOS_AIRES","map_data/state_regions/07_south_america.txt","16","16","MATCH"
"STATE_BUKOVINA","map_data/state_regions/02_east_europe.txt","16","16","MATCH"
"STATE_BULGARIA","map_data/state_regions/01_south_europe.txt","48","48","MATCH"
"STATE_BUNDELKHAND","map_data/state_regions/10_india.txt","48","48","MATCH"
"STATE_BURGUNDY","map_data/state_regions/00_west_europe.txt","80","80","MATCH"
"STATE_BURYATIA","map_data/state_regions/15_russia.txt","16","16","MATCH"
"STATE_BUSAN","map_data/state_regions/11_east_asia.txt","16","16","MATCH"
