state_id,state_region_file,potential,tier,reason,confidence,source_category,action
STATE_SVEALAND,map_data/state_regions/00_west_europe.txt,24,MEDIUM,STATE_SVEALAND: Scandinavian Caledonian and Bergslagen polymetallic copper provinces.,HIGH,NATIONAL_SURVEY_AND_HISTORIC_DISTRICT,ADD_CAPPED_RESOURCE
STATE_GOTALAND,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_GOTALAND: Secondary Scandinavian sulfide districts with game-scale but dispersed copper potential.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_SCANIA,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_SCANIA: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_NORRLAND,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_NORRLAND: Secondary Scandinavian sulfide districts with game-scale but dispersed copper potential.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_GOTLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_GOTLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_JUTLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_JUTLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_ZEALAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ZEALAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_WESTERN_NORWAY,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_WESTERN_NORWAY: Secondary Scandinavian sulfide districts with game-scale but dispersed copper potential.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_NORTHERN_NORWAY,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_NORTHERN_NORWAY: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_EASTERN_NORWAY,map_data/state_regions/00_west_europe.txt,24,MEDIUM,STATE_EASTERN_NORWAY: Scandinavian Caledonian and Bergslagen polymetallic copper provinces.,HIGH,NATIONAL_SURVEY_AND_HISTORIC_DISTRICT,ADD_CAPPED_RESOURCE
STATE_ICELAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ICELAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_GREENLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_GREENLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_HOME_COUNTIES,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_HOME_COUNTIES: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_LANCASHIRE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_LANCASHIRE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_WALES,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_WALES: British and Irish Caledonian or Variscan copper districts of moderate regional scale.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_YORKSHIRE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_YORKSHIRE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_HIGHLANDS,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_HIGHLANDS: British and Irish Caledonian or Variscan copper districts of moderate regional scale.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_MIDLANDS,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_MIDLANDS: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_EAST_ANGLIA,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_EAST_ANGLIA: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_WEST_COUNTRY,map_data/state_regions/00_west_europe.txt,36,HIGH,STATE_WEST_COUNTRY: Cornwall-Devon metallogenic district with major historic copper endowment.,HIGH,HISTORIC_DISTRICT_AND_GLOBAL_ASSESSMENT,ADD_CAPPED_RESOURCE
STATE_LOWLANDS,map_data/state_regions/00_west_europe.txt,8,LOW,STATE_LOWLANDS: Localized British-Irish copper occurrences below the major district tier.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_ULSTER,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ULSTER: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_MUNSTER,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_MUNSTER: British and Irish Caledonian or Variscan copper districts of moderate regional scale.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_LEINSTER,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_LEINSTER: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_CONNAUGHT,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_CONNAUGHT: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_ILE_DE_FRANCE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ILE_DE_FRANCE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_PROVENCE,map_data/state_regions/00_west_europe.txt,8,LOW,STATE_PROVENCE: Smaller French Alpine or Armorican copper occurrences.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_NORMANDY,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_NORMANDY: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_LANGUEDOC,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_LANGUEDOC: French Variscan and Alpine polymetallic belts with localized exploitable copper.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_RHONE,map_data/state_regions/00_west_europe.txt,8,LOW,STATE_RHONE: Smaller French Alpine or Armorican copper occurrences.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_FRENCH_LOW_COUNTRIES,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_FRENCH_LOW_COUNTRIES: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_PICARDY,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_PICARDY: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_ALSACE_LORRAINE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ALSACE_LORRAINE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_POITOU,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_POITOU: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_GUYENNE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_GUYENNE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_AUVERGNE_LIMOUSIN,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_AUVERGNE_LIMOUSIN: French Variscan and Alpine polymetallic belts with localized exploitable copper.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_BRITTANY,map_data/state_regions/00_west_europe.txt,8,LOW,STATE_BRITTANY: Smaller French Alpine or Armorican copper occurrences.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_BURGUNDY,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_BURGUNDY: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_CHAMPAGNE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_CHAMPAGNE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_FRANCHE_COMTE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_FRANCHE_COMTE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_LORRAINE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_LORRAINE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_AQUITAINE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_AQUITAINE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_ORLEANS,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ORLEANS: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_HOLLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_HOLLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_FRIESLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_FRIESLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_GELRE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_GELRE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_WALLONIA,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_WALLONIA: Central European Variscan and Alpine metallogenic zones.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_FLANDERS,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_FLANDERS: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_AUSTRIA,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_AUSTRIA: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_BOHEMIA,map_data/state_regions/00_west_europe.txt,24,MEDIUM,STATE_BOHEMIA: Mansfeld and Bohemian historic copper-polymetallic districts.,HIGH,HISTORIC_DISTRICT,ADD_CAPPED_RESOURCE
STATE_MORAVIA,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_MORAVIA: Central European Variscan and Alpine metallogenic zones.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_STYRIA,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_STYRIA: Central European Variscan and Alpine metallogenic zones.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_TYROL,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_TYROL: Central European Variscan and Alpine metallogenic zones.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_SOUTH_TYROL,map_data/state_regions/00_west_europe.txt,16,MODEST,STATE_SOUTH_TYROL: Central European Variscan and Alpine metallogenic zones.,MEDIUM,NATIONAL_GEOLOGICAL_SURVEY,ADD_CAPPED_RESOURCE
STATE_POMERANIA,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_POMERANIA: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_ELBE,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_ELBE: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
STATE_EAST_SWITZERLAND,map_data/state_regions/00_west_europe.txt,0,NONE,STATE_EAST_SWITZERLAND: global metallogenic screen found no copper province large enough for a separate game-scale potential.,MEDIUM,GLOBAL_ASSESSMENT_NEGATIVE_SCREEN,KEEP_ZERO
