state_id,state_region_file,potential,tier,decision,geological_basis,confidence,source_category,source_url,notes
STATE_SVEALAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_GOTALAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_SCANIA,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_NORRLAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_GOTLAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_JUTLAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_ZEALAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_WESTERN_NORWAY,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_NORTHERN_NORWAY,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_EASTERN_NORWAY,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
STATE_ICELAND,map_data/state_regions/00_west_europe.txt,0,NONE,NO_CANDIDATE,Hors de la ceinture de nitrates naturels de l’Atacama retenue comme économiquement exploitable à l’échelle du jeu.,LOW,GLOBAL_SCREEN,https://pubs.usgs.gov/pp/1188/report.pdf,Aucune ressource nitrate proposée dans cet audit préliminaire.
