"id","family","path","line","invalid_key","expected_type","context","vanilla_exists","fork_definition_exists","legacy_name","modern_name","scope_operation","target_object","expected_scope","actual_scope","root_cause","fork_vs_vanilla","classification","safe_fix","patch_applied","notes"
"NR-001","NON_REGION_DATABASE_OBJECT","events/french_revolution_mod_events.txt","1192","law_per_capita_taxation","law","activate_law","YES","YES","law_per_capita_taxation","law_per_capita_based_taxation","","","","","Legacy law key renamed in current 1.13.9 API.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact current law definition; event semantics preserved."
"NR-002","NON_REGION_DATABASE_OBJECT","events/french_revolution_mod_events.txt","1275","law_per_capita_taxation","law","activate_law","YES","YES","law_per_capita_taxation","law_per_capita_based_taxation","","","","","Legacy law key renamed in current 1.13.9 API.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact current law definition; event semantics preserved."
"NR-003","NON_REGION_DATABASE_OBJECT","events/french_revolution_mod_events.txt","1677","law_per_capita_taxation","law","activate_law","YES","YES","law_per_capita_taxation","law_per_capita_based_taxation","","","","","Legacy law key renamed in current 1.13.9 API.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact current law definition; event semantics preserved."
"NR-004","NON_REGION_DATABASE_OBJECT","events/new_imperialism_events_mod.txt","204","law_charity_hospitals","law","activate_law","YES","YES","law_charity_hospitals","law_charitable_health_system","","","","","Legacy health-law key renamed in current 1.13.9 API.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact current law definition; event semantics preserved."
"NR-005","NON_REGION_DATABASE_OBJECT","events/japan_events/ep2_japan_events_03.txt","31","amendment_frugal_ordinance","amendment","has_amendment/amendment_type comparison","YES","NO","amendment_frugal_ordinance","amendment_frugal_ordinance","","","","","Fork override omits a later vanilla amendment definition while protected Japan scripts retain references.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","ALREADY_ACCOUNTED_FOR","NO","NO","Japan-protected known diagnostic from the canonical hotfix audit; no definition imported in LOG-CLEANUP-12."
"NR-006","NON_REGION_DATABASE_OBJECT","events/japan_events/ep2_tenpo_events.txt","437","amendment_frugal_ordinance","amendment","has_amendment/amendment_type comparison","YES","NO","amendment_frugal_ordinance","amendment_frugal_ordinance","","","","","Fork override omits a later vanilla amendment definition while protected Japan scripts retain references.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","ALREADY_ACCOUNTED_FOR","NO","NO","Japan-protected known diagnostic from the canonical hotfix audit; no definition imported in LOG-CLEANUP-12."
"NR-007","NON_REGION_DATABASE_OBJECT","events/japan_events/ep2_tenpo_events.txt","442","amendment_frugal_ordinance","amendment","has_amendment/amendment_type comparison","YES","NO","amendment_frugal_ordinance","amendment_frugal_ordinance","","","","","Fork override omits a later vanilla amendment definition while protected Japan scripts retain references.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","ALREADY_ACCOUNTED_FOR","NO","NO","Japan-protected known diagnostic from the canonical hotfix audit; no definition imported in LOG-CLEANUP-12."
"NR-008","NON_REGION_DATABASE_OBJECT","events/japan_events/ep2_tenpo_events.txt","446","amendment_frugal_ordinance","amendment","has_amendment/amendment_type comparison","YES","NO","amendment_frugal_ordinance","amendment_frugal_ordinance","","","","","Fork override omits a later vanilla amendment definition while protected Japan scripts retain references.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","ALREADY_ACCOUNTED_FOR","NO","NO","Japan-protected known diagnostic from the canonical hotfix audit; no definition imported in LOG-CLEANUP-12."
"NR-009","NON_REGION_DATABASE_OBJECT","common/scripted_progress_bars/01_mod76_progress_bars.txt","213","law_tenent_farmers","law","has_law","YES","YES","law_tenent_farmers","law_tenant_farmers","","","","","Misspelled tenant-farmers law key.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Spelling-only correction to the existing current law."
"NR-010","NON_REGION_DATABASE_OBJECT","common/history/countries/arg - argentina.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
