"id","script_path","line","raw_message","legacy_region_key","script_context","API_or_trigger","left_scope","expected_object_type","runtime_observed","runtime_occurrences_if_script_system","fork_file","vanilla_homologue","modern_object","migration_rule","classification","safe_fix","patch_applied","notes"
"RGN-001","common/dynamic_country_names/00_dynamic_country_names.txt","1170","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_congo' file location: common/dynamic_country_names/00_dynamic_country_names.txt:1170","region_congo","capital = { region = sr:region_congo }","region comparison","capital state","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_congo_old.","is_in_geographic_region = geographic_region_congo_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-002","common/dynamic_country_names/00_dynamic_country_names.txt","1195","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_zanj' file location: common/dynamic_country_names/00_dynamic_country_names.txt:1195","region_zanj","capital = { region = sr:region_zanj }","region comparison","capital state","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_zanj_old.","is_in_geographic_region = geographic_region_zanj_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-003","common/dynamic_country_names/00_dynamic_country_names.txt","1220","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_niger' file location: common/dynamic_country_names/00_dynamic_country_names.txt:1220","region_niger","capital = { region = sr:region_niger }","region comparison","capital state","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_niger_old.","is_in_geographic_region = geographic_region_niger_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-004","common/dynamic_country_names/00_dynamic_country_names.txt","1221","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_senegal' file location: common/dynamic_country_names/00_dynamic_country_names.txt:1221","region_senegal","capital = { region = sr:region_senegal }","region comparison","capital state","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_senegal_old.","is_in_geographic_region = geographic_region_senegal_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-005","events/dei_breakup.txt","426","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/dei_breakup.txt:426","region_manchuria","region = sr:region_manchuria","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_manchuria_old.","is_in_geographic_region = geographic_region_manchuria_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-006","events/dei_breakup.txt","427","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/dei_breakup.txt:427","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-007","events/krakatoa_events.txt","66","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_ethiopia' file location: events/krakatoa_events.txt:66","region_ethiopia","region = sr:region_ethiopia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_ethiopia_old.","is_in_geographic_region = geographic_region_ethiopia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-008","events/krakatoa_events.txt","70","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_japan' file location: events/krakatoa_events.txt:70","region_japan","region = sr:region_japan","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_japan_old.","is_in_geographic_region = geographic_region_japan_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-009","events/krakatoa_events.txt","72","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_zanj' file location: events/krakatoa_events.txt:72","region_zanj","region = sr:region_zanj","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_zanj_old.","is_in_geographic_region = geographic_region_zanj_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-010","events/krakatoa_events.txt","298","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_ethiopia' file location: events/krakatoa_events.txt:298","region_ethiopia","region = sr:region_ethiopia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_ethiopia_old.","is_in_geographic_region = geographic_region_ethiopia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-011","events/krakatoa_events.txt","302","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_japan' file location: events/krakatoa_events.txt:302","region_japan","region = sr:region_japan","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_japan_old.","is_in_geographic_region = geographic_region_japan_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-012","events/krakatoa_events.txt","304","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_zanj' file location: events/krakatoa_events.txt:304","region_zanj","region = sr:region_zanj","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_zanj_old.","is_in_geographic_region = geographic_region_zanj_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-013","events/major_railways.txt","37","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/major_railways.txt:37","region_east_siberia","sr:region_east_siberia = {","strategic_region_scope","enclosing script scope","current strategic region or geographic iterator","NO","","YES","Exact Victoria 3 1.13.9 file homologue or generated geographic-region iterator.","REMOVED_UNUSED_EAST_SIBERIA_SCOPE","REMOVE_UNUSED_INVALID_SCOPE_BLOCK","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","YES","YES","Structural migration locally proven."
"RGN-014","events/major_railways.txt","40","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/major_railways.txt:40","region_west_siberia","sr:region_west_siberia = {","strategic_region_scope","enclosing script scope","current strategic region or geographic iterator","NO","","YES","Exact Victoria 3 1.13.9 file homologue or generated geographic-region iterator.","sr:region_siberia","LEGACY_STRATEGIC_SCOPE_TO_VANILLA_CURRENT_STRATEGIC_SCOPE","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","YES","YES","Structural migration locally proven."
