family_id,family_description,diagnostic_count,occurrence_count,unique_paths,primary_classification,risk,semantic_rewrite_required,runtime_required,recommended_action,candidate_phase
API_ADD_AMENDMENT,API_ADD_AMENDMENT: PostValidate of effect 'add_amendment' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_ADD_ENACTMENT_MODIFIER,API_ADD_ENACTMENT_MODIFIER: PostValidate of effect 'add_enactment_modifier' returned false,3,3,1,UNKNOWN_REQUIRES_AUDIT,HIGH,NO,YES,FOCUSED_STATIC_AND_RUNTIME_AUDIT,LATER_LOG_CLEANUP_ATTRIBUTION_AUDIT
API_ADD_JOURNAL_ENTRY,API_ADD_JOURNAL_ENTRY: PostValidate of effect 'add_journal_entry' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_ADD_MODIFIER,API_ADD_MODIFIER: Unexpected token: add_modifier,2,2,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_ADD_MODIFIER,API_ADD_MODIFIER: PostValidate of effect 'add_modifier' returned false,2,2,1,UNKNOWN_REQUIRES_AUDIT,HIGH,NO,YES,FOCUSED_STATIC_AND_RUNTIME_AUDIT,LATER_LOG_CLEANUP_ATTRIBUTION_AUDIT
API_COUNTRY_CONVOYS_CAPACITY_MULT,"API_COUNTRY_CONVOYS_CAPACITY_MULT: Unknown modifier type: country_convoys_capacity_mult. It is either invalid, or a potential dynamic modifier type definition missing from the database.: country_convoys_capacity_mult",1,1,1,FORK_ATTRIBUTABLE_FIXABLE,LOW,NO,YES,AUDIT_THEN_APPLY_BOUNDED_FIX,LOG-CLEANUP-2-CONVOYS-CAPACITY-MODIFIER
API_COUNTRY_NAVY_UNIT_TYPE_FRACTION,API_COUNTRY_NAVY_UNIT_TYPE_FRACTION: Unknown trigger type: country_navy_unit_type_fraction,6,6,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_CREATE_BUILDING,API_CREATE_BUILDING: PostValidate of effect 'create_building' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_CREATE_CHARACTER,API_CREATE_CHARACTER: PostValidate of effect 'create_character' returned false,2,2,1,FORK_ATTRIBUTABLE_FIXABLE,LOW,NO,YES,AUDIT_THEN_APPLY_BOUNDED_FIX,LATER_LOG_CLEANUP_BOUNDED_API
API_CREATE_CHARACTER,API_CREATE_CHARACTER: PostValidate of effect 'create_character' returned false,3,3,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,DEFER_TO_SEMANTIC_DESIGN_REVIEW,LATER_LOG_CLEANUP_SEMANTIC_REVIEW
API_CUSTOM_TOOLTIP,API_CUSTOM_TOOLTIP: PostValidate of trigger 'custom_tooltip' returned false,3,3,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_FORMATION_NAVY_UNIT_TYPE_FRACTION,API_FORMATION_NAVY_UNIT_TYPE_FRACTION: Unknown trigger type: formation_navy_unit_type_fraction,10,10,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_AMENDMENT,API_HAS_AMENDMENT: PostValidate of trigger 'has_amendment' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
