family_id,script_path,baseline_line,legacy_form,replacement_form,vanilla_proof,scope_match,semantic_match,risk,decision,patched,runtime_before,runtime_after,notes
LEGACY_LAW_ENACTMENT_MODIFIER,common/amendments/00_amendments_content_04.txt,13,country_law_enactment_time_mult = 0.10,country_law_enactment_speed_mult = -0.10,"Vanilla 1.13.9 common/amendments/00_amendments_content_04.txt:13 exact object and value migration",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Time penalty becomes equal-magnitude negative speed modifier."
LEGACY_LAW_ENACTMENT_MODIFIER,common/amendments/00_amendments_content_04.txt,66,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Vanilla 1.13.9 common/amendments/00_amendments_content_04.txt:66 exact object and value migration",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Time penalty becomes equal-magnitude negative speed modifier."
LEGACY_LAW_ENACTMENT_MODIFIER,common/amendments/00_amendments_historical_04.txt,336,country_law_enactment_time_mult = 0.20,country_law_enactment_speed_mult = -0.20,"Vanilla 1.13.9 common/amendments/00_amendments_historical_04.txt:336 exact object and value migration",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Time penalty becomes equal-magnitude negative speed modifier."
LEGACY_LAW_ENACTMENT_MODIFIER,common/amendments/00_amendments_modded_76.txt,119,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Exact 1.13.9 amendment homologs prove common mapping new_value = -old_value; modifier registered in common/modifier_type_definitions/00_modifier_types.txt:1110",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Custom amendment preserves country scope and slower-enactment penalty."
LEGACY_LAW_ENACTMENT_MODIFIER,common/laws/00_inject_laws.txt,3,country_law_enactment_time_mult = -0.10,country_law_enactment_speed_mult = 0.10,"Exact 1.13.9 amendment homologs prove common mapping new_value = -old_value; positive speed examples in vanilla legitimacy and static modifiers",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Old reduced time remains a favorable enactment-speed bonus."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,16,country_law_enactment_time_mult = -0.45,country_law_enactment_speed_mult = 0.45,"Registered country percent modifier plus vanilla positive speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"more_reforms_needed_mod remains a strong favorable speed bonus."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,32,country_law_enactment_time_mult = -0.25,country_law_enactment_speed_mult = 0.25,"Registered country percent modifier plus vanilla positive speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"cooperative_mod remains a favorable speed bonus."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,120,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Registered country percent modifier plus vanilla negative speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"against_reform_mod remains an enactment-speed penalty."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,324,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Registered country percent modifier plus vanilla negative speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"plc_liberum_veto remains an enactment-speed penalty."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,429,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Registered country percent modifier plus vanilla negative speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"modifier_squables_for_power_mod remains an enactment-speed penalty."
LEGACY_LAW_ENACTMENT_MODIFIER,common/static_modifiers/76mod_modifiers.txt,435,country_law_enactment_time_mult = 0.25,country_law_enactment_speed_mult = -0.25,"Registered country percent modifier plus vanilla negative speed modifiers; exact amendment migration proves sign inversion",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"modifier_young_heirs_zand_mod remains an enactment-speed penalty."
API_HAS_TECHNOLOGY_RESEARCHED,common/journal_entries/00_player_objectives_hegemon.txt,158,has_technology_researched = dreadnought,has_technology_researched = dreadnought_tech,"Vanilla 1.13.9 common/journal_entries/00_player_objectives_hegemon.txt:164 exact journal-entry homolog",YES,YES,LOW,PROVEN_BOUNDED_FIX,YES,1,0,"Trigger remains unchanged; only the removed technology database key is migrated."
API_CREATE_CHARACTER,events/agitators_events/dreyfus_events.txt,84,"create_character template = canonic_dreyfus_character_template",NONE,"Vanilla 1.13.9 event uses the same create_character syntax; fresh log identifies Invalid HQ region_france in common/character_templates/dreyfus_template.txt, which is outside phase scope",YES,NO,LOW,NO_SAFE_ATOMIC_FIX,NO,1,1,"Target block is already syntax-homologous; dependency repair requires an unauthorized template file."
API_CREATE_CHARACTER,events/agitators_events/dreyfus_events.txt,244,"create_character template = canonic_esterhazy_character_template",NONE,"Vanilla 1.13.9 event uses the same create_character syntax; fresh log identifies Invalid HQ region_france in common/character_templates/dreyfus_template.txt, which is outside phase scope",YES,NO,LOW,NO_SAFE_ATOMIC_FIX,NO,1,1,"Target block is already syntax-homologous; dependency repair requires an unauthorized template file."
