generation,source_log,severity,diagnostic_type,normalized_message,raw_message,script_path,line,column,context,count,first_occurrence,last_occurrence,fork_present,vanilla_present,same_as_vanilla,custom_fork_file,override,historical_6a28_match,comparison_status,primary_classification,family_id,risk,runtime_required,notes
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 358
Unknown trigger type: has_port, near line: 360"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 360",common/ai_strategies/00_default_strategy.txt,358,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_NEW,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,New locations in the existing has_port semantic family; the correct 1.13 country/state-scoped replacement requires an explicit scope decision.
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 358
Unknown trigger type: has_port, near line: 360"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 360",common/ai_strategies/00_default_strategy.txt,360,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_NEW,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,New locations in the existing has_port semantic family; the correct 1.13 country/state-scoped replacement requires an explicit scope decision.
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 1412"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 1412",common/ai_strategies/00_default_strategy.txt,1412,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4355"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4357",common/ai_strategies/00_default_strategy.txt,4357,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4367"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4369",common/ai_strategies/00_default_strategy.txt,4369,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4376"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4378",common/ai_strategies/00_default_strategy.txt,4378,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unknown trigger type: has_port,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unknown trigger type: has_port, near line: 4385"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4387",common/ai_strategies/00_default_strategy.txt,4387,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,API_HAS_PORT,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unexpected token: region_caucasus,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_caucasus, near line: 4515"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4525",common/ai_strategies/00_default_strategy.txt,4525,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unexpected token: region_oceania,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_oceania, near line: 4526"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4547",common/ai_strategies/00_default_strategy.txt,4547,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
release_2.3.0_20260814_211241,debug.log,ERROR,PARSER,Unexpected token: region_japan,"[21:17:13][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_japan, near line: 4548"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4557",common/ai_strategies/00_default_strategy.txt,4557,,,1,2026-08-14T21:17:13+02:00,2026-08-14T21:17:13+02:00,YES,YES,NO,NO,YES,YES,CURRENT_EXACT_LOG_CLEANUP_1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,SEMANTIC,YES,"Fresh recurrence plus fork/vanilla evidence still requires an API, scope, or content-semantics decision; no safe mechanical substitution is established here."
