path,category,status,authoritative,commit_action,notes
"docs/README.md","navigation","READY","true","STAGE","General documentation entry point updated by DOCS-PREPATCH-1"
"docs/reports/INDEX.md","navigation","READY","true","STAGE","Report index links cleanup release and research sections"
"docs/reports/README.md","navigation","READY","true","STAGE","Report-family entry point"
"docs/reports/cleanup/README.md","navigation","READY","true","STAGE","Cleanup phase index updated for CLEANUP-1C.1"
"docs/reports/cleanup/CLEANUP1C1_MARATH_NAVAL_CREW_DIAGNOSTIC.md","historical_diagnostic","HISTORICAL_DIAGNOSTIC_SUPPLEMENT","false","STAGE","Renamed supplement; CLEANUP-1D and CLEANUP-1E remain final authorities"
"docs/reports/cleanup/CLEANUP1D_MARATH_NAVAL_ADMIN_CORRECTION.md","canonical_correction","AUTHORITATIVE","true","NO_CHANGE_REFERENCE","Final Maratha correction authority"
"docs/reports/cleanup/CLEANUP1E_MARATH_FINAL_ACCEPTANCE.md","canonical_closure","AUTHORITATIVE","true","NO_CHANGE_REFERENCE","Final Maratha runtime acceptance authority"
"docs/reports/cleanup/CLEANUP2B1_MAJOR_1776_RULER_RECONSTRUCTION.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2B2_EUROPE_1776_RULER_RECONSTRUCTION.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2C0_COMPLETE_NON_EUROPE_ACTIVE_COUNTRY_AUDIT.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2C1B_RUNTIME_NAMES_TITLES_AND_CHARTERED_COMPANIES_HOTFIX.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2C1C_CHARTERED_COMPANY_TIBET_AND_TITLE_DUPLICATION_HOTFIX.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2D0_WORLD_MILITARY_NAVAL_1776_BASELINE_AUDIT.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2D2_V3_HISTORICAL_CONVERSION_AND_GLOBAL_BALANCE_MODEL.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2D3A_ENGINE_BASELINE_AND_DEFINES_REPAIR.md","historical_report","REFERENCE_UPDATED","true","STAGE","Maratha diagnostic filename updated"
"docs/reports/cleanup/CLEANUP2B3_COMPLETE_EUROPEAN_HISTORICAL_RECONSTRUCTION.md","runtime_closure","READY","true","STAGE","Keep audited final runtime evidence modification"
"docs/reports/hotfix/README.md","navigation","READY","true","STAGE","Clarifies canonical _index role"
"docs/reports/hotfix/global_script/6A01_6A09/HOTFIX_6A9R_OTTOMAN_TANZIMAT_1776_ENTRY_CHAIN_AUDIT.md","historical_report","HASH_CORRECTED","true","STAGE","One malformed historical hash character corrected from C3DD to C3CD"
"docs/reports/hotfix/_index/army.md","redundant_leftover","REMOVED","false","NONE_REMOVED","Untracked redundant note; authority is runtime/military/army.md"
"docs/reports/hotfix/runtime/military/army.md","canonical_authority","AUTHORITATIVE","true","NO_CHANGE_REFERENCE","Canonical military audit retained"
"docs/reports/hotfix/_index/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","redundant_leftover","REMOVED","false","NONE_REMOVED","Untracked semantic duplicate removed"
"docs/reports/hotfix/global_script/6A01_6A09/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","canonical_authority","AUTHORITATIVE","true","NO_CHANGE_REFERENCE","Canonical 23-record DEI matrix retained"
"docs/reports/release/README.md","navigation","READY","true","STAGE","Release documentation index"
"docs/reports/release/DOCS_PREPATCH1_DOCUMENTATION_CLEANUP_AUDIT.md","audit","HISTORICAL_PHASE_REPORT","true","STAGE","DOCS-PREPATCH-1 audit preserved as historical evidence"
"docs/reports/release/DOCS_PREPATCH1_LEFTOVER_FILE_DECISIONS.csv","audit_matrix","HISTORICAL_PHASE_MATRIX","true","STAGE","Original 11-decision matrix preserved"
"docs/reports/release/DOCS_PREPATCH2_REVIEW_QUEUE_RESOLUTION.md","freeze_report","FINAL","true","STAGE","Final review resolution and staging plan"
"docs/reports/release/DOCS_PREPATCH2_FINAL_DOCUMENTATION_MANIFEST.csv","freeze_manifest","FINAL","true","STAGE","Exhaustive DOCS-PREPATCH-1/2 manifest"
"docs/research/README.md","navigation","READY","true","STAGE","Research entry point links final freeze report"
"docs/research/economy/README.md","navigation","READY","true","STAGE","Economic research index"
"docs/research/military/README.md","navigation","READY","true","STAGE","Military research index"
"docs/research/technology/README.md","methodology_notice","READY","true","STAGE","Separates usable design research from preliminary unverified material"
"docs/research/technology/TECH_TREE_BUILDING_AND_PRODUCTION_CANDIDATES.csv","design_research","TRUSTED_DESIGN_RESEARCH","false","STAGE","Future design matrix; not release gameplay"
"docs/research/technology/TECH_TREE_INDUSTRIAL_CHAINS.md","structural_research","DECONTAMINATED_PROVISIONAL","false","STAGE","Exact clean SHA-256 981A0C119D02C5A5F795C41800B678DDBEC9AD91890CDE4588DF36A98D011799"
"docs/research/technology/TECH_TREE_VICTORIA3_GAP_ANALYSIS.md","design_research","TRUSTED_DESIGN_RESEARCH","false","STAGE","Dated gap-analysis snapshot; not release gameplay"
"docs/research/technology/TECH_TREE_RESOURCE_CANDIDATES.csv","design_research","TRUSTED_DESIGN_RESEARCH","false","STAGE","Future design matrix; not release gameplay"
"docs/research/technology/TECH_TREE_INDUSTRIAL_HISTORY_DEEP_RESEARCH.md","preliminary_research","UNVERIFIED","false","STAGE_AS_UNVERIFIED","Preserved in place; citations require future Tech Tree review"
"docs/research/technology/TECH_TREE_INDUSTRIAL_INNOVATIONS_DATABASE.csv","preliminary_research","UNVERIFIED","false","STAGE_AS_UNVERIFIED","Preserved in place; dates origins and source mappings require future review"
"docs/research/technology/TECH_TREE_RESEARCH_BIBLIOGRAPHY.md","preliminary_research","UNVERIFIED","false","STAGE_AS_UNVERIFIED","Preserved in place; not an authoritative historical bibliography"
