vanilla_tech,vanilla_unlock,unlock_type,relationship_type,target_integrated_tech,reason,risk,status,source_file,source_context
academia,state_education_access_wealth_add,modifier,MODIFIER,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,222: technology modifier block
academia,empiricism,technology,PREREQUISITE,codified_practical_knowledge,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,367: academia
academia,medical_degrees,technology,PREREQUISITE,medical_degrees,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,326: academia
academia,romanticism,technology,PREREQUISITE,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,134: academia
academia,building_university,buildings,UNLOCK,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/07_government.txt,44: academia
academia,je_british_dictate_universities,journal_entries,UNLOCK,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/04_india_british_dictates.txt,"348: icon = ""gfx/interface/icons/invention_icons/academia.dds"""
academia,law_private_schools,laws,UNLOCK,organized_elementary_schooling,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_education_system.txt,164: academia
academia,law_terakoya,laws,UNLOCK,institutionalized_scientific_exchange,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_education_system.txt,274: academia
admiralty,paddle_steamer,technology,PREREQUISITE,paddle_steamer,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,204: admiralty
admiralty,power_of_the_purse,technology,PREREQUISITE,state_dockyard_systems,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,403: admiralty
admiralty,building_naval_administration,buildings,UNLOCK,state_dockyard_systems,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/buildings/05_military.txt,106: admiralty
army_reserves,country_general_rank_impact_mult,modifier,MODIFIER,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,158: technology modifier block
army_reserves,state_conscription_rate_mult,modifier,MODIFIER,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,158: technology modifier block
army_reserves,general_staff,technology,PREREQUISITE,general_staff,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,358: army_reserves
army_reserves,logistics,technology,PREREQUISITE,logistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,254: army_reserves
army_reserves,mobilization_option_extra_supplies,mobilization_options,UNLOCK,corps_organization,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/mobilization_options/00_mobilization_option.txt,43: army_reserves
artillery,napoleonic_warfare,technology,PREREQUISITE,corps_organization,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,126: artillery
artillery,shell_gun,technology,PREREQUISITE,shell_gun,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/20_military.txt,305: artillery
artillery,combat_unit_type_cannon_artillery,combat_unit_types,UNLOCK,standardized_field_artillery,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/combat_unit_types/00_land_combat_unit_types.txt,406: unlocking_technologies = { artillery }
artillery,pm_cannons,production_methods,UNLOCK,standardized_field_artillery,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/01_industry.txt,2427: artillery
banking,country_loan_interest_rate_add,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,202: technology modifier block
banking,country_minting_mult,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,202: technology modifier block
banking,state_max_trade_advantage_from_capacity_add,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,202: technology modifier block
banking,central_banking,technology,PREREQUISITE,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,604: banking
banking,joint_stock_companies,technology,PREREQUISITE,stock_exchange,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,623: banking
central_archives,on_researched,scripted_effect,EVENT_EFFECT,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/technology/technologies/30_society.txt,537: on_researched
central_archives,country_institution_home_affairs_max_investment_add,modifier,MODIFIER,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,537: technology modifier block
central_archives,state_incorporation_speed_mult,modifier,MODIFIER,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,537: technology modifier block
central_archives,state_tax_capacity_add,modifier,MODIFIER,systematic_administrative_statistics,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,537: technology modifier block
central_archives,identification_documents,technology,PREREQUISITE,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,1315: central_archives
central_archives,je_technocracy,journal_entries,UNLOCK,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,MEDIUM,ASSIGNED,common/journal_entries/05_technocracy.txt,7: has_technology_researched = central_archives
central_archives,law_secret_police,laws,UNLOCK,professional_civil_policing,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_internal_security.txt,80: central_archives
central_archives,law_technocracy,laws,UNLOCK,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/laws/00_distribution_of_power.txt,274: central_archives
central_archives,pm_vertical_filing_cabinets,production_methods,UNLOCK,central_statistical_offices,Transferred to the closest integrated descendant of the split source.,HIGH,ASSIGNED,common/production_methods/07_government.txt,58: central_archives
central_banking,country_loan_interest_rate_add,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,592: technology modifier block
central_banking,country_minting_mult,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,592: technology modifier block
central_banking,state_max_trade_advantage_from_capacity_add,modifier,MODIFIER,institutionalized_public_credit,Transferred to the closest integrated descendant of the split source.,LOW,ASSIGNED,common/technology/technologies/30_society.txt,592: technology modifier block
