technology_id,era,category,prerequisite_count,prerequisites,dependent_count,dependents,connected_component,component_size,minimum_depth,source_status,temporary_status,root_in_category,terminal_in_category,isolated_in_category,same_category_degree,hub_degree_5_plus,articulation_point,bridge_count,bridges,large_single_bridge_count,large_single_bridges,long_edges_span_2,long_edges_span_3,long_edges_span_4_plus,long_edges_span_6,maximum_era_gap,cross_category_prerequisite_count,era_inversion_count,non_layout_sha256
enclosed_dock_systems,era_1,military,0,,1,ship_classification_surveying,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,1,NO,NO,1,enclosed_dock_systems--ship_classification_surveying:1,0,,0,0,0,0,0,0,0,e30a4ea273bb229a9825ba011eeba9b84368eab2051dbcc4a248f6c76b33f5f2
scientific_fortification_siegecraft,era_1,military,0,,2,permanent_engineer_services;regulated_small_arms,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,0,0,2f41b05a5c00cd2d59dce1187bb9cc239bfae5ec2f11b22892bb1fd91ae7b871
state_dockyard_systems,era_1,military,1,institutionalized_public_credit,2,mechanized_naval_dockyards;scientific_naval_architecture,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,2,NO,NO,0,,0,,0,0,0,0,0,1,0,3e871c0967ca75f994c32137cc2dd2643436395ff6d64b8ff90c11f82cf7ba45
regulated_small_arms,era_2,military,1,scientific_fortification_siegecraft,2,armament_standardization_inspection;light_infantry_tactics,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,8560504072d41f394f1385905dedb67cfce4867d59b65b79eccc4c0d4f0ad740
light_infantry_tactics,era_3,military,1,regulated_small_arms,1,rifling,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,1250e1445539f6321176bc6dad1acaa191065988c9f5377ec2228655f30e52fc
marine_chronometry,era_3,military,0,,1,hydrographic_surveying,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,1,NO,NO,1,hydrographic_surveying--marine_chronometry:1,0,,0,0,0,0,0,0,0,172fd50a7f09f758cff993225b6a22c6792435bc06217a61b85c662af2a80c14
permanent_military_hospitals,era_3,military,1,medical_degrees,1,battlefield_evacuation,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,1,NO,NO,1,battlefield_evacuation--permanent_military_hospitals:1,0,,0,0,0,0,0,1,0,9b2b74979d90ba9aed0b7c8ad06613dadb6fd5facc49ce6e7ab8ec08fdd2324d
scientific_naval_architecture,era_3,military,1,state_dockyard_systems,7,copper_sheathing;diagonal_ship_framing;iron_hull_construction;mechanized_naval_dockyards;paddle_steamer;shell_gun;standardized_naval_signals,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,8,YES,YES,3,copper_sheathing--scientific_naval_architecture:1;diagonal_ship_framing--scientific_naval_architecture:1;scientific_naval_architecture--standardized_naval_signals:1,0,,1,0,0,0,2,0,0,37c459111109fd1fee83236b26a73e3e39d3184a0eb2c031ae85bf99a629fe6e
ship_classification_surveying,era_3,military,1,enclosed_dock_systems,1,maritime_safety_standards,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,2,NO,YES,2,enclosed_dock_systems--ship_classification_surveying:1;maritime_safety_standards--ship_classification_surveying:2,0,,1,0,0,0,2,0,0,f857645b3819608698841a7079164bd5a663cd6b1d6677299175c449980dc59c
standardized_field_artillery,era_3,military,0,,5,armament_standardization_inspection;explosive_field_ammunition;horse_artillery;precision_boring;shell_gun,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,4,NO,NO,0,,0,,0,0,0,0,0,0,0,4fad82e97c456fffce71274f4572f1c05ea2028162046660de0344ed9aace6b2
armament_standardization_inspection,era_4,military,3,regulated_small_arms;standardized_field_artillery;precision_boring,3,percussion_cap;rifling;standardized_military_rockets,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,5,YES,NO,0,,0,,1,0,0,0,2,1,0,c367801aeccc0ad20e9b1cca59bc4ab22e1fe33199f865fc8df8ef6079012b23
copper_sheathing,era_4,military,1,scientific_naval_architecture,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,1,NO,NO,1,copper_sheathing--scientific_naval_architecture:1,0,,0,0,0,0,1,0,0,e0d2ad4457305363f385f86dcef38e5b715fbfe20b0c1f089d853f69baaf5c95
horse_artillery,era_4,military,1,standardized_field_artillery,1,corps_organization,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,c9f717788f4d9a8fe1a3d70df14c5b9d82d6a95b4993768ec448979f2d079217
military_topographic_surveying,era_4,military,1,permanent_engineer_services,2,general_staff;hydrographic_surveying,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,YES,1,hydrographic_surveying--military_topographic_surveying:6,1,hydrographic_surveying--military_topographic_surveying:6,0,0,0,0,0,0,0,558aa3a13d5a23004299b74fe05a36ba456c5f787df55bed9cee91fede6deef2
mysorean_iron_cased_rocketry,era_4,military,0,,0,,military-C03,1,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,YES,YES,0,NO,NO,0,,0,,0,0,0,0,0,0,0,261a2fac92cad9117348f3777d97827b7023ed3711f66e2882f82671024196d7
permanent_engineer_services,era_4,military,1,scientific_fortification_siegecraft,4,casemated_fortifications;corps_organization;field_engineering_pontoon_trains;military_topographic_surveying,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,5,YES,YES,1,casemated_fortifications--permanent_engineer_services:1,0,,0,1,0,0,3,0,0,6e39146677be2acd9c436ac2248bcd9be2f8f115ea848ba2f59ba8921de2613f
battlefield_evacuation,era_5,military,2,permanent_military_hospitals;logistics,0,,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,2,NO,YES,2,battlefield_evacuation--logistics:2;battlefield_evacuation--permanent_military_hospitals:1,0,,1,0,0,0,2,0,0,fb93d7edcb785ad8269a06c9d3df028c25b7227ba21db8ff39bfcb5120b003de
casemated_fortifications,era_5,military,1,permanent_engineer_services,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,1,NO,NO,1,casemated_fortifications--permanent_engineer_services:1,0,,0,0,0,0,1,0,0,f0eb3d40801e8eb9341ecad49846877f35d7983c9aab280090cd034429588229
corps_organization,era_5,military,2,horse_artillery;permanent_engineer_services,1,general_staff,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,0,0,0,0,1,0,0,e9b630821ca4831bc874425e9305f81af7a86306d5e3d644e198066129c49f05
diagonal_ship_framing,era_5,military,1,scientific_naval_architecture,0,,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,1,NO,NO,1,diagonal_ship_framing--scientific_naval_architecture:1,0,,1,0,0,0,2,0,0,e93dce3aca42ff11dab4ab137aa566106c22a402fac09584b7e1b586e47638ac
explosive_field_ammunition,era_5,military,1,standardized_field_artillery,1,standardized_military_rockets,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,2,NO,NO,0,,0,,1,0,0,0,2,0,0,7c43d939a046d5aab1eb83bfda82bf3dd70c2567f5327523f218f0735b5df81f
field_engineering_pontoon_trains,era_5,military,2,permanent_engineer_services;logistics,0,,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,YES,NO,2,NO,NO,0,,0,,0,0,0,0,1,0,0,7d2f1bcff5c8bdc812827f09dbd77e44da5b1fded6621b54d8e846e235d1f85d
hydrographic_surveying,era_5,military,2,marine_chronometry;military_topographic_surveying,2,maritime_safety_standards;modern_lighthouse_optics,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,4,NO,YES,4,hydrographic_surveying--marine_chronometry:1;hydrographic_surveying--maritime_safety_standards:3;hydrographic_surveying--military_topographic_surveying:6;hydrographic_surveying--modern_lighthouse_optics:1,2,hydrographic_surveying--maritime_safety_standards:3;hydrographic_surveying--military_topographic_surveying:6,1,0,0,0,2,0,0,0d573757d83974ce3735e2895354d94cf18490d5a4916025d4ba091adbc9fb2e
logistics,era_5,military,1,systematic_administrative_statistics,6,battlefield_evacuation;electric_telegraph;enlistment_offices;field_engineering_pontoon_trains;general_staff;triage,military-C01,86,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,NO,NO,6,YES,YES,2,battlefield_evacuation--logistics:2;logistics--triage:2,0,,0,1,0,0,3,1,0,74cd7855807c5cab6ee0780ebd52a65d21adb9df05bf55796c73fc2ed4b89ad8
mechanized_naval_dockyards,era_5,military,4,scientific_naval_architecture;state_dockyard_systems;mechanical_tools;rotative_steam_power,1,iron_hull_construction,military-C01,86,1,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,3,NO,NO,0,,0,,1,0,1,0,4,2,0,49bb009b3025c5d8eef95e5957b715b6712b34f98da06a37529215458ab1b6f5
military_veterinary_services,era_5,military,1,veterinary_science,0,,military-C02,1,0,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,YES,YES,YES,0,NO,NO,0,,0,,1,0,0,0,2,1,0,7cdd163eecc040a9906c1e7f5fbab4b1808dbe9af76e79f2bae8582698cbc1ce
paddle_steamer,era_5,military,2,scientific_naval_architecture;rotative_steam_power,1,screw_frigate,military-C01,86,2,CUSTOM_PROTECTED,PROTECTED_TECH3A_BASELINE,NO,NO,NO,2,NO,NO,0,,0,,1,0,0,0,2,1,0,cd436536ecb278726205c6fa89067d56522bdb35875ebaadcc94fb32b5d87b9b
