tech_id,branch,era,action,english_current,english_current_chars,english_proposed,english_proposed_chars,french_current,french_current_chars,french_proposed,french_proposed_chars,semantic_note,source_commit
shaft_mining,Production,I,KEEP,Shaft Mining,12,Shaft Mining,12,Puits de mine,13,Puits de mine,13,,e59685d60fd784f99fb64b8e16321524e5350880
coke_smelting,Production,I,KEEP,Coke Smelting,13,Coke Smelting,13,Fonte au coke,13,Fonte au coke,13,,e59685d60fd784f99fb64b8e16321524e5350880
atmospheric_engine,Production,I,KEEP,Atmospheric Engine,18,Atmospheric Engine,18,Pompe à feu,11,Pompe à feu,11,,e59685d60fd784f99fb64b8e16321524e5350880
improved_husbandry,Production,I,KEEP,Improved Husbandry,18,Improved Husbandry,18,Agriculture améliorée,21,Agriculture améliorée,21,,e59685d60fd784f99fb64b8e16321524e5350880
improved_agricultural_implements,Production,II,SHORTEN_BOTH,Improved Agricultural Implements,32,Improved Farm Tools,19,Outils agricoles améliorés,26,Outils agricoles,16,,e59685d60fd784f99fb64b8e16321524e5350880
turnpike_road_networks,Production,II,SHORTEN_FR,Turnpike Road Networks,22,Turnpike Road Networks,22,Réseaux de routes à péage,25,Routes à péage,14,,e59685d60fd784f99fb64b8e16321524e5350880
industrial_acids,Production,II,KEEP,Industrial Acids,16,Industrial Acids,16,Acides industriels,18,Acides industriels,18,,e59685d60fd784f99fb64b8e16321524e5350880
advanced_crop_rotations,Production,III,SHORTEN_FR,Advanced Crop Rotations,23,Advanced Crop Rotations,23,Rotations culturales avancées,29,Rotations culturales,20,,e59685d60fd784f99fb64b8e16321524e5350880
selective_breeding,Production,III,KEEP,Selective Breeding,18,Selective Breeding,18,Élevage sélectif,16,Élevage sélectif,16,,e59685d60fd784f99fb64b8e16321524e5350880
industrial_canals,Production,III,KEEP,Industrial Canals,17,Industrial Canals,17,Canaux industriels,18,Canaux industriels,18,,e59685d60fd784f99fb64b8e16321524e5350880
mechanized_spinning,Production,III,KEEP,Mechanized Spinning,19,Mechanized Spinning,19,Filature mécanisée,18,Filature mécanisée,18,,e59685d60fd784f99fb64b8e16321524e5350880
applied_mineralogy,Production,III,KEEP,Applied Mineralogy,18,Applied Mineralogy,18,Minéralogie appliquée,21,Minéralogie appliquée,21,,e59685d60fd784f99fb64b8e16321524e5350880
industrial_ceramics,Production,III,KEEP,Industrial Ceramics,19,Industrial Ceramics,19,Céramique industrielle,22,Céramique industrielle,22,,e59685d60fd784f99fb64b8e16321524e5350880
precision_boring,Production,IV,KEEP,Precision Boring,16,Precision Boring,16,Alésage de précision,20,Alésage de précision,20,,e59685d60fd784f99fb64b8e16321524e5350880
condensing_steam_engines,Production,IV,SHORTEN_FR,Condensing Steam Engines,24,Condensing Steam Engines,24,Machines à vapeur à condensation,32,Vapeur à condensation,21,,e59685d60fd784f99fb64b8e16321524e5350880
rotative_steam_power,Production,IV,SHORTEN_FR,Rotative Steam Power,20,Rotative Steam Power,20,Force motrice à vapeur rotative,31,Vapeur rotative,15,,e59685d60fd784f99fb64b8e16321524e5350880
advanced_spinning,Production,IV,KEEP,Advanced Spinning,17,Advanced Spinning,17,Filature avancée,16,Filature avancée,16,,e59685d60fd784f99fb64b8e16321524e5350880
puddling_and_rolling,Production,IV,KEEP,Puddling and Rolling,20,Puddling and Rolling,20,Puddlage et laminage,20,Puddlage et laminage,20,,e59685d60fd784f99fb64b8e16321524e5350880
deep_mine_engineering,Production,IV,SHORTEN_FR,Deep Mine Engineering,21,Deep Mine Engineering,21,Ingénierie des mines profondes,30,Mines profondes,15,,e59685d60fd784f99fb64b8e16321524e5350880
threshing_machine,Production,IV,KEEP,Threshing Machines,18,Threshing Machines,18,Batteuse,8,Batteuse,8,,e59685d60fd784f99fb64b8e16321524e5350880
chemical_bleaching,Production,IV,KEEP,Chemical Bleaching,18,Chemical Bleaching,18,Blanchiment optique,19,Blanchiment optique,19,,e59685d60fd784f99fb64b8e16321524e5350880
cotton_gin,Production,IV,KEEP,Cotton Gin,10,Cotton Gin,10,Égreneuse à coton,17,Égreneuse à coton,17,,e59685d60fd784f99fb64b8e16321524e5350880
automated_flour_milling,Production,IV,KEEP,Automated Flour Milling,23,Automated Flour Milling,23,Meunerie automatisée,20,Meunerie automatisée,20,,e59685d60fd784f99fb64b8e16321524e5350880
mechanical_tools,Production,V,KEEP,Mechanical Tools,16,Mechanical Tools,16,Outils mécaniques,17,Outils mécaniques,17,,e59685d60fd784f99fb64b8e16321524e5350880
