tech_id,name_en,name_fr,branch,category,era,source,definition_file,current_prerequisites,successors,successor_count,unlock_count,in_degree,out_degree,graph_role,dead_end_status,earliest_realistic_date,maturity_adoption_window,current_era_date_range,era_fit,concept_family,coordinates,position_status,icon,researchable,compatibility_alias,notes
baking_powder,Baking Powder,Levure chimique,Production,production,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,fractional_distillation,,0,1,1,0,DEAD_END,LIKELY_MISSING_SUCCESSOR,1840s,1850-1875,1836-1859,GOOD,food_industrialization,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/baking_powder.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
bessemer_process,Bessemer Process,Procédé Bessemer,Production,production,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,hot_blast_smelting,open_hearth_process;reinforced_concrete,2,1,1,2,BRANCH_NODE,NOT_A_DEAD_END,1855,1860-1880,1836-1859,BORDERLINE,steel_metallurgy,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/bessemer_process.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
nitroglycerin,Nitroglycerin,Nitroglycérine,Production,production,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,industrial_acids,dynamite,1,6,1,1,NORMAL,NOT_A_DEAD_END,1847,1860-1880,1836-1859,GOOD,industrial_explosives,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/nitroglycerin.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
sericulture,Sericulture,Sériciculture,Production,production,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,,0,0,0,0,ROOT,JUSTIFIED_DEAD_END,ancient,long-established before 1836,1836-1859,TOO_LATE,agricultural_modernization,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/sericulture.dds,no,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
watertube_boiler,Water-tube Boiler,Chaudière à tubes d’eau,Production,production,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,high_pressure_steam,rotary_valve_engine,1,11,1,1,NORMAL,NOT_A_DEAD_END,1860s,1870-1900,1836-1859,BORDERLINE,steam_power,NOT_EXPLICIT_AUTO_LAYOUT,KEEP,gfx/interface/icons/invention_icons/watertube_boiler.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
nationalism,Nationalism,Nationalisme,Society,society,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,periodical_print_networks;national_sovereignty,civilizing_mission;corporatism;organized_sports;pan-nationalism,4,3,2,4,BRANCH_NODE,NOT_A_DEAD_END,late 18th century,1830-1870,1836-1859,GOOD,nationalism_imperialism,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/nationalism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
organized_sports,Organized Sports,Sports organisés,Society,society,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,nationalism,,0,0,1,0,DEAD_END,JUSTIFIED_DEAD_END,mid-19th century,1870-1910,1836-1859,BORDERLINE,sports_mass_culture,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/organized_sports.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
quinine,Quinine,Quinine,Society,society,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,colonization;pharmaceuticals,civilizing_mission,1,0,2,1,MERGE_NODE,NOT_A_DEAD_END,1820s isolation,1850-1900 mass use,1836-1859,GOOD,public_health,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/quinine.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
realism,Realism,Réalisme,Society,society,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,romanticism,camera,1,3,1,1,NORMAL,NOT_A_DEAD_END,1840s,1840-1880,1836-1859,GOOD,arts_visual_media,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/realism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
romanticism,Romanticism,Romantisme,Society,society,era_7,MOD_OVERRIDE,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,institutionalized_scientific_exchange,realism,1,4,1,1,NORMAL,NOT_A_DEAD_END,1790s,1800-1840,1836-1859,TOO_LATE,arts_visual_media,NOT_EXPLICIT_AUTO_LAYOUT,RELAYOUT_FAMILY,gfx/interface/icons/invention_icons/romanticism.dds,yes,no,Active mod override. Historical dates are approximate audit windows; no implementation action is taken in TECH-4A.
