tech_id,category,era,vanilla_prerequisites,prerequisite_edge_count,cross_category_edge_count,validation_status,source
admiralty,military,era_1,navigation,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
army_reserves,military,era_1,line_infantry,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
artillery,military,era_1,gunsmithing,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
drydocks,military,era_1,navigation,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
gunsmithing,military,era_1,standing_army,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
line_infantry,military,era_1,mandatory_service;military_drill,2,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
mandatory_service,military,era_1,standing_army,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
military_drill,military,era_1,standing_army,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
napoleonic_warfare,military,era_1,line_infantry;artillery,2,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
navigation,military,era_1,ROOT,0,0,PASS_ROOT,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
paddle_steamer,military,era_1,admiralty,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
standing_army,military,era_1,ROOT,0,0,PASS_ROOT,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
field_works,military,era_2,napoleonic_warfare,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
general_staff,military,era_2,army_reserves,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
hydraulic_cranes,military,era_2,drydocks,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
logistics,military,era_2,napoleonic_warfare;army_reserves,2,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
percussion_cap,military,era_2,gunsmithing,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
power_of_the_purse,military,era_2,admiralty,1,0,PASS_SAME_CATEGORY,TECH1A_AUDIT_NORMALIZED_AND_INSTALLED_VANILLA_1.13.11
