tech_id,name,effective_definition_source,category,era,researchable,visible,in_TECH3A_index,vanilla_original,TECH1A_operation,TECH2H_disposition,mapped_TECH3A_owner,current_prerequisites,current_successors,unlock_count,reference_count,count_source,notes
enclosed_dock_systems,Enclosed Dock Systems,common/technology/technologies/25_tech3a_naval.txt,military,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,enclosed_dock_systems,ROOT,mechanized_naval_dockyards;ship_classification_surveying,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
scientific_fortification_siegecraft,Fortification & Siege,common/technology/technologies/20_tech3a_military.txt,military,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,scientific_fortification_siegecraft,ROOT,permanent_engineer_services;permanent_military_hospitals;regulated_small_arms,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
state_dockyard_systems,State Dockyard Systems,common/technology/technologies/25_tech3a_naval.txt,military,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,state_dockyard_systems,ROOT,mechanized_naval_dockyards;scientific_naval_architecture,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
atmospheric_engine,Atmospheric Engine,common/technology/technologies/10_tech3a_production.txt,production,era_1,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,atmospheric_engine,ROOT,condensing_steam_engines;deep_mine_engineering;high_pressure_steam;precision_boring,9,23,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
coke_smelting,Coke Smelting,common/technology/technologies/10_tech3a_production.txt,production,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,coke_smelting,ROOT,coal_gasification;precision_boring;puddling_and_rolling,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
improved_husbandry,Improved Husbandry,common/technology/technologies/10_tech3a_production.txt,production,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_REWIRE,improved_husbandry,ROOT,advanced_crop_rotations;improved_agricultural_implements;selective_breeding,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
shaft_mining,Shaft Mining,common/technology/technologies/10_tech3a_production.txt,production,era_1,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_KEEP,shaft_mining,ROOT,applied_mineralogy;deep_mine_engineering,5,13,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
commercial_insurance_markets,Commercial Insurance,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,commercial_insurance_markets,institutionalized_public_credit,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
institutionalized_public_credit,Public Credit,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,institutionalized_public_credit,ROOT,commercial_insurance_markets;international_exchange_standards;mutual_funds;postal_savings;stock_exchange,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
institutionalized_scientific_exchange,Scientific Exchange,common/technology/technologies/30_tech3a_society.txt,society,era_1,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,institutionalized_scientific_exchange,ROOT,codified_practical_knowledge;experimental_research_laboratories;medical_degrees;romanticism;scientific_metrology;specialized_technical_academies;veterinary_science,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
