tech_id,category,era,researchable,definition_file,prerequisites,successors,TECH3A_indexed,status
enclosed_dock_systems,military,era_1,yes,common/technology/technologies/25_tech3a_naval.txt,ROOT,mechanized_naval_dockyards;ship_classification_surveying,yes,VISIBLE_RESEARCHABLE
scientific_fortification_siegecraft,military,era_1,yes,common/technology/technologies/20_tech3a_military.txt,ROOT,permanent_engineer_services;permanent_military_hospitals;regulated_small_arms,yes,VISIBLE_RESEARCHABLE
state_dockyard_systems,military,era_1,yes,common/technology/technologies/25_tech3a_naval.txt,ROOT,mechanized_naval_dockyards;scientific_naval_architecture,yes,VISIBLE_RESEARCHABLE
atmospheric_engine,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,condensing_steam_engines;deep_mine_engineering;high_pressure_steam;precision_boring,yes,VISIBLE_RESEARCHABLE
coke_smelting,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,coal_gasification;precision_boring;puddling_and_rolling,yes,VISIBLE_RESEARCHABLE
crystal_glass,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,NONE,yes,VISIBLE_RESEARCHABLE
distillation,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,fractional_distillation,yes,VISIBLE_RESEARCHABLE
improved_husbandry,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,advanced_crop_rotations;improved_agricultural_implements;selective_breeding,yes,VISIBLE_RESEARCHABLE
shaft_mining,production,era_1,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,applied_mineralogy;deep_mine_engineering,yes,VISIBLE_RESEARCHABLE
commercial_insurance_markets,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_public_credit,NONE,yes,VISIBLE_RESEARCHABLE
institutionalized_public_credit,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,commercial_insurance_markets;international_exchange_standards;mutual_funds;postal_savings;stock_exchange,yes,VISIBLE_RESEARCHABLE
institutionalized_scientific_exchange,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,codified_practical_knowledge;experimental_research_laboratories;medical_degrees;romanticism;scientific_metrology;specialized_technical_academies;veterinary_science,yes,VISIBLE_RESEARCHABLE
international_relations,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,colonization;international_exchange_standards;multilateral_alliances,yes,VISIBLE_RESEARCHABLE
periodical_print_networks,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,codified_practical_knowledge;constitutional_government;human_rights;mechanized_printing;national_sovereignty;optical_telegraph_networks;organized_reform_movements,yes,VISIBLE_RESEARCHABLE
stock_exchange,society,era_1,yes,common/technology/technologies/30_tech3a_society.txt,institutionalized_public_credit,investment_banks,yes,VISIBLE_RESEARCHABLE
regulated_small_arms,military,era_2,yes,common/technology/technologies/20_tech3a_military.txt,scientific_fortification_siegecraft,armament_standardization_inspection;light_infantry_tactics,yes,VISIBLE_RESEARCHABLE
improved_agricultural_implements,production,era_2,yes,common/technology/technologies/10_tech3a_production.txt,improved_husbandry,automated_flour_milling;threshing_machine,yes,VISIBLE_RESEARCHABLE
industrial_acids,production,era_2,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,baking_powder;chemical_bleaching;coal_gasification;fractional_distillation;improved_fertilizer;industrial_alkalis;nitroglycerin;rubber_mastication,yes,VISIBLE_RESEARCHABLE
turnpike_road_networks,production,era_2,yes,common/technology/technologies/10_tech3a_production.txt,ROOT,improved_road_engineering;industrial_canals,yes,VISIBLE_RESEARCHABLE
systematic_administrative_statistics,society,era_2,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,central_statistical_offices;political_economy;professional_civil_policing;scientific_metrology;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,yes,VISIBLE_RESEARCHABLE
variolation_networks,society,era_2,yes,common/technology/technologies/30_tech3a_society.txt,ROOT,vaccination,yes,VISIBLE_RESEARCHABLE
light_infantry_tactics,military,era_3,yes,common/technology/technologies/20_tech3a_military.txt,regulated_small_arms,rifling,yes,VISIBLE_RESEARCHABLE
marine_chronometry,military,era_3,yes,common/technology/technologies/25_tech3a_naval.txt,ROOT,hydrographic_surveying,yes,VISIBLE_RESEARCHABLE
permanent_military_hospitals,military,era_3,yes,common/technology/technologies/20_tech3a_military.txt,scientific_fortification_siegecraft,battlefield_evacuation,yes,VISIBLE_RESEARCHABLE
scientific_naval_architecture,military,era_3,yes,common/technology/technologies/25_tech3a_naval.txt,state_dockyard_systems,copper_sheathing;diagonal_ship_framing;iron_hull_construction;mechanized_naval_dockyards;paddle_steamer;shell_gun;standardized_naval_signals,yes,VISIBLE_RESEARCHABLE

ship_classification_surveying,military,era_3,yes,common/technology/technologies/25_tech3a_naval.txt,enclosed_dock_systems,maritime_safety_standards,yes,VISIBLE_RESEARCHABLE
