reference_id,scope,building_id,building_group,file,line_or_block,gate_type,gate_expression,technology_id,technology_category,technology_era,technology_status,vanilla_requirement,mod_requirement,vanilla_mod_relationship,hidden_alias,responsibility_class,frozen_target,frozen_target_source,design_status,notes
BTG-0001,EFFECTIVE_VANILLA,building_food_industry,bg_light_industry,common/buildings/01_industry.txt,12,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0002,EFFECTIVE_VANILLA,building_textile_mill,bg_light_industry,common/buildings/01_industry.txt,38,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0003,EFFECTIVE_VANILLA,building_furniture_manufactory,bg_light_industry,common/buildings/01_industry.txt,63,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0004,EFFECTIVE_VANILLA,building_glassworks,bg_light_industry,common/buildings/01_industry.txt,85,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,pressed_glass,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0005,EFFECTIVE_VANILLA,building_tooling_workshop,bg_light_industry,common/buildings/01_industry.txt,108,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,mechanical_tools,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0006,EFFECTIVE_VANILLA,building_paper_mill,bg_light_industry,common/buildings/01_industry.txt,135,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { manufacturies },manufacturies,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { manufacturies },INHERITED_FROM_VANILLA: unlocking_technologies = { manufacturies },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,continuous_papermaking,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0007,EFFECTIVE_VANILLA,building_chemical_plant,bg_heavy_industry,common/buildings/01_industry.txt,158,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { intensive_agriculture },intensive_agriculture,production,era_5,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { intensive_agriculture },INHERITED_FROM_VANILLA: unlocking_technologies = { intensive_agriculture },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0008,EFFECTIVE_VANILLA,building_explosives_factory,bg_heavy_industry,common/buildings/01_industry.txt,191,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { intensive_agriculture },intensive_agriculture,production,era_5,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { intensive_agriculture },INHERITED_FROM_VANILLA: unlocking_technologies = { intensive_agriculture },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0009,EFFECTIVE_VANILLA,building_synthetics_plant,bg_heavy_industry,common/buildings/01_industry.txt,226,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { aniline },aniline,production,era_8,VISIBLE_POST1836,unlocking_technologies = { aniline },INHERITED_FROM_VANILLA: unlocking_technologies = { aniline },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0010,EFFECTIVE_VANILLA,building_steel_mill,bg_heavy_industry,common/buildings/01_industry.txt,261,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steelworking },steelworking,production,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { steelworking },INHERITED_FROM_VANILLA: unlocking_technologies = { steelworking },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,puddling_and_rolling,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0011,EFFECTIVE_VANILLA,building_motor_industry,bg_heavy_industry,common/buildings/01_industry.txt,293,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { atmospheric_engine },atmospheric_engine,production,era_1,VISIBLE_TECH3A_I_VI,unlocking_technologies = { atmospheric_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { atmospheric_engine },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0012,EFFECTIVE_VANILLA,building_shipyard,bg_ship_construction,common/buildings/01_industry.txt,328,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { navigation },navigation,military,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { navigation },INHERITED_FROM_VANILLA: unlocking_technologies = { navigation },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,marine_chronometry,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0013,EFFECTIVE_VANILLA,building_automotive_industry,bg_heavy_industry,common/buildings/01_industry.txt,352,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { combustion_engine },combustion_engine,production,era_9,VISIBLE_POST1836,unlocking_technologies = { combustion_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { combustion_engine },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0014,EFFECTIVE_VANILLA,building_electrics_industry,bg_heavy_industry,common/buildings/01_industry.txt,386,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { telephone },telephone,production,era_9,VISIBLE_POST1836,unlocking_technologies = { telephone },INHERITED_FROM_VANILLA: unlocking_technologies = { telephone },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0015,EFFECTIVE_VANILLA,building_arms_industry,bg_military_industry,common/buildings/01_industry.txt,421,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { gunsmithing },gunsmithing,military,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { gunsmithing },INHERITED_FROM_VANILLA: unlocking_technologies = { gunsmithing },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0016,EFFECTIVE_VANILLA,building_artillery_foundry,bg_military_industry,common/buildings/01_industry.txt,444,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { gunsmithing },gunsmithing,military,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { gunsmithing },INHERITED_FROM_VANILLA: unlocking_technologies = { gunsmithing },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,FROZEN_TARGET_AVAILABLE,No mod override; inherited unchanged.
BTG-0017,EFFECTIVE_VANILLA,building_munition_plant,bg_military_industry,common/buildings/01_industry.txt,468,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { percussion_cap },percussion_cap,military,era_6,VISIBLE_TECH3A_I_VI,unlocking_technologies = { percussion_cap },INHERITED_FROM_VANILLA: unlocking_technologies = { percussion_cap },INHERITED_VANILLA,NO,BUILDING_CONSTRUCTION_UNLOCK,,,NO_TRANSFER_REQUIRED,No mod override; inherited unchanged.
BTG-0018,EFFECTIVE_VANILLA,building_rye_farm,bg_staple_crops,common/buildings/02_agro.txt,12,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0019,EFFECTIVE_VANILLA,building_wheat_farm,bg_staple_crops,common/buildings/02_agro.txt,38,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0020,EFFECTIVE_VANILLA,building_rice_farm,bg_staple_crops,common/buildings/02_agro.txt,64,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0021,EFFECTIVE_VANILLA,building_maize_farm,bg_staple_crops,common/buildings/02_agro.txt,90,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0022,EFFECTIVE_VANILLA,building_millet_farm,bg_staple_crops,common/buildings/02_agro.txt,116,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0023,EFFECTIVE_VANILLA,building_livestock_ranch,bg_ranching,common/buildings/02_agro.txt,142,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
BTG-0024,EFFECTIVE_VANILLA,building_vineyard,bg_agriculture,common/buildings/02_agro.txt,168,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { enclosure },enclosure,production,era_4,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { enclosure },INHERITED_FROM_VANILLA: unlocking_technologies = { enclosure },INHERITED_VANILLA,YES,BUILDING_CONSTRUCTION_UNLOCK,,,DESIGN_REVIEW_REQUIRED,No mod override; inherited unchanged.
